"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","class","order"
"1","2020-12-20 21:18:43-03","UFV","VIC","046801","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) Van den Berg","Ribeiro, J.","s.n.","2015","06","06","Brasil","Minas Gerais","Itutinga","Serra de Ouro Grosso, Cerrado Campo Limpo.","-44.6577987670898","-21.2980995178223","24458","Rupícola, ornamental,endêmica,atura de 10 cm, pseudobulbos cônicos,lâminas foliares de ápice agudo,base aguda, flores de coloração amarela, floração de maio a junho.","VIC046801","VIC046801","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-10-09 16:31:58-03","UFLA","ESAL","23765","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Mansanares, ME; Maria, Raphaela,","s.n.","2014","06","28","Brasil","Minas Gerais","Lavras","Próximo ao Poço Bonito","-44.999444","-21.245278",NA,"Material da di; erva 50cm, flores amarelas; Cerrado rupestre",NA,NA,NA,"Massensini, Jr A","2016","05","18","-44.999444","-21.245278",NA,NA,NA,NA,NA
"3","2018-10-09 16:31:58-03","UFLA","ESAL","23766","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Mansanares, ME; Silva, Maria, Más","s.n.","2014","07",NA,"Brasil","Minas Gerais","Lavras","Próximo ao Poço Bonito","-44.999444","-21.245278",NA,"Material da di; Erva, flores amarelas; Cerrado rupestre",NA,NA,NA,"Massensini, Jr A","2016","05","18","-44.999444","-21.245278",NA,NA,NA,NA,NA
"4","2018-10-09 16:31:58-03","UFLA","ESAL","23768","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Mansanares, ME; Ciro, Leandro, M","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Lavras","Próximo ao Poço Bonito","-44.999444","-21.245278",NA,"Material da di; Erva, flores amarelas; Campo rupestre",NA,NA,NA,"Massensini, Jr A","2016","05","18","-44.999444","-21.245278",NA,NA,NA,NA,NA
"5","2018-10-09 16:31:58-03","UFLA","ESAL","23776","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Mansanares, ME; Costa, M; Rodrigues, S","s.n.","2014","06","27","Brasil","Minas Gerais","Lavras","Próximo ao Poço Bonito","-44.999444","-21.245278",NA,"Material da di; Erva, flores amarelas; Campo rupestre",NA,NA,NA,"Mansanares, ME","2014","07","19","-44.999444","-21.245278",NA,NA,NA,NA,NA
"6","2018-10-09 16:31:58-03","UFLA","ESAL","23779","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Mansanares, ME; Humberto; Marcelo; Willian","s.n.","2014","07","17","Brasil","Minas Gerais","Lavras","Próximo ao Poço Bonito","-44.999444","-21.245278",NA,"Material da di; Erva, flores amarelas; Campo rupestre",NA,NA,NA,"Massensini, Jr A","2016","05","18","-44.999444","-21.245278",NA,NA,NA,NA,NA
"7","2017-11-24 14:11:52-02","UFLA","ESAL","28891","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Domingos, DQ; Furtado, CC","1354","2007","06","23","Brasil","Minas Gerais","Lavras","Parque Quedas do Rio Bonito, Transição de cerrado e campo rupestre.","-44.974167","-21.331944",NA,"Epífita, crescendo em fenda de afloramento rochoso.; Campo Rupestre",NA,NA,NA,"A.; Massensini, Jr",NA,NA,NA,"-44.974167","-21.331944",NA,NA,NA,NA,NA
"8","2017-11-24 14:11:52-02","UFLA","ESAL","28892","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Domingos, DQ; Furtado, CC","1355","2007",NA,NA,"Brasil","Minas Gerais","Lavras","Parque Quedas do Rio Bonito, Transição de cerrado e campo rupestre.","-44.974167","-21.331944",NA,"Epífita, crescendo em fenda de afloramento rochoso.; Campo Rupestre",NA,NA,NA,"A.; Massensini, Jr",NA,NA,NA,"-44.974167","-21.331944",NA,NA,NA,NA,NA
"9","2017-11-24 14:11:52-02","UFLA","ESAL","28893","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Domingos, DQ; Furtado, CC","1356","2007","05","25","Brasil","Minas Gerais","Lavras","Parque Quedas do Rio Bonito, Transição de cerrado e campo rupestre.","-44.974167","-21.331944",NA,"Epífita, crescendo em fenda de afloramento rochoso.; Campo Rupestre",NA,NA,NA,"A.; Massensini, Jr",NA,NA,NA,"-44.974167","-21.331944",NA,NA,NA,NA,NA
"10","2017-11-24 14:11:52-02","UFLA","ESAL","28894","S","Plantae","Orchidaceae","Cattleya","endsfeldzii","Cattleya endsfeldzii","(Pabst) van den Berg","Domingos, DQ; Furtado, CC","1357","2014","10","17","Brasil","Minas Gerais","Lavras","Parque Quedas do Rio Bonito, Transição de cerrado e campo rupestre.","-44.974167","-21.331944",NA,"Epífita, crescendo em fenda de afloramento rochoso.; Campo Rupestre",NA,NA,NA,"A.; Massensini, Jr",NA,NA,NA,"-44.974167","-21.331944",NA,NA,NA,NA,NA
