"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","dayIdentified","class","order","individualCount","typeStatus","fieldNumber","preparationType","relatedCatalogItem"
"1","2020-11-04 11:05:43-03","ESALQ","ESA","11976","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeck.","Faria, A.D.","Souza, V.C. et al.","4284.0","1993","09","09","Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729","ESA011976","ESA011976","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-27 13:47:40-03","UFS","ASE","10970","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Oliveira, RC; Silva, GP; Cunha, MMR","1196","1998","07","04","Brasil","Maranhão","Balsas","-46.617222","-8.549167",NA,"ASE0019518",NA,NA,"2013","06","Southern America","Agrovila Nova de Carli, Lote pivo Central.","-46.617222","-8.549167","500","500","Erva. Abundante.; Erva. Abundante.; Mata de galeria na margem do rio.",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-27 13:47:40-03","UFS","ASE","12846","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Oliveira, RC; Silva, GP; Cunha, MMR","1196","1998","07","04","Brasil","Maranhão","Balsas","-46.617222","-8.549167",NA,"ASE0009458","ASE0009458",NA,"2013","06","Southern America","Agrovila Nova de Carli,, lote pivo central.","-46.617222","-8.549167","500","500","Erva abundante.; Erva abundante.; Mata de galeria na margem do rio.","17",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-27 13:47:40-03","UFS","ASE","18213","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Prata, AP; Costa, SM; Nascimento - Júnior, JE","2057","2009","11","08","Brasil","Bahia","Pilão Arcado","-42.3015","-10.0012",NA,"ASE0009472","ASE0009472",NA,"2013","06","Southern America","Brejo da Serra, Cabeceira da vereda de Brejo da Serra.","-42.3015","-10.0012",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-27 13:47:40-03","UFS","ASE","9692","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Prata, AP; T.Konno; Alves, V; R.Arruda; A.Carvalo; C.vecchi; P.Pitt","1141","2001","04","02","Brasil","Minas Gerais","Santana do Riacho","-43.4251","-19.1008",NA,"ASE0009450","ASE0009450",NA,"2013","06","Southern America","Serra do Cipó, 2-3km N de Palácio","-43.4251","-19.1008",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-27 13:47:40-03","UFS","ASE","10267","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Prata, AP; Konno, T; Alves, V; Arruda, R; Carvalho, A; Vecchi, C; Pitta, P","1152","2001","11","02","Brasil","Minas Gerais","Santana do Riacho","-43.4251","-19.1008",NA,"ASE0009456","ASE0009456",NA,"2013","06","Southern America","Serra do Cipó, 2-3 Km. norte de Palácio.","-43.4251","-19.1008",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-27 13:47:40-03","UFS","ASE","10363","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Prata, AP; Rocha, IA; O.S.Neves","566","1998","10","29","Brasil","Roraima","Boa Vista","-60.4023","2.4911",NA,"ASE0009452","ASE0009452",NA,"2013","06","Southern America","BR 174, Mucajaí, próximo a Serra Grande","-60.4023","2.4911",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-27 13:47:40-03","UFS","ASE","17117","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Paiva, VF; Azevedo, INC; Bringel, JB; Bijos, NR","618","2009","09","25","Brasil","Distrito Federal","Lago Sul","-47.5546","-15.4647",NA,"ASE0011580","ASE0011580",NA,"2013","06","Southern America","EEJBB - Área de Lazer","-47.5546","-15.4647",NA,NA,"Erva. Inflorescência bege em espigueta ferruginea na borda do Corrego Cabeça de Veado. Substrato glei.; Erva. Inflorescência bege em espigueta ferruginea na borda do Corrego Cabeça de Veado. Substrato glei.; Mata de Galeria.","17",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-27 13:47:40-03","UFS","ASE","9693","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Eleocharis","loefgreniana","Eleocharis loefgreniana","Boeckeler","Trevisan, R","Prata, AP; T.Konno; Alves, V; R.Arruda; A.Carvalo; C.vecchi; P.Pitt","1139","2001","04","02","Brasil","Minas Gerais","Santana do Riacho","-43.4251","-19.1008",NA,"ASE0009451","ASE0009451",NA,"2013","06","Southern America","Serra do Cipó, 2-3km N de Palácio","-43.4251","-19.1008",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 09:59:46-03","UNICAMP","UEC","117529","S","Plantae","Liliopsida","Cyperaceae","Eleocharis","almensis","Eleocharis almensis","D.A.Simpson","Faria, AD","Pansarin, ER; Simões, AO","784","2001","02","10","Brazil","Minas Gerais","Grão Mogol","-43.3","-16.6",NA,"UEC025847","UEC025847",NA,"2001","02",NA,"Riacho a 25km de Grão Mogol, estrada para a cidade","-43.3","-16.6",NA,NA,"ori, Às margens do riacho, entre rochas.",NA,NA,NA,NA,NA,NA,NA,NA
