"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","class","order","continentOcean","locality","individualCount","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","identifiedBy","yearIdentified","typeStatus","fieldNumber","sex","preparationType"
"1","2021-02-07 08:35:28-03","MN","R","186996","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B. Sm.","Costa, A.F.","542","1995","10","21","Brasil","Espírito Santo","Alfredo Chaves","-40.749698638916","-20.6350002288818","32447","R010016916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2902653","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B. Sm.","A. Seidel","832","1980","6","19","Brazil","Rio de Janeiro",NA,NA,NA,NA,"US01914081",NA,"Monocotyledonae","Bromeliales","South America - Neotropics","Collected near São Gonçalo","1","US01914081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2967705","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B. Sm.","G. Martinelli & C. Farney","8733","1982","9","16","Brazil","Rio de Janeiro","Macaé","-41.7868995666504","-22.3708000183105","47209","US01914083","auto","Monocotyledonae","Bromeliales","South America - Neotropics","Pico do Frade deacaé","1","US01914083_01","1000","1200",NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2902654","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B. Sm.","A. Seidel","832","1980","6","19","Brazil","Rio de Janeiro",NA,NA,NA,NA,"US01914082",NA,"Monocotyledonae","Bromeliales","South America - Neotropics","Near São Gonçalo. Cultivated","1","US01914082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2967706","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B. Sm.","G. Martinelli","8733",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"US01914084",NA,"Monocotyledonae","Bromeliales","South America - Neotropics",NA,"1","US01914084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2967690","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B. Sm.","G. Martinelli, E. Simonis & C. Farney","9111","1983","2","9","Brazil","Rio de Janeiro","Macaé","-41.7868995666504","-22.3708000183105","47209","US01914080","auto","Monocotyledonae","Bromeliales","South America - Neotropics","Pico do Frade deacaé","1","US01914080_01","1000","1200",NA,NA,NA,NA,NA,NA,NA
"7","2019-07-09 12:55:31-03","F","FMNH-SEEDPLANTS","V0416606F","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora",NA,"C. Farney & G. Martinelli","112","1982","9","16","Brazil","Rio de Janeiro",NA,"-42.5","-22",NA,"V0416606F",NA,"Monocotyledoneae",NA,"South America",NA,NA,"V0416606F_01",NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA
"8","2019-11-21 10:02:55-03","IBt","SP","305387","S","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B.Sm.","Pugialli, H; et al.","215","1992","12","16","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","SP053511","auto",NA,NA,NA,"Reserva Ecológica Municipal de Macaé de Cima",NA,"SP053511",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 10:02:55-03","IBt","SP","17982","S","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L.B.Sm.","Hoehne, FC","s.n.","1926","01","05","Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","SP001837","auto",NA,NA,NA,"Alto da Serra, Estação Biológica",NA,"SP001837",NA,NA,NA,"Smith, LB","1931","Holotype",NA,NA,NA
"10","2010-08-16 16:42:10-03","GH","HU-HERB","GH 00029535","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","sparsiflora","Vriesea sparsiflora","L. B. Smith","F. C. Hoehne","17982","1926",NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"South America","Estc. Biologica, A. Serra",NA,NA,NA,NA,NA,NA,NA,"Type","17982","undetermined","Sheet"
