"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","locality","month","day","stateProvince","county","decimalLongitude","decimalLatitude","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","459797","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","F. G. Lorea-Hernández","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459797","NY00459797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 16:24:00-03","NY","NYBG","459799","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus",NA,"F. G. Lorea-Hernández","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459799","NY00459799_01","s.n.","1826","Rio Pardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459798","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","F. G. Lorea-Hernández","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459798","NY00459798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1183749","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","A. Quinet","H. C. de Lima","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452787' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183749","NY01183749_01","6192","2004","Parque Estadual Itacolomi. Parque do Itacolomi. Morro da ANtena, Morro do Cachorro.","07","25","Minas Gerais","Ouro Preto","-43.5081","-20.2875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:24:00-03","NY","NYBG","00459796","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus",NA,"I. de Vattimo","C. A. W. Schwacke","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459796","NY00459796_01","7363","1891","Ao Cruzeiro","11","26","Minas Gerais","Ouro Preto","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","355827","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","erythropus","Persea erythropus angustata","Meisn.",NA,"L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355827","NY00355827_01","2777","1834","Serra da Piedade et S. Stacolumi.","10",NA,NA,NA,NA,NA,"angustata","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","355828","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","erythropus","Persea erythropus angustata","Meisn.",NA,"Martii Herbar. Florae Brasil.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355828","NY00355828_01","1238",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"Minas Gerais",NA,NA,NA,"angustata","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","355829","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","erythropus","Persea erythropus ovata","Meisn.",NA,"L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355829","NY00355829_01","2462","1834","In campis inter rio das Velhas et R. Paranahyba.","08",NA,NA,NA,NA,NA,"ovata","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 21:41:00-03","NY","NYBG","00918220","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","erythropus","Phoebe erythropus",NA,NA,"A. F. M. Glaziou","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918220","NY00918220_01","19775","1892","Brésil (Minas) Gamba, pr. d'Ouro Preto.","05","08","Minas Gerais","Ouro Preto","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 21:41:00-03","NY","NYBG","00918219","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","erythropus","Phoebe erythropus",NA,NA,"P. Clausen","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918219","NY00918219_01","108","1841","Brésil (Minas Geraes)",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-29 21:41:00-03","NY","NYBG","00918221","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","erythropus","Phoebe erythropus",NA,"A. Macedo","A. F. M. Glaziou","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918221","NY00918221_01","19775","1892","Brésil (Minas) Gamba, pr. d'Ouro Preto.","05","08","Minas Gerais","Ouro Preto","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:31:03-03","UFRJ","RFA","29268","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Phoebe","erythropus","Phoebe erythropus","(Nees & Mart.) Mez",NA,"Equipe do Jardim Botânico de Brasília",NA,"Brasil",NA,"Frutos pilosos e escuros","RFA43322",NA,"1078","1988","Jardim Botânico de Brasília, trilha de visitantes","09","06","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-08 17:38:44-03","EAO","IAN","69909","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P","Black, GA; Magalhães, MG","Southern America","Brasil",NA,NA,"IAN069909",NA,"12085","1951","Serra do cipó.","04","05","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"2013","04","24",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-06 09:56:00-03","UFOP","OUPR","15566","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Badini, J.",NA,"Brasil",NA,"Cerrado. Arbusto, flores pálidas com pedúnculos purpúreos",NA,NA,"s.n.","1971","Estrada entre Ouro Preto e Passagem de Mariana","04","09","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-06 09:56:00-03","UFOP","OUPR","15575","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Glaziou, A.F.M.",NA,"Brasil",NA,NA,NA,NA,"s.n.",NA,"Ad Faria, prope Sabará",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-06 09:56:00-03","UFOP","OUPR","15576","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Glaziou, A.F.M.",NA,"Brasil",NA,NA,NA,NA,"s.n.",NA,"Ad Faria, prope Sabará",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-06 09:56:00-03","UFOP","OUPR","15577","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Damazio, L.B.",NA,"Brasil",NA,NA,NA,NA,"s.n.",NA,"Perto de Sabará",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-06 10:17:17-03","UFOP","OUPR","30700","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Pedrosa, L.G.","Pira, J.C.; Echternacht, L.; Pedrosa, L.G. & Dias, J.V.",NA,"Brasil",NA,"Arbusto lenhoso, ca. 1 m. Folhas velhas revolutas.; Campo aberto em solo filitoso.",NA,NA,"21","2018","Parque Estadual do Itacolomi, Próximo à antena do Morro do Cachorro.","10","02","Minas Gerais","Ouro Preto","-43.505897","-20.427336",NA,NA,NA,NA,"2018","10","02","-43.505897","-20.427336","1479","1479",NA,NA,NA,NA
"19","2020-03-12 10:29:17-03","UFOP","OUPR","35082","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Pira, J.C.","Pira, J.C.; Echternacht, L. & Rosa, R.M.S.",NA,"Brasil",NA,"Arvoreta terrícola ca de 3 - 3,5m, com raque floral e cúpula róseas e fruto verde. Folhas são revolutas. Em barrando cercado por capim.",NA,NA,"38","2019","Parque Estadual do Itacolomi, Beira da estrada do Morro do Cachorro ao lado da torre.","03","07","Minas Gerais","Ouro Preto","-43.505278","-20.418056",NA,NA,NA,NA,"2019","03","07","-43.505278","-20.418056","1522","1522",NA,NA,NA,NA
"20","2019-11-06 09:56:00-03","UFOP","OUPR","15573","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Magalhães-Gomes, C.T.; Magalhães-Gomes, F.M.",NA,"Brasil",NA,"Ex Herb. Magalhães Gomes, n. 2043",NA,NA,"s.n.","1894","Ad Serra de Ouro Preto","04","11","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-06 09:56:00-03","UFOP","OUPR","15569","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Badini, J.",NA,"Brasil",NA,"Cerrado. Arbusto de flores amareladas",NA,NA,"s.n.","1971","Entre Falcão e Chapada","03","05","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-06 09:56:00-03","UFOP","OUPR","15568","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Badini, J.",NA,"Brasil",NA,"Cerrado. Arbusto, flores pálidas com pedúnculos purpúreos",NA,NA,"s.n.","1971","Estrada do Manso, Bordas dos barrancos","04","09","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-06 09:56:00-03","UFOP","OUPR","15567","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Badini, J.",NA,"Brasil",NA,"Cerrado. Arbusto, flores pálidas, com pedúnculos purpúreos",NA,NA,"s.n.","1971","Falcão","03","27","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","13",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-06 09:56:00-03","UFOP","OUPR","15572","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Damazio, L.B.",NA,"Brasil",NA,NA,NA,NA,"s.n.",NA,"Morro do Cruzeiro",NA,NA,"Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-06 09:56:00-03","UFOP","OUPR","15570","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Badini, J.",NA,"Brasil",NA,"Canga. Arbusto de flores pálidas",NA,NA,"s.n.","1943","Morro do Cruzeiro",NA,NA,"Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-06 09:56:00-03","UFOP","OUPR","1301","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Roschel, M.B.; Dias, S.",NA,"Brasil",NA,"Campo. Arbusto, flores pálidas com pedúnculos purpúreos",NA,NA,"s.n.","1994","Parque Estadual do Itacolomi, Morro do Cachorro","03","05","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2011","12","12",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-06 09:56:00-03","UFOP","OUPR","1301","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Scalon, V.R.","Roschel, M.B.; Dias, S.",NA,"Brasil",NA,"Campo rupestre. Arbusto ca. 1,5m, pedúnculos purpúreos, flores amareladas",NA,NA,"s.n.","1994","Parque Estadual do Itacolomi, Morro do Cachorro","03","05","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2011","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-06 09:56:00-03","UFOP","OUPR","9997","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Messias, M.C.T.B.",NA,"Brasil",NA,"Campo rupestre. Arbusto ca.1,6m, pecíolos e pedúnculos vermelhos",NA,NA,"414","2001","Parque Estadual do Itacolomi, Próximo à torre da Embratel","03","27","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2011","12","12",NA,NA,NA,NA,NA,NA,NA,NA
