"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","603023","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia","Bong.","B. Rambo","B. Rambo","35055","1947","01","10","South America","Brazil","Rio Grande do Sul","Fazenda B. Velho, Bom Jesus","-50.388347","-28.558459","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603023","NY00603023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 14:55:00-03","NY","NYBG","603025","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia",NA,"S. G. Beck","S. G. Beck","14084","1986","11","20","South America","Bolivia","Tarija","43 km. hacia Padcaya, Huancanqui",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603025",NA,"Aniceto Arce","2500","2600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 15:09:00-03","NY","NYBG","15537","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia lanceolata","Chodat & Hassl.",NA,"E. Hassler","4852",NA,NA,NA,"South America","Paraguay",NA,"'In campis pr. Igatimi, Oct.' R. S. Cowan 1954",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00015537","NY00015537_01",NA,NA,NA,"lanceolata","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01056583","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia","Bong.","R. R. Duré Rodas","W. A. Archer","90","1936","09","06","South America","Brazil","Mato Grosso do Sul","Campo Grande, Capão Bonito",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141704' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056583","NY01056583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01056584","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia","Bong.","R. R. Duré Rodas","G. G. Hatschbach","30479","1972","10","15","South America","Brazil","Mato Grosso do Sul","Rio Miranda","-56.3781","-20.2408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141707' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056584","NY01056584_01","Miranda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01056560","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia","Bong.","R. R. Duré Rodas","G. G. Hatschbach","25144","1970","10","23","South America","Brazil","Mato Grosso do Sul","Rio Anhandui","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141709' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056560","NY01056560_01","Rio Brilhante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 15:09:00-03","NY","NYBG","15538","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia lanceolata","Chodat & Hassl.",NA,"E. Hassler","8499",NA,NA,NA,"South America","Paraguay",NA,"'in campo Arroyo Primero (Apa), Febr.' R. S. Cowan, 1954.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00015538","NY00015538_01",NA,NA,NA,"lanceolata","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","603021","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia","Bong.","T. Baretta","J. C. Lindeman","2527","1966","09","25","South America","Brazil","Paraná","Burned-over campo near Vila Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603021","NY00603021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","603022","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia","Bong.","R. R. D. Rodas","G. G. Hatschbach","27110","1971","10","07","South America","Brazil","Paraná","Rio Pelame","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603022","NY00603022_01","Sengés",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","603024","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","asperifolia","Indigofera asperifolia","Bong.","J. W. Grimes","H. S. Irwin","7312","1964","10","24","South America","Brazil","Goiás","Ca. 30 km N. of Jataí on road to Caiaponia. Serra do Caiapó","-51.78","-17.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603024","NY00603024_01","Jataí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050443","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Pedersen TM",NA,"1979","10","19","Southern America","Argentina",NA,"Dep. Concepcion, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050443 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050443","NL-L2050443",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050444","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Pedersen TM",NA,"1979","10","19","Southern America","Argentina",NA,"Dep. Concepcion, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050444 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050444","NL-L2050444",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050445","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Herzog T",NA,"1910","12","01","Southern America","Bolivia",NA,"Auf den Holtcampes des Cerrs de Charagua.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050445 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050445","NL-L2050445",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050446","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Pedersen TM",NA,"1979","11","01","Southern America","Argentina",NA,"c. 10 km S of Peragorría on road to SSauce, near Estancia 'La Adelia', Dep. Curuzú Cuatiá, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050446 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050446","NL-L2050446",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050447","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Pedersen TM",NA,"1976","11","16","Southern America","Brazil",NA,"Rio Grande so Sul,mun. Santo Angelo: São João.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050447 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050447","NL-L2050447",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050448","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Pedersen TM",NA,"1962","09","26","Southern America","Paraguay",NA,"Estancia,,La Soledad', Santiago, Dep. Misiones.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050448","NL-L2050448",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050449","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Hatschbach GG",NA,"1960","09","09","Southern America","Brazil",NA,"Est Parana, Mun Arapoti, Fda. do Tigre.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050449","NL-L2050449",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.2050450","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Indigofera","asperifolia","Indigofera asperifolia","Bong.",NA,"Fiebrig K",NA,"1902","10","17","Southern America","Paraguay",NA,"Cordillera de Altos.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2050450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2050450","NL-L2050450",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
