"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","533392","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","inornata","Gouania inornata","Reissek","J. V. Godoi","J. V. Godoi","50","1991","03","27","South America","Brazil","São Paulo","Moji-Guaçu","Mogi-Guaçu, Fazenda Campininha, Mata da Mariana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533392","NY00533392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533393","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","inornata","Gouania inornata","Reissek","J. V. Godoi","J. V. Godoi","54","1991","03","27","South America","Brazil","São Paulo","Moji-Guaçu","Mogi-Guaçu, Fazenda Campininha, Mata da Figueira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533393","NY00533393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533394","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","inornata","Gouania inornata","Reissek","S. F. Smith","J. H. Kirkbride Jr.","3946","1981","02","26","South America","Brazil","Distrito Federal","Brasília","Perto do Rio das Salinas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533394","NY00533394_01","-47.95","-15.52","770","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:47-03","UFRJ","RFA","25055","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Gouania","acalyphoides","Gouania acalyphoides","Reissek",NA,"A. Quinet","42/18","2000","07","04",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Taquara",NA,"Trepadeira, folha discolor verde, frutos imaturos verdes e comum no local.","RFA42701",NA,"-43.383333","-22.922222",NA,NA,"43º22'60''W","22º55'20''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:47:27-03","EAO","IAN","6054","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rhamnaceae","Gouania","acalyphoides","Gouania acalyphoides","Reiss",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN006054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:25:53-03","NBC","NL-BOTANY","L.4206608","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Gouania","acalyphoides","Gouania acalyphoides","Reissek",NA,"Hoehne W",NA,"1951","03","27","Southern America","Brazil",NA,NA,"Brasil, Sao Paulo, Prox. a Limeira. Escandente.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4206608 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4206608","NL-L4206608",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:17:56-03","ESALQ","ESA","36895","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rhamnaceae","Gouania","acalyphoides","Gouania acalyphoides",NA,NA,"Hoehne, W.",NA,"1951","05","02",NA,"Brasil","São Paulo","Limeira",NA,NA,NA,"ESA036895","ESA036895","-47.4000015258789","-22.5599994659424",NA,NA,NA,NA,NA,"20999","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:17:56-03","ESALQ","ESA","100385","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rhamnaceae","Gouania","inornata","Gouania inornata",NA,"Bertoncini, A.P.","Bertoncini, A.P.","823.0","1998","05","07",NA,"Brasil","São Paulo","Avaí",NA,NA,NA,"ESA100385","ESA100385","-49.3300018310547","-22.1399993896484",NA,NA,NA,NA,NA,"23140","auto","1998","07","17",NA,NA,NA
"9","2020-11-04 11:17:56-03","ESALQ","ESA","101594","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rhamnaceae","Gouania","inornata","Gouania inornata",NA,"Bertoncini, A.P.","Bertoncini, A.P.","823.0","1998","05","07",NA,"Brasil","São Paulo","Avaí",NA,NA,NA,"ESA101594","ESA101594","-49.3300018310547","-22.1399993896484",NA,NA,NA,NA,NA,"23140","auto","1998","08","17",NA,NA,NA
"10","2019-08-20 10:23:46-03","UNICAMP","UEC","106693","S","Plantae","Magnoliopsida",NA,"Rhamnaceae","Gouania","acalyphoides","Gouania acalyphoides","Reissek",NA,"Hoehne, W","SPF12917","1951","05","02",NA,"Brazil","São Paulo",NA,"Próximo a Limeira.",NA,NA,"UEC171762","UEC171762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:38:42-03","UNICAMP","UEC","118153","S","Plantae","Magnoliopsida",NA,"Rhamnaceae","Gouania","inornata","Gouania inornata","Reissek","Bertoncini, AP","Bertoncini, AP; Bertoncini, MP","823","1998","05","07",NA,"Brazil","São Paulo","Avaí","Aldeia Guarani",NA,"Árvore, 4,0m de altura, folhas mambranáceas, frutos imaturos verdes.; Floresta estacional semidecidual submontana perturbada.","UEC171770","UEC171770","-49.383333","-22.333333",NA,NA,"-49.383333","-22.333333",NA,NA,NA,"1998","07","17",NA,NA,NA
"12","2019-08-20 10:23:46-03","UNICAMP","UEC","151528","S","Plantae","Magnoliopsida",NA,"Rhamnaceae","Gouania","inornata","Gouania inornata","Reissek","Costa, ACM","Costa, ACM","103","2009","02","14",NA,"Brazil","São Paulo","Valinhos","Clube de Campo Valinhos, mata ciliar",NA,"Trepadeira, flores verdes. Borda da trilha.","UEC171773","UEC171773","-46.931944","-22.956667","955","955","-46.931944","-22.956667",NA,NA,NA,"2010","02",NA,NA,NA,NA
"13","2021-03-01 16:38:42-03","UNICAMP","UEC","22345","S","Plantae","Magnoliopsida",NA,"Rhamnaceae","Gouania","inornata","Gouania inornata","Reissek","Lima, R","Heringer, EP; Filgueiras, TS; Mendonça, RC; Pereira, BAS; Heringer-Salles, AE; Chagas","3186","1980","04","21",NA,"Brazil","Distrito Federal","Brasília","Bacia do São Bartolomeu",NA,"Arbusto com ramos flexuosos; folhas amarelo esverdeadas, curtamente pilosas; flores amarelo claro, miudas.; Mata ciliar","UEC171771","UEC171771","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,"70570","auto","2003","04",NA,NA,NA,NA
"14","2021-03-01 16:38:42-03","UNICAMP","UEC","13322","S","Plantae","Magnoliopsida",NA,"Rhamnaceae","Gouania","inornata","Gouania inornata","Reissek","Lima, R","Carnielli, V; et al.","4049","1947","05","20",NA,"Brazil","São Paulo","Campinas","Mata da Fazenda Santa Genebra",NA,"Trepadeira, flores esverdeadas.","UEC171769","UEC171769","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,"23900","auto","2003","04",NA,NA,NA,NA
