"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907324","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","C. M. D. E. Legrand","H. S. Irwin","27318","1970","03","10","South America","Brazil","Minas Gerais","Ca. 3 km E. of Cantoni","-44.13","-17.57","610","610","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907324","NY00907324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907551","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","M. Sobral","G. G. Hatschbach","62762","1995","05","14","South America","Brazil","Mato Grosso","Fazenda Salobrinha","-57.2275","-15.3244",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907551","NY00907551_01","Porto Estrela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00907552","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.",NA,"A. F. M. Glaziou","H.16063",NA,NA,NA,"South America","Brazil",NA,"Cabo Frio","-42.032149","-22.874703",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907552","NY00907552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907553","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","M. Sobral","H. S. Irwin","26204","1970","02","06","South America","Brazil","Minas Gerais","Serra da Anta, summit of chapada, ca. 5 km S.E. of Paracatú","-46.8727778","-17.22555","675","675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907553","NY00907553_01","Paracatú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557824","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","F. F. Mazine","E. Amaral","s.n.",NA,NA,NA,"South America","Brazil",NA,"S/Procedência",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557824","NY00557824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-01-12 11:05:00-02","NY","NYBG","885934","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana",NA,"F. F. Mazine","H. de F. Leitão Filho","3999","1979","03","08","South America","Brazil","São Paulo","Mata Santa Genebra.","-47.06","-22.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885934","NY00885934_01","Campinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907325","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","C. M. D. E. Legrand","H. S. Irwin","27343","1970","03","10","South America","Brazil","Minas Gerais","Ca. 2 km N. of Joaquim Felício","-44.1709","-17.7588","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907325","NY00907325_01","Joaquim Felício",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-02-06 17:25:00-02","NY","NYBG","00907454","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana",NA,"F. F. Mazine","E. P. Heringer","17455","1979","08","31","South America","Brazil","Minas Gerais","Coleta efetuada entre Paracatú e Joâo Pinheiro. A 10 km de Paracatu","-46.8744","-17.2222",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907454","NY00907454_01","Paracatú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907554","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","M. Sobral","H. S. Irwin","27197","1970","03","08","South America","Brazil","Minas Gerais","Ca. 2 km N. of Joaquím Felício. Serra do Cabral.","-44.1719","-17.7575","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907554","NY00907554_01","Joaquim Felício",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00907597","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itajurensis","Eugenia itajurensis","Cambess.","M. Sobral","G. G. Hatschbach","30097","1972","08","09","South America","Brazil","Minas Gerais","Pico Itambé",NA,NA,"1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907597","NY00907597_01","Santo Antônio de Itambé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","2898","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","(Kiaersk.) D. Legrand","Kawasaki, M.L.","Christianini, S.R.","719","1997","12","06",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"BOTU002898",NA,"Agudos","1998","03","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-24 17:10:53-03","UTFPR","DVPR","3836","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","Cordeiro, J; Lozano. E.D.","Geraldino, HCL","415","2006","07","29",NA,"Brasil","Minas Gerais","Fazenda Caxambu (Estrada Boa Esperança - Coqueiral, Km 15)","-45.2824","21.0658","856","856",NA,"Árvore ca. 5 m de altura, ripária, com frutos imaturos de cor verde.; Relevo: suave-ondulado","DVPR003836",NA,"Boa Esperança","2009",NA,NA,"-45.2824","21.0658",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:45:50-03","EAO","IAN","93975","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.",NA,"Glaziou, AFM","1278","1907",NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"IAN093975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
