"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","order","typeStatus","continentOcean","preparationType","barcode","imagecode","stateProvince","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2685","S","Plantae","Pterifophyta","Dryopteridaceae","Elaphoglossum","langsdorffii","Elaphoglossum langsdorffii","(Hook. & Grev.) T.Moore","Carlos A. Ferreira Jr.","2013","06","20","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","20","Brasil","Catas Altas","Serra do Caraça, gruta de Lourdes","-43.4075012207031","-20.0746994018555","11966","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","149647","PreservedSpecimen","Plantae","Pteridophyta","Pteridaceae","Acrostichum","langsdorfii","Acrostichum langsdorfii","Hook. & Grev.",NA,NA,NA,NA,"G. H. von Langsdorff","s.n.",NA,NA,NA,"Brazil",NA,"Brasilia",NA,NA,NA,NA,"This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758393' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales","type fragment","South America","sheet","NY00149647","NY00149647_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1039335","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorffii","Elaphoglossum langsdorffii","(Hook. & Grev.) T.Moore",NA,NA,NA,NA,"E. Pereira","3210","1957","04","24","Brazil",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485527' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY01039335","NY01039335_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","809703","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorfii","Elaphoglossum langsdorfii","(Hook. & Grev.) T.Moore",NA,NA,NA,NA,"A. C. Brade","s.n.","1928","02","14","Brazil","Teresópolis","Theresopolis, Pedra Frade","-42.9656","-22.4122",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807530' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY00809703","NY00809703_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","809700","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorfii","Elaphoglossum langsdorfii","(Hook. & Grev.) T.Moore","A. F. Rojas Alvarado",NA,NA,NA,"W. Meier","3259","1992","12","30","Venezuela","Nirgua","Dist. Niruga y Dist. San Felipe: Serrania Santa Maria-Cerro La Chapa; en la cumbre; al este de la pica Niruga-Las Marias","-68.55","10.2083333",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127908' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY00809700","NY00809700_01","Yaracuy","1150","1350",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3824007","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorffii","Elaphoglossum langsdorffii","(Hook. & Grev.) T.Moore",NA,NA,NA,NA,"J. A. Steyermark","567","1955",NA,NA,"Venezuela",NA,"Chimantá Massif. At base of Upper Falls of Rio Tirica above Summit Camp. Centrak Section.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4105000' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY03824007","NY03824007_01","Bolívar","1940",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","875264","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorfii","Elaphoglossum langsdorfii","(Hook. & Grev.) T.Moore","A. F. Rojas Alvarado",NA,NA,NA,"W. R. Anderson","36005","1972","02","14","Brazil",NA,"Serra do Espinhaço, ca. 5 km SSE of Pico do Itambé","-43.3919444","-18.43185",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958156' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY00875264","NY00875264_01","Minas Gerais","1140","1140",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1801242","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorfii","Elaphoglossum langsdorfii","(Hook. & Grev.) T.Moore","F. B. Matos",NA,NA,NA,"F. B. Matos","2047","2012","02","08","Brazil","Itatiaia","Parque Nacional do Itatiaia. Início da trilha entre a Piscina da Marombe e Cachoeira Véu-de-Noiva.","-44.6197","-22.4289",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017740' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY01801242","NY01801242_01","Rio de Janeiro","1100",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","720566","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorffii","Elaphoglossum langsdorffii","(Hook. & Grev.) T.Moore",NA,NA,NA,NA,"A. Salino","7810","2001","11","01","Brazil",NA,"Natividade da Serra, Parque Estadual da Serra do Mar, Núcleo Santa Virginia, Trilha do Pico do Corcovado.","-45.19328","-23.44906",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2517865' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY00720566","NY00720566_01","São Paulo","900","1150",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","875260","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","langsdorfii","Elaphoglossum langsdorfii","(Hook. & Grev.) T.Moore","A. Salino",NA,NA,NA,"A. Salino","3163","1997","07","14","Brazil","São Roque de Minas","Parque Nacional da Serra da Canastra.","-46.6644","-20.1714",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958098' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Polypodiales",NA,"South America","sheet","NY00875260","NY00875260_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA
