"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","identifiedBy","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","720513","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Borreria","pulchristipula","Borreria pulchristipula","(Bremek.) Bacigalupo & E.L.Cabral","J. H. Kirkbride Jr.","3000","1977","03","02","South America","Brazil","Mato Grosso","6 km N of Fazienda Santa Catarina which is on the road S of Serra do Aguapei","-59.42","-16.17","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720513","NY00720513_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","720511","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Borreria","pulchristipula","Borreria pulchristipula","(Bremek.) Bacigalupo & E.L.Cabral","T. C. Plowman","9082","1980","02","24","South America","Brazil","Pará","2 km west of town along highway PA-287","-49.3","-8.25","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720511","NY00720511_01","Conceição do Araguaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","720512","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Borreria","pulchristipula","Borreria pulchristipula","(Bremek.) Bacigalupo & E.L.Cabral","H. S. Irwin","24810","1969","03","21","South America","Brazil","Goiás","Chapada dos Veadeiros, Alto Paraíso (formerly Veadeiros)","-47.5167","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720512","NY00720512_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1033683","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Spermacoce","pulchristipula","Spermacoce pulchristipula","(Bremek.) Delprete","J. H. Kirkbride Jr.","3467","1980","02","14","South America","Brazil","Goiás","A Corrêgo Paciência na Fazienda das Esmeraldas perto GO 164, ca 6 km NE de Goiás Velho.","-50.12","-15.9","560","560","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224521' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033683",NA,"Goiás","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1146129","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Spermacoce","pulchristipula","Spermacoce pulchristipula","(Bremek.) Delprete","P. G. Delprete","10389","2007","11","17","South America","Brazil","Goiás","Serrra dos Pireneus. Da estrada principal da serra, estrada para Fazenda São Lazaro.","-48.8975","-15.7981","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1331905' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146129","NY01146129_01","Pirenópolis","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182897","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Spermacoce","pulchristipula","Spermacoce pulchristipula","(Bremek.) Delprete","P. G. Delprete","9147","2004","12","09","South America","Brazil","Goiás","Ribeirão João Leite, último km antes da junção com o Rio Meia Ponte.","-49.2467","-16.5503","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411155' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182897","NY01182897_01","Goiânia","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1033685","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Spermacoce","pulchristipula","Spermacoce pulchristipula","(Bremek.) Delprete","T. C. Plowman","8349","1980","02","03","South America","Brazil","Tocantins","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.62","-3.42","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033685","NY01033685_01","Presidente Kennedy","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1085903","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Spermacoce","pulchristipula","Spermacoce pulchristipula","(Bremek.) Delprete","E. Hassler","8150",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257612' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085903","NY01085903_01",NA,"P. G. Delprete","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1033684","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Spermacoce","pulchristipula","Spermacoce pulchristipula","(Bremek.) Delprete","B. D. Sucre","881","1965","11","23","South America","Brazil","Distrito Federal","Alagados do Zoobotânico.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224531' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033684",NA,"Brasília","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1145963","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Spermacoce","pulchristipula","Spermacoce pulchristipula","(Bremek.) Delprete","P. G. Delprete","9672","2006","03","26","South America","Brazil","Goiás","Serra dos Pireneus, Estrada lateral Pirenópolis-Cacalzinho que vai para Faz. Portal do Lázaro, rumo a Cachoeira do Coqueiro para Cachoeira Santa.","-46.3375","-15.7914","1020","1020","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325639' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145963","NY01145963_01","Pirenópolis","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
