"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","order","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","previousCatalogNumber","sex"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4482","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Carlos Alberto Ferreira Júnior","2018","11","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547405","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","E. A. Christenson",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352476' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","P. K. H. Dusén","8512","1909","06","22","South America","Brazil","Paraná","Ponta Grossa","Capao Grande","-50.1617","-25.095","sheet","NY00547405","NY00547405_01 NY00547405_02 NY00547405_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547402","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80401' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","R. Reitz","16160","1963","09","12","South America","Brazil","Santa Catarina","Campos Novos",NA,"-51.2247","-27.4019","sheet","NY00547402","NY00547402_01 NY00547402_02","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547403","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80403' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","A. Bornmüller","142",NA,NA,NA,"South America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,"photo","NY00547403","NY00547403_01",NA,NA,"Image of Type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547404","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80404' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","A. Bornmüller","142",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","NY00547404","NY00547404_01",NA,NA,"Image of Type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557742","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80398' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","T. J. Killeen","2707","1987","09","04","South America","Bolivia","Tarija","Burnet O'Connor","Rancho Huayco, 8 km N of road to Villamontes, W of Entre Rios","-64.25","-21.33","sheet","NY00557742","NY00557742_01 NY00557742_02","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557743","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80405' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","A. L. Woolston","1010","1958","08","14","South America","Paraguay","San Pedro",NA,"Alto Paraguay: Primavera",NA,NA,"sheet","NY00557743","NY00557743_01 NY00557743_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","547400","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80399' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","R. M. Klein","3032","1962","09","15","South America","Brazil","Santa Catarina",NA,"Km 16, Valoes",NA,NA,"sheet","NY00547400","NY00547400_01 NY00547400_02","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","547406","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","A. Gehrt",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352477' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","G. Edwall","27265","1903","04",NA,"South America","Brazil","São Paulo","Iperó","Ypanema","-47.68","-23.3503","sheet","NY00547406","NY00547406_01 NY00547406_02 NY00547406_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","547407","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","A. Ghillány",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352478' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","M. Rossato","4391","1988","09","16","South America","Brazil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal","-51.094927","-29.108528","sheet","NY00547407","NY00547407_01 NY00547407_02","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","991023","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","A. Schinini",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120048' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","T. M. Pedersen","13919","1984","08","28","South America","Argentina","Corrientes","San Miguel","Caranday-ty",NA,NA,"sheet","NY00991023","NY00991023_01 NY00991023_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","547401","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80400' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","R. M. Klein","3061","1962","09","16","South America","Brazil","Santa Catarina","Pôrto Uniao",NA,"-51.0781","-26.2383","sheet","NY00547401","NY00547401_01 NY00547401_02","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","547399","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80402' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","G. G. Hatschbach","24722","1970","09","18","South America","Brazil","Paraná","Balsa Nova",NA,"-49.6356","-25.5842","sheet","NY00547399","NY00547399_01 NY00547399_02","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-08 11:09:41-03","UNESP-IBB","BOTU","28369","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Marcusso, G.M.","2011","08","24",NA,NA,NA,NA,"Barb. Rodr.","Marcusso, G.M.","5B","2011","05","05",NA,"Brasil","São Paulo","Botucatu",NA,"-48.457778","-22.923056",NA,"BOTU028369",NA,NA,NA,NA,"48°27'28w","22°55'23 s",NA,NA,NA,NA,NA,NA,NA
"15","2021-02-08 11:09:41-03","UNESP-IBB","BOTU","28370","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Marcusso, G.M.","2011","08","24",NA,NA,NA,NA,"Barb. Rodr.","Marcusso, G.M.","5A","2011","05","05",NA,"Brasil","São Paulo","Botucatu",NA,"-48.457778","-22.923056",NA,"BOTU028370",NA,NA,NA,NA,"48°27'28w","22°55'23 s",NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6639","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Amaral Jr., A.",NA,NA,NA,NA,NA,NA,NA,"Barb. Rodr.","Amaral Jr., A.","5","1972","09","02",NA,"Brasil","São Paulo","Botucatu","À margem da Estrada Botucatu - Itatinga,a mais ou menos 5km do aeroporto municipal de Botucatu",NA,NA,NA,"BOTU006639",NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA
"17","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","32726","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Amaral Jr., A.","1973","02","22",NA,NA,NA,NA,"Barb.Rodr.","Amaral Jr., A.","1043","1973","01","16",NA,"Brasil","São Paulo","Botucatu","Rio Pardo",NA,NA,NA,"BOTU032726",NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:26:36-03","PUCPR","HUCP","21825","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Kersten, RA",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Selusniaki, M","3040","2009","08",NA,NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,"HUCP00002501","HUCP00002501",NA,NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA
"19","2019-12-04 15:26:36-03","PUCPR","HUCP","24457","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Santos, TF",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Santos, TF","097","2015","06","06",NA,"Brasil","Paraná","Bocaiúva do Sul",NA,"-49.1150016784668","-25.2061004638672",NA,"HUCP00002944","HUCP00002944",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA
"20","2019-12-04 15:26:36-03","PUCPR","HUCP","21516","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Kersten, RA",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Kersten, RA","1435","2010","05","20",NA,"Brasil","Paraná","Campo Mourão",NA,"-52.3830986022949","-24.0456008911133",NA,"HUCP00002556","HUCP00002556",NA,NA,NA,NA,NA,"28572","auto",NA,NA,NA,NA,NA
"21","2019-12-04 15:26:36-03","PUCPR","HUCP","8624","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Jaszczerski, JC; Bohme, E",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Jacobsen, TJ","014","1982","10","08",NA,"Brasil","Paraná","Clevelândia","Fazenda São Dimas","-52.4707984924316","-26.3957996368408",NA,"HUCP00002809","HUCP00002809",NA,NA,NA,NA,NA,"30860","auto",NA,NA,NA,NA,NA
"22","2019-12-04 15:26:36-03","PUCPR","HUCP","24468","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera",NA,NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Santos, TF","033","2014","08","13",NA,"Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,"HUCP00002892","HUCP00002892",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"23","2019-12-04 15:26:36-03","PUCPR","HUCP","21527","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Ariati, V",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Ariati, V","418","2010","07","10",NA,"Brasil","Paraná","Itapejara D'Oeste","Ipiranga","-52.8163986206055","-25.9652996063232",NA,"HUCP00002927","HUCP00002927",NA,NA,NA,NA,NA,"17425","auto",NA,NA,NA,NA,NA
"24","2019-12-04 15:26:36-03","PUCPR","HUCP","21214","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Kersten, RA",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Ariati, V","234","2009","07","12",NA,"Brasil","Paraná","Itapejara D'Oeste","Ipiranga","-52.8163986206055","-25.9652996063232",NA,"HUCP00002840","HUCP00002840",NA,NA,NA,NA,NA,"17425","auto",NA,NA,NA,NA,NA
"25","2019-12-04 15:26:36-03","PUCPR","HUCP","17544","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Kersten, RA","2006","08","09",NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Kersten, RA","940","2006","09","01",NA,"Brasil","Paraná","Lapa","Est. Engenheiro Bley","-49.7158012390137","-25.7696990966797",NA,"HUCP00002547","HUCP00002547",NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA
"26","2019-12-04 15:26:36-03","PUCPR","HUCP","19207","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Kersten, RA",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Michelon, C","226","2008","08","09",NA,"Brasil","Paraná","Mandirituba",NA,"-49.326099395752","-25.7789001464844",NA,"HUCP00002464","HUCP00002464",NA,NA,NA,NA,NA,"20385","auto",NA,NA,NA,NA,NA
"27","2019-12-04 15:26:36-03","PUCPR","HUCP","8628","S","Plantae","Orchidaceae","Capanemia","micromera","Capanemia micromera","Jaszczerski, JC",NA,NA,NA,NA,NA,"Monocotiledonea",NA,"Barb. Rodr.","Berger, I","003","1986","09","21",NA,"Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"HUCP00002523","HUCP00002523",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"28","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494519","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","australis","Capanemia australis",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494519 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asparagales","(Kraenzl.) Schltr.","Reitz R; Klein RM",NA,"1963","09","12","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina. Campos Novos.",NA,NA,NA,"NL-L1494519","NL-L1494519",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"29","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494520","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","australis","Capanemia australis",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asparagales","(Kraenzl.) Schltr.","Klein RM",NA,"1962","09","13","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina. Alto da Serra, Encruzilhada, Lajes.",NA,NA,NA,"NL-L1494520","NL-L1494520",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"30","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494521","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","australis","Capanemia australis",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494521 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asparagales","(Kraenzl.) Schltr.","Klein RM",NA,"1962","09","16","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina. Pôrto União.",NA,NA,NA,"NL-L1494521","NL-L1494521",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
