"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","locality","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","sex"
"1","2020-09-23 10:43:03-03","E","E","285110","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","angustifolia","Chomelia angustifolia","isotype","Schomburgk, Robert Hermann","32","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:291918","<a href=http://data.rbge.org.uk/herb/E00285110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:03-03","E","E","156990","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","intercedens","Chomelia intercedens",NA,"Coradin, L., Silva, G.P., Vieira, J.G.A., Souza, F.B., Harley, R., Linington, S. & Baker, R.","5836","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:167198","<a href=http://data.rbge.org.uk/herb/E00156990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00156990","1983","06","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:03-03","E","E","100759","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109912","<a href=http://data.rbge.org.uk/herb/E00100759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100759","1999","08","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:03-03","E","E","104536","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113775","<a href=http://data.rbge.org.uk/herb/E00104536 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104536","1998","11","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:03-03","E","E","104125","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113415","<a href=http://data.rbge.org.uk/herb/E00104125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104125","1998","11","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:03-03","E","E","285157","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa","unspecified kind of","Sellow, Friedrich",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:292459","<a href=http://data.rbge.org.uk/herb/E00285157 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285157",NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:03-03","E","E","104537","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113772","<a href=http://data.rbge.org.uk/herb/E00104537 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104537","1998","11","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:03-03","E","E","247211","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"Dubs, Balthasar","837","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:266678","<a href=http://data.rbge.org.uk/herb/E00247211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247211","1988","06","04","Fazenda Salina, Pantanal do Rio Negro.","Mato Grosso","-56.166667","-19.5","-56.166667","-19.500000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","131063","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","angustifolia","Chomelia angustifolia","isotype","R. Schomburgk","32","South America","Guyana","sheet",NA,"1836/XV <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131063",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Gentianales","Benth.","NY00131063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","949069","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","intercedens","Chomelia intercedens",NA,"I. Silberbauer-Gottsberger","11-20282","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949069","1982","02","20","Fazenda Canto da Roca (spoken: Rossa)","Maranhão","-43.9","-4.5",NA,NA,"Magnoliophyta","Gentianales","Müll.Arg.","NY00949069_01","P. G. Delprete","Codó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
