"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","871870","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","riparia","Richterago riparia","Roque","G. G. Hatschbach","30046","1972","08","07","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871870","NY00871870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","346060","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","riparia","Richterago riparia","Roque","T. N. Roque","493","1998","09","30","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km. 107.5 da Estrada Belo Horizonte-Conceiçao do Mato Dentro (12.7 km. da ponte do Rio Cipó)","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346060","NY00346060_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-25 16:50:25-03","UFBA","ALCB","122496","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","riparia","Richterago riparia","N.Roque","Barres, L; Alves, M; Campos, L; Roque, N","210","2015","09","29","Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra de Cipó, cachoeira da Farofa.","-43.7144012451172","-19.1688995361328",NA,"ca. 30 cm alt. Folhas em roseta, eretas. Capítulo em corimbo; radiado; flores alvas.; Sobre Rocha","ALCB007935",NA,NA,"Barres, L","2015","09","26557","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:02:11-03","ESALQ","ESA","120744","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Delfini, C.","320.0","2012","05","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, estrada de acesso para a Cahoeira da Fumaça, após o entroncamento para a trilha do Cânion das Bandeirinhas, entre 6-7km da portaria principal.","-43.59632","-19.3759",NA,"Erva, ca. 20cm alt., botões verdes.","ESA120744",NA,NA,"Roque, N.","2016","07",NA,NA,"06","-43.59632","-19.3759","806","806",NA,NA
"5","2020-11-04 11:02:11-03","ESALQ","ESA","73511","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25260.0","2001","07","06",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Base da Cachoeira da Farofa. 19o22'49S, 43o34'37W. 1010m.s.m.","-43.7144012451172","-19.1688995361328",NA,"Erva; flores creme. No leito do rio.","ESA073511","ESA073511",NA,"Roque, N.","2016","07","26557","auto","06","-43,576,944","-19,380,278","1010","1010",NA,NA
"6","2021-03-01 16:25:10-03","UNICAMP","UEC","2745","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Semir, J; Sazima, M; Menezes, N; Giulietti, AM","4064","1973","04","29",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Capítulos creme.; Local úmido.","UEC130831","UEC130831",NA,"Roque, N","1999",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:25:10-03","UNICAMP","UEC","2900","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Joly, AB; Semir, J","2895","1972","08","20",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Capítulos creme.; Cresce perto do riacho.","UEC130833","UEC130833",NA,"Roque, N","1999",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:25:10-03","UNICAMP","UEC","2744","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Joly, AB; Semir, J; Ugadim, Y","291","1970","06","07",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 116 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Flores brancas.","UEC130834","UEC130834",NA,"Roque, N","1999",NA,"31264","auto",NA,NA,NA,"1095","1095",NA,NA
"9","2021-03-01 16:25:10-03","UNICAMP","UEC","56320","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Anjos, AMG","108","1989","08","26",NA,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, 15 km do Cipó Veraneio Hotel, no lado esquerdo da estrada Lagoa Santa - Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752",NA,"Herbácea.; Campo rupestre, entre pedras,junto a riachos.","UEC130835","UEC130835",NA,"Roque, N","1999",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:25:10-03","UNICAMP","UEC","66771","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Giulietti, AM; Menezes, NL; Cordeiro, I; Sajo, MG; Castro, NM; Diacuí, J","CFSC7423","1981","07","01",NA,"Brazil","Minas Gerais","Santana do Riacho","Ao londo da rodovia Belo Horizonte - Conceição do Mato Dentro. Às margens do Córrego Véu da Noiva.","-43.7144012451172","-19.1688995361328",NA,"Erva de capítulos alvos.","UEC130829","UEC130829",NA,"Franco, IM","2013","04","26557","auto",NA,NA,NA,NA,NA,NA,NA
