"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00664167","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","L. R. Noblick","4846","1992","03","19","South America","Brazil","Minas Gerais","Diamantina","Mendanha, 3 km N. of the Rio Jequitinonha on BR-367.","-43.5","-18.12","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664167","NY00664167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00664166","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","L. R. Noblick","4846","1992","03","19","South America","Brazil","Minas Gerais","Diamantina","Mendanha, 3 km N. of the Rio Jequitinonha on BR-367.","-43.5","-18.12","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664166","NY00664166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00664169","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","L. R. Noblick","4844","1992","02","19","South America","Brazil","Minas Gerais","Diamantina","Near Mendanha, 1 km S. of the Rio Jequitinonha on BR-367.","-43.5","-18.12","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664169","NY00664169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00664168","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","L. R. Noblick","4844","1992","02","19","South America","Brazil","Minas Gerais","Diamantina","Near Mendanha, 1 km S. of the Rio Jequitinonha on BR-367.","-43.5","-18.12","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664168","NY00664168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:55:15-03","JBP","HPL","10335","S","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","R. Tsuji, H. Lorenzi, L. Noblick et al","2708","2008","06","21",NA,"Brasil","MG","Mendanha","Coletado em área de cerrado 4 Km ao norte da cidade, Faz. Vaqueiros.","-43.483417","-18.107583","820","820",NA,NA,NA,NA,"L. Noblick","2008","06","21","43° 29' 0,3 W","18° 06' 27,3 S",NA,NA,NA
"6","2015-07-02 14:42:03-03","JBP","HPL","1363","S","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassm.","H. Lorenzi","4843","2004","05","06",NA,"Brasil","MG","Conto de Magalhães de Minas","A 4km da cidade rumo a Diamantina.",NA,NA,NA,NA,NA,NA,NA,NA,"H. Lorenzi","2004","05","06",NA,NA,NA,NA,NA
"7","2015-07-02 14:42:03-03","JBP","HPL","1365","S","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassm.","H. Lorenzi","4279","2003","12","18",NA,"Brasil","MG","Mendanha","a 1km do rio Jequitinhanha, na BR367 no sentido para Diamantina, em cerrado aberto de solo arenosona base de uma montanha.",NA,NA,NA,NA,NA,NA,NA,NA,"H. Lorenzi","2003","12","18",NA,NA,NA,NA,NA
"8","2015-07-02 14:42:03-03","JBP","HPL","6072","S","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassm.","R. Tsuji, L.C. Bernacci & E. Franco","1262","2006","03","10",NA,"Brasil","MG","Couto Magalhães de Minas","Coletado na estrada para Diamantina, em cerrado 17°57'31,9''S, 43°24'15,7''W, 997m.s.m.",NA,NA,NA,NA,NA,NA,NA,NA,"R. Tsuji & E. Franco","2006","03","10",NA,NA,NA,NA,NA
"9","2015-07-02 14:42:03-03","JBP","HPL","7264","S","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis",NA,"H. Lorenzi","4912","2004","07","30",NA,"Brasil","MG","Mendanha","Coletado na rodovia para Diamantina. S 18° 07' 56; W 43° 30' 56 - 725 m.s.m.",NA,NA,NA,NA,NA,NA,NA,NA,"H. Lorenzi","2004","07","30",NA,NA,NA,NA,NA
"10","2015-07-02 14:55:15-03","JBP","HPL","1364","S","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassm.","H. Lorenzi","4839","2004","05","06",NA,"Brasil","MG","Mendanha","Na rodovia para Diamantina.","-43.515556","-18.132222","725","725",NA,NA,NA,NA,"H. Lorenzi","2004","05","06","43° 30' 56 W","18° 07' 56 S",NA,NA,NA
"11","2020-12-21 16:13:36-03","MBM","MBM","416368","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","5912","2018","11","16","Southern America","Brazil","Minas Gerais","Couto de Magalhães de Minas",NA,"-43.448611","-18.123611","807","807",NA,"Palmeira sem estipe aparente; frutos imaturos. Folha inteira na exsicata.; Campo rupestre.","MBM416368",NA,"Sant'Anna-Santos, B.F.","2019","05",NA,"-43.448611","-18.123611",NA,NA,NA
"12","2020-12-11 11:43:25-03","UFMG","BHCB","23518","PreservedSpecimen","Plantae","Monocotyledon",NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis",NA,"Noblick, LR","4844","1992","02","19","Southern America","Brasil","Minas Gerais","Diamantina","Near Mendanha, 1km S of the Rio Jequitinhonha on BR-367.","-43.5","-18.116667","400","500",NA,"Solitary palm with subterranean trunk. 5 LEAVES in crown, spirally arranged and spreading. Leaf sheath plus petiole is 50 cm long with a true leaf petiole only 17-39 cm long with smooth margins and a fibrous leaf sheath, adaxially cha","BHCB050522","BHCB050522 BHCB050522_1 BHCB050522_2",NA,NA,NA,NA,"-43.5","-18.116667",NA,NA,NA
"13","2020-12-11 11:43:25-03","UFMG","BHCB","23519","PreservedSpecimen","Plantae","Monocotyledon",NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis",NA,"Noblick, LR","4846","1992","03","19","Southern America","Brasil","Minas Gerais","Diamantina","Mendanha, 3km N of the Rio Jequitinhonha on BR-367","-43.5","-18.116667","400","500",NA,"Solitary palm with mostly subterranean trunk. 5-7 LEAVES in crown, spirally arranged and spreading. Leaf sheath fibrous and true leaf petiole only 17-42 cm long with smooth margins, adaxially channeled and abaxially rounded. Leaf rach","BHCB050521","BHCB050521 BHCB050521_1",NA,NA,NA,NA,"-43.5","-18.116667",NA,NA,NA
"14","2010-04-15 11:39:00-03","MO","MOBOT","1953979","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","Larry R. Noblick","Noblick 4844","1992","2","19","South America","Brazil","Minas Gerais",NA,"Municipio de Diamantina, near Mendanha, 1 km S. of the Rio Jequitinonha on BR-367. In cerrado at the base of rock outcrops in sandy gravelly soils and in association with S. glaucescens and S. flexuosa.","-43.5","-18.11666","400.00000000","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","1705632","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","W. A. Archer","4086","1936","9","24","South America - Neotropics","Brazil","Minas Gerais",NA,"Vicinity of Mendanha.",NA,NA,NA,NA,NA,NA,"US00087708","US00087708_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Isotype","1"
"16","2020-09-12 05:00:02-03","US","US","3243111","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","L. R. Noblick","4846","1992","3","19","South America - Neotropics","Brazil","Minas Gerais",NA,"Mendanha, n of rio jequitinonha","-43.5","-18.1167",NA,NA,NA,NA,"US00428248","US00428248_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,"1"
"17","2020-09-12 05:00:02-03","US","US","3243112","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","L. R. Noblick","4846","1992","3","19","South America - Neotropics","Brazil","Minas Gerais",NA,"Mendanha, n of rio jequitinonha","-43.5","-18.1167",NA,NA,NA,NA,"US00428249","US00428249_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,"1"
"18","2020-09-12 05:00:02-03","US","US","1705631","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","W. A. Archer","4086","1936","9","24","South America - Neotropics","Brazil","Minas Gerais",NA,"Vicinity of Mendanha.",NA,NA,NA,NA,NA,NA,"US00087707","US00087707_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Isotype","1"
"19","2020-09-12 05:00:02-03","US","US","3243098","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","L. R. Noblick","4844","1992","2","19","South America - Neotropics","Brazil","Minas Gerais",NA,"Near mendanha, s of rio jequitinonha",NA,NA,NA,NA,NA,NA,"US00428236","US00428236_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,"1"
"20","2021-03-15 18:25:12-03","USP","SPF","209539","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","Medeiros, BAS; Fonseca, LHM","99","2013","11","21",NA,"Brasil","Minas Gerais","Couto de Magalhães de Minas","À beira da estrada para a cachoeira da fábrica. Estrada inicia como entroncamento na rodovia Oscar Von Bentzen Rodrigues (MGC-367).","-43.464861","-18.122786","826","826",NA,"Caule subterrâneo, sobre solo cascalhento/arenoso, próximo a afloramentos rochosos. Folhas verdes na face adaxial e abaxial. Espata marrom externamente e amarela internamente. Flores amarelas com raque alaranjada.; Campo rupestre.","SPF00209539",NA,"Medeiros, BAS","2013","11","21","-43.464861","-18.122786",NA,NA,NA
"21","2019-11-21 09:59:33-03","IBt","SP","285407","S","Plantae",NA,NA,"Arecaceae","Syagrus","mendanhensis","Syagrus mendanhensis","Glassman","Noblick, LR","4844","1992","02","19",NA,"Brasil","Minas Gerais","Diamantina","Near Mendanha, 1 km S. of the Rio Jequitinhonha on BR-367. In cerrado at the base of rock outcrops in sandy gravelly soils and in association with <em>S. glaucescens </em>and <em>S. flexuosa</em>","-43.5","-18.116667","400","500",NA,NA,"SP056064","SP056064 SP056064_01 SP056064_02",NA,NA,NA,NA,"-43.5","-18.116667",NA,NA,NA
