"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","545553","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Amaryllis","psittacina","Amaryllis psittacina","Ker Gawl.","A. C. Cervi","A. C. Cervi","6319","1997","09","10","South America","Brazil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-49.97","-25.48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545553","NY00545553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565062","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","(Ker Gawl.) Herb.",NA,"D. R. Hunt","6434","1966","07","25","South America","Brazil","Rio de Janeiro","Itatiaia",NA,"-44.617038","-22.371537","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565062","NY00565062_01","2400","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:18:46-03","UFRJ","RFA","22750","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","Herb.","A. Curt Brade","F. Segadas-Vianna",NA,"1943","06",NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,"RFA52277",NA,NA,NA,"1943","08","27","19648","auto",NA,NA,NA,NA
"4","2020-11-24 17:10:24-03","UTFPR","DVPR","76","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","Ker Gawl.Herb.","Estevan, DA","Estevan, DA; et al.","1213","2006","09","05",NA,"Brasil","Paraná","Ventania","Morro do Chapéu","-50.2428016662598","-24.2458000183105",NA,"Erva 0,8 cm, flores.; Cerrado.","DVPR000076","DVPR000076",NA,NA,"2006",NA,NA,"32424","auto",NA,NA,NA,NA
"5","2021-03-30 12:51:14-03","EAO","IAN","79373","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","Herb.",NA,"Vasconcelos, J; Sobrinho","262","1937","02",NA,"Southern America","Brasil","Pernambuco",NA,"Terrenos silicoso-argilosos.",NA,NA,NA,NA,"IAN079373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:51:14-03","EAO","IAN","79373","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","Herb.",NA,"Vasconcelos, J; Sobrinho","262","1937","02",NA,"Southern America","Brasil","Pernambuco",NA,"Terrenos silicoso-argilosos.",NA,NA,NA,NA,"IAN079373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:23-03","PUCPR","HUCP","21683","S","Plantae","Monocotiledonea",NA,"Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","Herb.","Kersten, RA","Mascarenhas, A","007","2008","06","11",NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
"8","2019-12-04 15:26:23-03","PUCPR","HUCP","20983","S","Plantae","Monocotiledonea",NA,"Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","Herb.","Kersten, RA","Kersten, RA","1377","2009","10",NA,NA,"Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA
"9","2019-12-04 15:26:23-03","PUCPR","HUCP","23421","S","Plantae","Monocotiledonea",NA,"Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","Herb.","Kersten, RA","Kersten, RA","1516","2011","01","20",NA,"Brasil","Paraná","São Jerônimo da Serra",NA,"-50.7411003112793","-23.7275009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30511","auto",NA,NA,NA,NA
"10","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1459932","PreservedSpecimen","Plantae",NA,"Asparagales","Amaryllidaceae","Hippeastrum","psittacinum","Hippeastrum psittacinum","(Ker Gawl.) Herb.",NA,"Hatschbach GG",NA,"1968","09","15","Southern America","Brazil",NA,NA,"Est. Paraná, Mun. Contenda, Rodovia do Xisto.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1459932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1459932","NL-L1459932",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
