"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","coordinatePrecision","geoFlag","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01214340","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King","J. F. Pruski","C. R. Sperling","5596","1982","05","12","South America","Brazil","Pará","Serra dos Carajás, Serra Norte, AMZA camp N-5","-50.13","-6.07","700","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460575' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214340","NY01214340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01214339","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King","J. F. Pruski","R. de S. Secco","123","1982","05","12","South America","Brazil","Pará","Marabá, Alto da Serra, arredores do N5",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460574' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214339","NY01214339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01214342","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King","J. F. Pruski","A. S. L. da Silva","1775","1984","03","14","South America","Brazil","Pará","Serra dos Carajás. N-4, mina pilôto para exploração de ferro. Local onde foi realizado Inventário em 05/83. Campo rupestre, solo de canga.","-50.1736164","-6.0551244","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1338403' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214342","NY01214342_01","Marabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01214343","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King","J. F. Pruski","C. R. Sperling","5683","1982","05","15","South America","Brazil","Pará","Serra dos Carajás. Serra Norte, 5 km west of AMZA camp N-5","-50.17","-6.07","700","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460582' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214343","NY01214343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01214341","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King","H. Robinson","M. G. da Silva","3022","1977","04","03","South America","Brazil","Pará","Serra dos Carajás, caminho para o azul. Campo pedregoso.","-50.2980682","-6.1046262",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214341","NY01214341_01","Marabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:33:19-03","UFMG","BHCB","145474","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Mota, NFO; Marino, F; Arruda, AJ; Santos, ALM; Silva, LVC","1935","2010","12","17","Southern America","Brasil","Pará","S. Bocaina, Vegetação rupestre-granito","-49.914722","-6.294722","710","710",NA,"Erva. endêmica","BHCB017052",NA,"Parauapebas","-49.914722","-6.294722",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:33:19-03","UFMG","BHCB","114407","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Mota, NFO; Viana, PL; Costa, LV-Silva; L.C. Garcia; G.M. Maciel; Silva, DF","1139","2007","12","09","Southern America","Brasil","Pará","Floresta nacional de Carajás., Serra Sul. Corpos A, B e C.","-50.433333","-6.349722","725","725",NA,"Borda das lagoas geminadas; solo de canga. Herbáceo, 0,4-0,5m. Capítulos rosas.",NA,NA,"Canaã dos Carajás","-50.433333","-6.349722",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:33:19-03","UFMG","BHCB","129629","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Giorni, VT; Marino, F; Silva, DF","229","2009","04","25","Southern America","Brasil","Pará","Nova Usina., Serra Norte - N4. 130Mtpa.","-50.155278","-6.033056",NA,NA,NA,"Plantas do Brasil. Sub-bosque de Mata Baixa sobre canga. Herbáceo. Flores brancas.","BHCB006341",NA,"Parauapebas","-50.155278","-6.033056",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:33:19-03","UFMG","BHCB","130691","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Viana, PL; Versieux, LM; Garcia, LC; Giorni, VT; Silva, LVC; Silva, DF","4090","2009","03","17","Southern America","Brasil","Pará","S11D, Vegetação rupestre","-50.370278","-6.398333","743","743",NA,"Endêmica","BHCB017050",NA,"Canaã dos Carajás","-50.370278","-6.398333",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:33:19-03","UFMG","BHCB","130789","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Giorni, VT; Viana, PL; Silva, LVC; Silva, DF","80","2009","03","11","Southern America","Brasil","Pará","N1, Vegetação rupestre","-50.273889","-6.055556","750","750",NA,"Erva. endêmica","BHCB017051",NA,"Parauapebas","-50.273889","-6.055556",NA,NA,NA,NA,NA,NA,NA,NA
