"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","414715","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(Samp.) Schltr.","M. Bolson","R. Reitz","6655","1958","04","07","South America","Brazil","Santa Catarina","Presidente Nereu","Sabiá, Presidente Nereu","-49.3903","-27.2772","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414715","NY00414715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414712","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(Samp.) Schltr.","C. A. Luer","P. K. H. Dusén","14767","1914","04","27","South America","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414712","NY00414712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","9297","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Restrepia","dusenii","Restrepia dusenii","Samp.",NA,"P. K. H. Dusén","8070","1909","04","27","South America","Brazil","Paraná",NA,"Villa Velha","-50.012929","-25.234872",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=369840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00009297","NY00009297_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:27-03","UFRJ","RFA","9412","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(A.Samp.) Schltr.","M. Bason","G.G. Hatschbach","21449","1969","04","29",NA,"Brasil","Paraná","Bituruna","Rio Iguaçu, Salto Grande","-51.5525016784668","-26.1613998413086",NA,NA,NA,"Epífita. Flor creme","RFA31541",NA,NA,"2016","04","05","30743","auto",NA,NA,NA,NA,NA
"5","2019-12-04 15:26:31-03","PUCPR","HUCP","21672","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(Samp.) Schlecht.","Bolson, M","Bianchi, J","056","2009","05","22",NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,"2019","11","19","12577","auto",NA,NA,NA,NA,NA
"6","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1487707","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(Samp.) Schltr.","Bolson M","Dusén PKH",NA,"1914","04","27","Southern America","Brazil",NA,NA,"Parana: Villa Velha, in satis rupibusque umbrosis.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1487707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1487707","NL-L1487707",NA,"2016","06","02",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"7","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1487708","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(Samp.) Schltr.","Bolson M","Dusén PKH",NA,"1909","04","27","Southern America","Brazil",NA,NA,"Paraná: Villa ! in rupibus.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1487708 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1487708","NL-L1487708",NA,"2016","09","02",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1487710","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(Samp.) Schltr.","Bolson M","Reitz R; Klein RM",NA,"1958","04","07","Southern America","Brazil",NA,NA,"Santa Catarina, Sabiá, Presidente Nereu.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1487710 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1487710","NL-L1487710",NA,"2016","09","02",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2019-08-27 13:26:31-03","IAP","PACA-AGP","11597","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(A. Samp.) Schltr.","Bolson, M.","Rambo, B.",NA,"1944",NA,NA,NA,"Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,"Estéril, muito provável Barbosella dusenii - Bolson, M. Habitat: In silva, epiphytica Fenofase: estéril","PACA011597",NA,NA,"2016","11","19","76715","auto","Liliatae",NA,NA,NA,NA
"10","2019-08-27 13:26:31-03","IAP","PACA-AGP","66867","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Barbosella","dusenii","Barbosella dusenii","(A. Samp.) Schltr.","Bolson, M.","Reitz & Klein","6655","1958","04","07",NA,"Brasil","SC","Presidente Nereu","Sabiá","-49.3903007507324","-27.2772006988525","750","750",NA,"Flor cor de palha Habitat: Epífito de mata Fenofase: flor","PACA066867",NA,NA,"2016","11","19","21642","auto","Liliatae",NA,NA,NA,NA
