"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","identifiedBy","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","00000679","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","subrosea","Hyptis subrosea","Harley","isotype","H. S. Irwin","32783","1971","03","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca 19 km N of Alto do Paraiso","-47.5097","-14.1325","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000679","NY00000679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:32:42-03","NBC","NL-BOTANY","U 0002559","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","subrosea","Hyptis subrosea","Harley","isotype","Irwin HS; et al.",NA,"1971","03","20","Southern America","Brazil","Goiás",NA,"Estado do GoiásChapada dos Veadeirosc. 19km N. of Alto de Paraíso",NA,NA,NA,NA,NA,"Open grassy cerrado with few trees. Cerrado on steep rocky slopes, surrounded by campo<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002559","NL-U0002559","Magnoliopsidae","291049 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:30:11-03","MBM","MBM","33032","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley",NA,"Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36331","1975","02","20","Southern America","Brazil","Goiás","Alto Paraíso","Rod. GO-12, Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,"MBM033032","MBM033032",NA,NA,"Atkinson, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-01-26 12:07:56-02","MNHN","RECOLNAT_MNHN_P","P00737444","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley","isotype","Irwin, H.S.|Harley, R.M.|Smith, G.L.",NA,"1971","3","20",NA,"Brésil",NA,NA,"Estado de Goias, Chapada dos Veadeiros : open grassy cerrado with few trees ; cerrado on steep rocky slopes, surrounded by campo, ca. 19 km N. of Alto do Paraiso",NA,NA,"1250",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737444' target='other'> <mi>dwc_moreinfo</mi></a>","P00737444","P00737444_01",NA,NA,NA,"32783",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-12-08 22:02:00-02","MO","MOBOT","454206","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley","Isotype","Howard S. Irwin|et al.","Irwin 32783","1971","3","20","South America","Brazil","Goiás",NA,"Open grassy cerrado with few trees. Cerrado on steep rocky slopes, surrounded by campo, ca. 19 km. N of Alto do Paraiso",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,"R.Liesner (MO)",NA,"1",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-19 11:19:07-03","UFG","UFG","30838","S","Plantae",NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley",NA,"H.D. Ferreira; Maria Tereza","4677","2007","04","22",NA,"Brasil","Goiás","Alto Paraíso",NA,"-47.521389","-14.521389",NA,NA,NA,NA,"0030838",NA,NA,NA,"Harley, R.M.",NA,NA,"2007","12","06","-47.521389","-14.521389",NA,NA
"7","2019-12-19 11:19:07-03","UFG","UFG","45700","S","Plantae",NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley",NA,"H.D. Ferreira; M.T. Faria","4920","2011","07","21",NA,"Brasil","Goiás","Alto Paraíso",NA,"-47.521389","-14.521389",NA,NA,NA,NA,"0045700",NA,NA,NA,"Ferreira, H.D.",NA,NA,"2011","04","21","-47.521389","-14.521389",NA,NA
"8","2019-12-19 11:19:07-03","UFG","UFG","30833","S","Plantae",NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley",NA,"H.D. Ferreira; Maria Tereza","4672","2007","04","21",NA,"Brasil","Goiás","Alto Paraíso",NA,"-47.521389","-14.088056",NA,NA,NA,NA,"0030833",NA,NA,NA,"Ferreira, H.D.",NA,NA,"2007","04","21","-47.521389","-14.088056",NA,NA
"9","2019-12-19 11:19:07-03","UFG","UFG","30834","S","Plantae",NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley",NA,"H.D. Ferreira; Maria Tereza","4673","2007","04","21",NA,"Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros","-47.521389","-14.088056",NA,NA,NA,NA,"0030834",NA,NA,NA,"Ferreira, H.D.",NA,NA,"2007","04","21","-47.521389","-14.088056",NA,NA
"10","2020-09-12 05:00:02-03","US","US","2675553","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","subrosea","Hyptis subrosea","Harley","Isotype","H. S. Irwin","32783","1971","3","20","South America - Neotropics","Brazil","Goiás","Alto Paraiso","Chapada dos Veadeiros, 19 km. north of Alto do Paraiso.",NA,NA,"1250","1250",NA,NA,"US00121931","US00121931_01","Dicotyledonae",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"11","2020-09-02 16:30:03-03","Cenargen","CEN","68679","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley",NA,"José Floriano Barêa Pastore","1801","2007","03","12",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","GO -118 entre A. Paraíso de Goiás - Teresina de Goiás.","-47.5099983215332","-14.1324996948242",NA,NA,"Exsicatas","Doação da Universidade Estadual de Feira de Santana - Herbário HUEFS (117618). Feira de Santana - Bahia.","CEN00068679","CEN00068679",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"44724","auto"
"12","2019-10-07 09:16:09-03","UEFS","HUEFS","117618","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hypenia","subrosea","Hypenia subrosea","(Harley) Harley",NA,"Pastore, J.F.B.","1801","2007","03","12",NA,"Brasil","Goiás","Alto Paraíso de Goiás","GO 118 entre Alto Paraíso de Goiás e Terezina.","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"HUEFS0117618","HUEFS0117618","Asteranae",NA,"R.M.Harley",NA,NA,"2007","08",NA,NA,NA,"44724","auto"
"13","2019-11-01 15:01:47-03","UnB","UB","1699","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","subrosea","Hyptis subrosea","Harley","isotype","Irwin, HS; Grear Junior, JW; Souza, R; Santos, RR","12310","1966","02","08","Southern America","Brasil","Goiás",NA,"Ca. 15 km W de Veadeiros",NA,NA,"1000","1000",NA,"Tipo.; Erva 1,25m. Flor branca; Campo.","UB0037141","UB0037141",NA,NA,"Harley, RM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-01 15:01:47-03","UnB","UB","1700","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","subrosea","Hyptis subrosea","Harley","isotype","Irwin, HS; Harley, RM; Smith, GL; Santos, RR","32783","1971","03","20","Southern America","Brasil","Goiás",NA,"Ca. 19 km N de Alto Paraíso",NA,NA,"1250","1250",NA,"Tipo.; SubArbusto 0,6m. Flor branca; Cerrado aberto.","UB0037140","UB0037140",NA,NA,"Harley, RM",NA,NA,NA,NA,NA,NA,NA,NA,NA
