"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","sex","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","547640","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","G. F. J. Pabst","E. P. Heringer","10832","1965","01","10","South America","Brazil","Goiás","Serra Dourada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547640","NY00547640_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547637","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","J. Renz","J. M. Pires","6116","1956","12","12","South America","Brazil","Pará","Serra do Cachimbo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547637","NY00547637_01","425","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547639","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","G. F. J. Pabst","G. G. Hatschbach","36427","1975","02","23","South America","Brazil","Minas Gerais","BR 259, Subida Serra do Espinhaco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547639","NY00547639_01","850","1000","Gouveia","-43.7406","-18.4544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1031797","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","G. F. J. Pabst","H. S. Irwin","12383","1966","02","09","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187328' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031797","NY01031797_01","1000","1000","Alto Paraíso de Goiás","-47.65562","-14.1167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031799","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","G. F. J. Pabst","H. S. Irwin","22698","1969","01","27","South America","Brazil","Minas Gerais","Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031799","NY01031799_01","1300","1300",NA,"-43.55","-18.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547638","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","J. Renz","J. M. Pires","6116","1956","12","12","South America","Brazil","Pará","Serra do Cachimbo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547638","NY00547638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1031798","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","G. F. J. Pabst","H. S. Irwin","13312","1966","03","02","South America","Brazil","Goiás","Serra dos Cristais, ca. 2 km N. of Cristalina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187333' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031798","NY01031798_01","1250","1250","Cristalina","-47.6","-16.73193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1031796","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","G. F. J. Pabst","H. S. Irwin","11741","1966","01","18","South America","Brazil","Goiás","Serra Dourada, Summit of Serra Dourada, 20 km S.E. of Goiás Velho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187323' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031796","NY01031796_01","800","800","Goiás","-50.00122","-16.0611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:46-03","EAO","IAN","69751","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","Pabst, GFJ","Black, GA; Magalhães, MG","11927","1951","04","05","Southern America","Brasil","Minas Gerais",NA,NA,NA,"IAN069751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:46-03","EAO","IAN","91524","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","culicina","Habenaria culicina","Rchb.f. & Warm.","Pabst, GFJ","Pires, JM; Black, GA","6116","1956","12","12","Southern America","Brasil","Pará","Serra do Cachimbo.",NA,"Flores esverdeadas.","IAN091524",NA,"425","425",NA,NA,NA,"1958","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
