"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1085679","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Couma","amara","Couma amara","Markgr.","type","W. A. Ducke","s.n.","1929","06","14","South America","Brazil","Amazonas","Manaus","-59.9953079","-3.0673242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250101' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085679","NY01085679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:09-03","EAO","IAN","146834","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Pires, JM; Marinho, LR","15924","1975","03","20","Southern America","Brasil","Amazonas","Alto Rio Negro. Mata alta, terra firme.","-67.166667","-0.283333",NA,"Árvore de 12m. Frutos grandes redondos.","IAN146834",NA,"Silva, NT da","1976","02","São Gabriel da Cachoeira","-67.166667","-0.283333",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:09-03","EAO","IAN","36238","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Fróes, RL","22995","1948","02","25","Southern America","Brasil","Amazonas","Territ. Rio Branco, Road Boa Vista Caracarahy.",NA,NA,NA,"Tree, 5 mts, 35 cm, white yellowish flowers, white bitter latex; white rather soft wood, high forest low land.","IAN036238","IAN036238 IAN036238_e",NA,NA,NA,"Caracaraí",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:09-03","EAO","IAN","36512","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Fróes, RL","23250","1948","06","14","Southern America","Brasil","Amazonas","Rio Negro, Ig. Jahú, Arpão, Airão.",NA,NA,NA,"Tree, 10 mts, 30 cm, whitish yellow flowers, sweet event, soft white slash, free white bitter latex; clay soil, low land T.f. high forest assveiled to Mauritia Sland.","IAN036512","IAN036512 IAN036512_e","Morokawa, R. M.","2014","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:09-03","EAO","IAN","51548","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Fróes, RL","25203","1949","09","13","Southern America","Brasil","Amazonas","Rio Urubú; floresta alta, terra baixa, ao longo do rio.",NA,NA,NA,"Árvore de 10 metros x 30 cm.; latex abundant, white thick bitter.","IAN051548",NA,"Pires, JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:09-03","EAO","IAN","142","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Ducke, A","142","1942","08","29","Southern America","Brasil","Amazonas","Mata pantanosa, junto do Campo Grande.","-59.5938987731934","-4.38778018951416",NA,"Árvore pequena, flor branca.","IAN000142","IAN000142 IAN000142_e IAN000142_e1","Ducke, A","1954","09","Borba",NA,NA,"270195","auto",NA,NA,NA,NA,NA
"7","2021-03-30 12:34:09-03","EAO","IAN","110616","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Coêlho, DF","3886","1956","05","28","Southern America","Brasil","Amazonas","Br-17, km 11, terreno firme, arenoso, úmido, capoeira fechada, alta.","-60.0250015258789","-3.10193991661072",NA,NA,"IAN110616",NA,"Morokawa, R. M.","2011","05","Manaus",NA,NA,"138090","auto",NA,NA,NA,NA,NA
"8","2021-03-30 12:34:09-03","EAO","IAN","110775","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Rodrigues, WA; Coêlho, LF","1326","1959","10","01","Southern America","Brasil","Amazonas","Igarapé da cachoeira baixa do Tarumã. Terreno úmido, sujeito a inundação temporária.","-60.0250015258789","-3.10193991661072",NA,NA,"IAN110775",NA,"Morokawa, R. M.","2014","05","Manaus",NA,NA,"138090","auto",NA,NA,NA,NA,NA
"9","2021-03-30 12:34:09-03","EAO","IAN","28626","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Fróes, RL","22041","1947","03","24","Southern America","Brasil","Amazonas","Igarapé da Raíz.","-60.0250015258789","-3.10193991661072",NA,NA,"IAN028626","IAN028626 IAN028626_e","Morokawa, R. M.","2014","05","Manaus",NA,NA,"138090","auto",NA,NA,NA,NA,NA
"10","2019-02-20 13:41:44-03","INPA","INPA-CARPOTECA","10905","Carpo","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Parahancornia","amara","Parahancornia amara","(Markgr.) Monach.",NA,"Rodrigues, WA","4339","1962","02","19","Southern America","Brasil","Amazonas","BR174, Km 10, Km 10 da BR 17. Terra firme, solo arenoso, capoeira.","-60.0250015258789","-3.10193991661072",NA,NA,"INPA0010905","INPA0010905 INPA0010905_e","Morokawa, R","2014","05","Manaus",NA,NA,"138090","auto",NA,NA,NA,NA,NA
