"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","imagecode","class","order","infraspecificEpithet","typeStatus","relatedCatalogItem","fieldNumber","preparationType","dayIdentified","sex"
"1","2019-10-09 11:21:13-03","UFBA","ALCB","124713","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Nic Lughadha, E","Harley, RM; Pirani, JR; Stannard, BL; Cordeiro, I; Kameyama, C","24541","1987","02","21","Southern America","Brasil","Bahia","Rio de Contas","Pico das Almas. Mata","-41.8114013671875","-13.5789003372192","49773","1400","1400","ca. 3,5 m alt. Casca cinerea. Folhagem verde clara. Frutos imaturos verde-claros.","ALCB058026","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:21:13-03","UFBA","ALCB","134656","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Stadnik, A","Stadnik, A; Lucresia, L","499","2018","01","25","Southern America","Brasil","Bahia","Mucugê","P11","-41.896944","-13.203056",NA,NA,NA,"ca. 80cm. Folhas discolores. Frutos verdes, amarelos, laranjas e vermelhos quando maduros.","ALCB059800",NA,"2018","01","-41.896944","-13.203056","ALCB059800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:06:25-03","NBC","NL-BOTANY","U 0005043","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis pantagensis","O.Berg","Legrand CMDE","Riedel L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Mugy",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005043 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005043",NA,NA,NA,NA,NA,"NL-U0005043","Magnoliopsidae","Myrtales","pantagensis","isotype","101590 B",NA,NA,NA,NA
"4","2020-11-04 10:56:24-03","ESALQ","ESA","56928","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Sobral. M.","Demuner, V.","685.0","2000","02","01",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,"ESA056928","auto","2007",NA,NA,NA,"ESA056928",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:35-03","ESALQ","ESA","21591","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis",NA,NA,"Sakuragui, C.M.; Harley, R.M.; Sano, P.T.; Roque, N.; Souza, V.C.","15116.0","1994","03","17",NA,"Brasil","Minas Gerais","Retiro",NA,NA,NA,NA,NA,NA,NA,"ESA021591",NA,NA,NA,NA,NA,"ESA021591",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:35-03","ESALQ","ESA","74143","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Sobral, M.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Elias, S.I.","25892.0","2001","07","13",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada para Montes Claros, ca. 20 km de Grão Mogol. 16o33'06S, 43o02'40W. Cerrado.","-42.8897018432617","-16.5594005584717","67219",NA,NA,"Arbusto, ca. 1,5 m alt.; frutos vermelhos.","ESA074143","auto",NA,NA,NA,NA,"ESA074143",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:35-03","ESALQ","ESA","73812","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Sobral, M.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25561.0","2001","07","10",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral. Estrada Joaquim Felício - Várzea da Palma, ca. 10 km de Joaquim Felício. 17o42'33S, 44o11'29W. 960 m.s.m. Afloramento rochoso com campo arenoso e cerrado adjacentes.","-44.1721992492676","-17.7574996948242","37503",NA,NA,"Arbusto, ca. 1,5 m alt.; frutos imaturos verdes. Entre rochas.","ESA073812","auto",NA,NA,"-44,191,389","-17,709,167","ESA073812",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0035539","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O. Berg","Nic Lughadha","R. Harley; J.R. Pirani, B. Stannard, I. Cordeiro, C. Kameyama","24541","1987","2","21",NA,"Brazil","Bahia",NA,"Pico das Almas.","-41.933333","-13.55",NA,NA,NA,"Arvoreta, 3.5 m alto; casca cinerea. Folhagem verde-clara. Frutos imaturos verde-claros.",NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:08-03","UFJF","CESJ","44440","PreservedSpecimen","Plantae","Angiosperma","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","M. Sobral","V.C. Souza; J. Paula-Souza; G.O.Romão","25892","2001","07","13","América do Sul","Brasil","Minas Gerais","Grão Mongol","Estrada para Montes Claros, ca 20Km de Grão Mongol",NA,NA,NA,NA,NA,"Arbusto, 1,5m, frutos vermelhos.","CESJ044440",NA,"2003","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:40:08-03","UFJF","CESJ","44487","PreservedSpecimen","Plantae","Angiosperma","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","M. Sobral","V.C. Souza; et al.","25561","2001","07","10","América do Sul","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estr. Joaquim Felício, Varzea da Palma, 17 km de Joaquim felício","-44.1721992492676","-17.7574996948242","37503",NA,NA,NA,"CESJ044487","auto","2003","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
