"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","13301","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","Alexandre Medeiros","2018","03","07","Alexandre Medeiros","2018","03","07","Brasil","Santa Catarina","Balneário Camboriú","Estaleirinho.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 863. Flores lilás. Habitat: Terrestre Habito: Trepadeira","CRI011908","CRI011908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","2729","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","A. Burkart",NA,NA,NA,"Reitz; Klein","1962","01","27","Brasil","Paraná","Guaíra","Sete quedas.","-54.256111","-24.080556","54º15'22''W","24º4'50''S",NA,"CRI002819","CRI002819","12141","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01451017","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","R. C. Barneby",NA,NA,NA,"M. J. P. Pires-O'Brien","1986","06","18","Brazil","Pará","Almeirim","Monte Dourado. Bloco Planalto, área 63, próximo do aeroporto","-52.6003826","-0.8863784",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701194' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451017","NY01451017_01","1209",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01451016","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","R. C. Barneby",NA,NA,NA,"P. B. Cavalcante","1970","04","18","Brazil","Pará",NA,"Marabá, Serra dos Carajás, Serra Norte, Clareira N-1 entre a vegetação baixa e rala, solo laterítico","-50.2921486","-6.0253411",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701126' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451016","NY01451016_01","2647",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 12:10:00-02","NY","NYBG","601319","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata",NA,"G. P. Lewis",NA,NA,NA,"G. P. Lewis","1991","03","28","Brazil","Bahia",NA,"C. 4 km along estrada de terra from Livramento do Brumado to Rio de Contas","-41.85","-13.63",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601319","NY00601319_01","1917",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01056237","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","R. H. Maxwell",NA,NA,NA,"H. S. Irwin","1968","02","04","Brazil","Distrito Federal","Brasília","Experiment station, campus of Universidade de Brasília, Brasília.","-47.875","-15.758",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141061' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056237","NY01056237_01","19507a","1000","1000","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","306256","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","02","27","Bolivia","Santa Cruz","Cordillera","Just S of Loma Blanca on highway from Santa Cruz to Abapó.","-63.2","-18.38",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306256",NA,"48495","525","525","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 23:31:00-03","NY","NYBG","01056213","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata",NA,"R. L. Liesner",NA,NA,NA,"G. Davidse","1976","03","28","Brazil","Minas Gerais",NA,"Ca. 10 km of the Rio Doce at Governador Valadares.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141062' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056213","NY01056213_01","11464","200","200","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1619504","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"W. E. Broadway","1915","11","27","Trinidad and Tobago",NA,NA,"Trinidad. Monos [?]",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1870019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01619504","NY01619504_01","1436",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","306087","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","01","13","Bolivia","Santa Cruz","Andrés Ibáñez","Along old dirt road highway and railroad fron Cotoca to Puerto Pailas, 2.5 km W of Río Grande bridge at Puerto Pailas.","-62.8083","-17.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=594651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306087",NA,"47940","290","290","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
