"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","486952","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","F. C. Hoehne","O. Handro","30675","1933","05","25","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486952","NY00486952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486954","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","L. B. Smith","R. M. Klein","1328","1955","04","22","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486954","NY00486954_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","486955","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","L. B. Smith","R. M. Klein","1694","1955","10","14","South America","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486955","NY00486955_01","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685965","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","A. Bidá","F. C. Hoehne","s.n.","1932","04","05","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico (Parque do Estado)","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685965","NY00685965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","486953","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","L. B. Smith","G. G. Hatschbach","18998","1968","04","10","South America","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486953","NY00486953_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","823089","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","Casar.","J. C. Lindeman","J. C. Lindeman","1069","1966","04","28","South America","Brazil","Paraná",NA,"Cia. Brandalize, ca. 30 km N of Clevelândia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823089","NY00823089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:32:45-03","UFRJ","RFA","20588","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","A. Bidá","E.P. Heringer","16746","1977","08","02",NA,"Brasil","Distrito Federal","Brasília","Taguatinga","-47.9296989440918","-15.7797002792358",NA,"Árvore de 20 m, 60 cm diâmetro, copa larga","RFA49939",NA,NA,NA,"1996","05","17","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:32:45-03","UFRJ","RFA","21440","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","A. Bidá","W. Hoehne","1248","1944","05","04",NA,"Brasil","São Paulo","São Paulo","Parque do Estado","-46.6300010681152","-23.5400009155273",NA,"Árvore","RFA49937",NA,NA,NA,"1996","05","17","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:45-03","UFRJ","RFA","23230","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","S.F. Smith","M. Pereira Neto; E.C. Lopes","325","1989","06","19",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.881944","-15.964722",NA,"Árvore ca. 20 m altura, flores amarelas, frutos imaturos de cor verde, folhas quebradiças","RFA49932",NA,NA,NA,NA,NA,NA,NA,NA,"47º52'55''W","15º57'53''S",NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:45-03","UFRJ","RFA","23231","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","S.F. Smith","D. Alvarenga; F.C.A. Oliveira","480","1989","10","03",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.881944","-15.964722",NA,"Árvore ca. 12 m altura, frutos maduros de cor preta, imaturos de cor verde","RFA49935",NA,NA,NA,NA,NA,NA,NA,NA,"47º52'55''W","15º57'53''S",NA,NA,NA,NA,NA,NA
"11","2020-11-13 09:21:02-03","UFRJ","RFA","Foto 17157","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.",NA,"Mosen","1900","1874","05","05",NA,"Brasil",NA,"Brasil",NA,NA,NA,NA,NA,"RFA-Foto35415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:32:45-03","UFRJ","RFA","22684","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","A. Bidá","J.E. Paula; R.C. Mendonça","3132","1988","07","19",NA,"Brasil","Distrito Federal","Brasília","Córrego Capãozinho, Sobradinho","-47.9296989440918","-15.7797002792358",NA,"Árvore ca. 10 m altura, flores minúsculas de cor bege e cálice de cor verde escuro","RFA49944",NA,NA,NA,"1996","05","17","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:32:45-03","UFRJ","RFA","21200","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","A. Bidá","B.A.S. Pereira","632","1983","07","05",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, cerrado junto da cerca do lado leste da reserva","-47.9296989440918","-15.7797002792358",NA,"Árvore frondosa, ca 12 m altura. Casca com cortiça bastante espessa; folhas verde vivo, lustrosas; flores alvacentas; frutos jovens, cor verde. Árvore com ótimas características para arborização","RFA49942",NA,NA,NA,"1996","05","17","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:32:45-03","UFRJ","RFA","18731","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","A. Bidá","P. Occhioni","8240","1977","07","20",NA,"Brasil","São Paulo","Campos do Jordão","Água Santa","-45.5900001525879","-22.7299995422363",NA,"Arvoreta 5-6 m altura, flores ainda verdes","RFA49936",NA,NA,NA,"1996","05","17","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:32:45-03","UFRJ","RFA","22697","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand ex Char.","L.B. Smith","R. Klein","1328","1955","04","22",NA,"Brasil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6618995666504","-26.9078006744385",NA,"Árvore 12 m, flor esverdeada","RFA49945",NA,"120","120","1956",NA,NA,"27253","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:32:45-03","UFRJ","RFA","23235","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","revoluta","Symplocos revoluta","Casar.","R. Marquete","M. L. M. Azevedo; D. Alvarenga","233","1989","07","05",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.897222","-15.963333",NA,"Árvore ca. 4 metros de altura, botão floral esverdeado, flores cremes, anteras amarelas","RFA50063",NA,NA,NA,"1989","12","28",NA,NA,"47º53'50''W","15º57'48''S",NA,NA,NA,NA,NA,NA
"17","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L 0369991","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200369991 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0369991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"18","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1082299","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1082299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1082299","NL-L1082299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13018",NA,NA,NA,NA
"19","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1082300","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1082300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1082300","NL-L1082300",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13018",NA,NA,NA,NA
