"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","county","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","346083","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aulonemia","cingulata","Aulonemia cingulata","McClure & L.B.Sm.","isotype","R. Reitz","9679","1960","05","14","South America","Brazil","Santa Catarina","Garapuvu, Vista Alegre, Sombrio","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346083","NY00346083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:12-03","EAO","IAN","66558","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Colanthelia","cingulata","Colanthelia cingulata","(McClure & L.B.Sm.) McClure",NA,"Kuhlmann, JG","s.n.","1920",NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"IAN066558",NA,"Clark, LG","2015","07","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:16:50-03","NBC","NL-BOTANY","L.1234445","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Colanthelia","cingulata","Colanthelia cingulata","(McClure & L.B.Sm.) McClure",NA,"Reitz R; Klein RM",NA,"1960","05","14","Southern America","Brazil",NA,"Santa Catarina - Garapuvu, Vista Alegre, Sombrio.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1234445 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1234445","NL-L1234445",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:16:50-03","NBC","NL-BOTANY","L.1234446","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Colanthelia","cingulata","Colanthelia cingulata","(McClure & L.B.Sm.) McClure",NA,"Soderstrom TR; Sucre Benjamin D",NA,"1972","03","19","Southern America","Brazil",NA,"Rio de Janeiro, 2 km SW of Barra de São João toward Cabo Frio.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1234446 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1234446","NL-L1234446",NA,NA,NA,NA,"Magnoliopsidae","-42.016667","-22.6","-42.016667","-22.6",NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:18:36-03","ESALQ","ESA","14614","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Colanthelia","cingulata","Colanthelia cingulata","(McClure & L.B.Smith) McClure",NA,"Bernacci, L.C.",NA,"1991","05","01",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA014614","ESA014614_1 ESA014614_2","Gonçalves, A.P.S.",NA,NA,NA,NA,"-47.060001373291","-22.8999996185303",NA,NA,"Campinas","23900","auto",NA,NA,NA
"6","2020-11-04 12:18:36-03","ESALQ","ESA","10160","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Colanthelia","cingulata","Colanthelia cingulata","(McClure & L.B.Smith) McClure",NA,"Bernacci, L.C.",NA,"1991","05","01",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA010160",NA,"Gonçalves, A.P.S.",NA,NA,NA,NA,"-47.060001373291","-22.8999996185303",NA,NA,"Campinas","23900","auto",NA,NA,NA
"7","2016-02-02 14:38:13-02","BGBM","B","B 10 0248084","S","Plantae",NA,NA,"Gramineae","Aulonemia","cingulata","Aulonemia cingulata","McClure & L.B.Sm.","isotype","R. M. Klein & R. Reitz","9.679","1960","05","14","Middle and South America","Brazil",NA,"Santa Catarina: Garapuvu, Vista Alegre, Sombrio; Orla da mata, alt. 30 m.","30","30",NA,"Plantas de Santa Catarina - Brasil <a href=http://herbarium.bgbm.org/object/B100248084 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248084","B100248084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:38:13-02","BGBM","B","B 10 0086200","S","Plantae",NA,NA,"Gramineae","Colanthelia","cingulata","Colanthelia cingulata",NA,NA,"T. R. Soderstrom & D. Sucre","1912","1972","03","19","Middle and South America","Brazil",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100086200 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100086200","B100086200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:25:52-03","IAP","PACA-AGP","66885","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Colanthelia","cingulata","Colanthelia cingulata","(McClure & Smith) McClure","Isotipo","Reitz, R.","9679","1960","05","14",NA,"Brasil","SC","Vista Alegre - Guarapuvu.",NA,NA,NA,"Conforme McClure, Smithson. Contr. Bot.). 79, fig.32. 1973. Habitat: orla da mata Ecossistema: Mata Atlântica","PACA066885","PACA066885",NA,NA,NA,NA,"Liliatae","-49.61669921875","-29.113899230957",NA,NA,"Sombrio","16515","auto",NA,NA,NA
"10","2019-11-21 14:42:26-03","UFJF","CESJ","10500","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Colanthelia","cingulata","Colanthelia cingulata","(McClure & L.B.Sm.) McClure",NA,"L. Krieger","CESJ10500","1971","04","04","América do Sul","Brasil","Rio de Janeiro",NA,NA,NA,NA,"Na mata de restinga, colmo de 4-5 m curvos, flexíveis. Em flor.&nf;Taquarinha.","CESJ010500",NA,"A.P.S.Gonçalves","2002","10","25",NA,"-41.9449996948242","-22.5268993377686",NA,NA,"Rio das Ostras","17620","auto",NA,NA,NA
