"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2614","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren","R. Reitz","R. Reitz","1973","01","15","Brasil","Rio de Janeiro","Nova Friburgo","Varginha.","-42.531389","-22.2825","42º31'53''W","22º16'57''S","CRI001873","CRI001873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400495","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica hieroglyphica","(Carrière) E.Morren","G. Martinelli","H. Q. B. Fernandes","1986","01","31","Brazil","Espírito Santo","Santa Teresa","Estaçao Biológica de Santa Lúcia. Mata à beira do rio Timbuí","-40.6003","-19.9358",NA,NA,"NY00400495","NY00400495_01","Magnoliophyta","Poales","hieroglyphica","1824","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=764631' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400494","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren","L. B. Smith","F. C. Hoehne","1924","01","12","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, matta da Estaçao Biologica","-46.4097","-23.71",NA,NA,"NY00400494","NY00400494_01","Magnoliophyta","Poales",NA,"9477","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20902' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:03:57-03","ESALQ","ESA","50085","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica",NA,NA,"Oriani, A. et al.","2005","03","29","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA050085","ESA050085","Magnoliophyta",NA,NA,"642.0",NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:57-03","ESALQ","ESA","84596","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carr) E.Morren","Forster, W.","Urbanetz, C.; Déstro, G.F.G.; Moreira-Coneglian, I.R.; Harder, I.C.F.; Muniz, M.R.A.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","2003","04","16","Brasil","São Paulo","Ribeirão Grande","BLOQUEADO","-48.3600006103516","-24.0900001525879",NA,NA,"ESA084596","ESA084596","Magnoliophyta",NA,NA,"24.0",NA,NA,"Epífita a 1,6m, brácteas verdes, frutos imaturos verdes","25028","auto","2003","01","01","790","790",NA,NA,NA
"6","2021-02-07 08:35:15-03","MN","R","32455","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E. Morren",NA,"Foster, M.B.","1939","07","28","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"R010013519",NA,NA,NA,NA,"300",NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:15-03","MN","R","234337","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E. Morren","Kessous, I.M.","Kessous, I.M. 313; Mello, C. & Costa, A.F.","2017","09","15","Brasil","São Paulo","Salesópolis",NA,"-45.8400001525879","-23.5300006866455",NA,NA,"R010049395,R010049396,R010049397",NA,NA,NA,NA,NA,NA,NA,NA,"18032","auto","2017","09","15",NA,NA,NA,NA,NA
"8","2019-08-20 09:59:18-03","UNICAMP","UEC","138534","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren","Breier, TB","Breier, TB; Budke, JC","2002","08","24","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Ponte sobre o Rio Negro. &nf;Na parcela permanente sobre árvore número 107.","-47.916667","-24.166667","-47.916667","-24.166667","UEC083948","UEC083948","Liliopsida",NA,NA,"558",NA,NA,NA,NA,NA,"2004","09",NA,NA,NA,NA,NA,NA
"9","2019-08-20 09:59:18-03","UNICAMP","UEC","138535","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren","Breier, TB","Breier, TB; Singer, RB","2003","05","14","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Estrada de acesso a parcela.","-47.916667","-24.166667","-47.916667","-24.166667","UEC083947","UEC083947","Liliopsida",NA,NA,"1079a",NA,NA,NA,NA,NA,"2004","09",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:19:09-03","UNICAMP","UEC","138536","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren","Breier, TB","Breier, TB","2003","05","09","Brazil","São Paulo","Cananéia","Parque Estadual Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,"UEC083945","UEC083945","Liliopsida",NA,NA,"1035",NA,NA,"Restinga.","37574","auto","2004","09",NA,NA,NA,NA,NA,NA
"11","2019-08-20 09:59:18-03","UNICAMP","UEC","52039","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Passos, LC","1990","02","25","Brazil","São Paulo","Capão Bonito","Fazenda Intervales","-48.3400001525879","-24",NA,NA,"UEC083946","UEC083946","Liliopsida",NA,NA,"23118",NA,NA,"Epífita, com folhas verdes rajadas, infrutescência com brácteas, amarelo esverdeado.","39505","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:19:09-03","UNICAMP","UEC","158366","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Machado, CG","1994","03","04","Brazil","São Paulo","Ribeirão Grande","Parque Estadual Intervales, Sede do Carmo.","-48.3600006103516","-24.0900001525879",NA,NA,"UEC015331","UEC015331","Liliopsida",NA,NA,"s.n.",NA,NA,"Folhas verdes com manchas transversais roxas sem flores ou frutos. Coletado sobre tronco, a 3m.","25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:19:34-03","MBM","MBM","145400","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Garr.) E. Morr.","Costa-Kurtz, A.","Franco, G.A.D.C.; et al.; et al.","1988","02","04","Brazil","São Paulo",NA,"Salesópolis",NA,NA,NA,NA,"MBM145400","MBM145400 MBM145400_1",NA,NA,NA,"443","Southern America",NA,"Epífita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:19:34-03","MBM","MBM","11518","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Garr.) E. Morr.","Hatschbach, G.","Hatschbach, G.","1969","02","27","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3288993835449","-25.3066997528076",NA,NA,"MBM011518","MBM011518 MBM011518_1",NA,NA,NA,"21196","Southern America",NA,"Epífita.","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA
