"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","individualCount","occurrenceRemarks","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","barcode","imagecode","class","continentOcean","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","typeStatus"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","498","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Elton. C. M. Leme","2011","08","Jason R. Grant;","Brasil","Paraná","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","184","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","morreniana","Vriesea morreniana","Hortus ex E. Morren","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Jones Caldas da Silva; Luiz Cláudio Marigo","Brasil","Santa Catarina","1","254","1990","11","15","Joinville","Estrada Dona Francisca","-48.8456001281738","-26.3043994903564","37150","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:26-03","PUCPR","HUCP","21685","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Kersten, RA",NA,NA,"Mascarenhas, A","Brasil","Paraná",NA,NA,"2008","06","11","Piraquara",NA,"-49.0633010864258","-25.4416999816895","12577","auto","009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:26-03","PUCPR","HUCP","24152","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Kersten, RA",NA,NA,"Kersten, RA","Brasil","Paraná",NA,NA,"2015","11","10","Piraquara",NA,"-49.0633010864258","-25.4416999816895","12577","auto","1637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:26-03","PUCPR","HUCP","22022","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Ariati, V",NA,NA,"Bochorny, T; Pernet, L","Brasil","Paraná",NA,NA,"2012","04","04","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465","55154","auto","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:26-03","PUCPR","HUCP","22076","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Ariati, V",NA,NA,"Ariati, V; Petean, M","Brasil","Paraná",NA,NA,"2010","07","07","Cerro Azul",NA,"-49.261100769043","-24.823600769043","32006","auto","456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:26-03","PUCPR","HUCP","21616","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.",NA,NA,NA,"Keller, H","Brasil","Paraná",NA,NA,"2008","11","02","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708","30514","auto","035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:26-03","PUCPR","HUCP","21758","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Kersten, RA",NA,NA,"Mascarenhas, A; Bianchi, J","Brasil","Paraná",NA,NA,"2008","06","11","Piraquara",NA,"-49.0633010864258","-25.4416999816895","12577","auto","010","HUCP00012210","HUCP00012210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:26-03","PUCPR","HUCP","21818","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Kersten, RA",NA,NA,"Kersten, RA","Brasil","Paraná",NA,NA,"2011","05","06","Piraquara",NA,"-49.0633010864258","-25.4416999816895","12577","auto","1532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:26-03","PUCPR","HUCP","24112","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","flava","Vriesea flava","A.F.Costa et al.","Ariati, V",NA,NA,"Ariati, V","Brasil","Paraná",NA,NA,"2011","07","18","Telêmaco Borba",NA,"-50.6156005859375","-24.3239002227783","35037","auto","501","HUCP00004718","HUCP00004718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
