"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","645798","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hovel.","N. P. Taylor; D. C. Zappi","J. N. Rose","20494","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaia","-44.5631","-22.4961","2300","2700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645798","NY00645798_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645796","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hovel.","N. P. Taylor; D. C. Zappi","J. N. Rose","20610","1915",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Top of Itatiaia","-44.661571","-22.380423",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645796","NY00645796_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645797","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hovel.","N. P. Taylor; D. C. Zappi","J. N. Rose","20610","1915",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Top of Itatiaia","-44.661571","-22.380423","3000","3000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645797","NY00645797_01",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 10:55:10-03","ESALQ","ESA","139282","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel","D. S. Gissi","Gissi, D. S.","255.0","2016","05","07",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Planalto. Trilha Rebouças - Pedra do Altar.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"ESA139282",NA,"19648","auto",NA,NA,NA,NA,NA
"5","2021-01-14 15:26:44-03","MN","R","52203","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) P.V. Heath","Gonzaga, D.R.","Santos, N.; Campos, Z.",NA,"1950","06","29",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"2500","2500",NA,NA,"R010030406",NA,NA,NA,"2014",NA,NA,NA,NA
"6","2021-01-14 15:26:44-03","MN","R","91053","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) P.V. Heath","Gonzaga, D.R.","Dusén, P.K.H.","576","1902","06","19",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"2900","2900",NA,NA,"R010030444,R010030409",NA,NA,NA,"2014",NA,NA,NA,NA
"7","2021-01-14 15:26:44-03","MN","R","91055","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) P.V. Heath","Gonzaga, D.R.","Hermendorff, E.","641",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"R010030410",NA,NA,NA,"2014",NA,NA,NA,NA
"8","2021-01-14 15:26:44-03","MN","R","91056","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) P.V. Heath","Gonzaga, D.R.","Ule, E.H.G.","607","1895","12","30",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"2500","2500",NA,NA,"R010030411",NA,NA,NA,"2014",NA,NA,NA,NA
"9","2021-01-14 15:26:44-03","MN","R","221522","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) P.V. Heath",NA,"Santos, F.B.; Costa, L.M. & Paixao, B.P.S.","46","2013","08","13",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R010030412",NA,"19648","auto",NA,NA,NA,NA,NA
"10","2021-01-14 15:26:44-03","MN","R","228642","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) P.V. Heath","Almeida, M.C.","Dias, M.S.","1901","2015","08","22",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010030408",NA,"57442","auto","2016","07","13",NA,NA
"11","2021-01-14 15:26:44-03","MN","R","228641","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) P.V. Heath","Almeida, M.C.","Dias, M.S.","1902","2015","08","22",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010030407",NA,"57442","auto","2016","07","13",NA,NA
