"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","typeStatus","imagecode","infraspecificEpithet","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:20-03","E","E","277660","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata","Ratter, J.A.; Bertolda, J.; de Castro, R.A.; de Santos, R.R. & Souza, R.","1968","04","19","E. Tropical South America","BR","Mato Grosso","9 km of the Base Camp of the Expedition. (Base Camp 12°54'S - 51°52'W, c. 270 km N of Xavantina)","herbarium specimen of unspecif","BGBASE:327182","<a href=http://data.rbge.org.uk/herb/E00277660 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:20-03","E","E","277661","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata","Ratter, J.A.; Pott, A.; Pott, V.","1987","11","12","E. Tropical South America","BR","Mato Grosso Do Sul","Area of Fazenda Acurizal (headquarters 19°38?S - 57°10?W)","herbarium specimen of unspecif","BGBASE:327181","<a href=http://data.rbge.org.uk/herb/E00277661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:20-03","E","E","164040","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata","Pott, A. & Da Silva, J.S.V.","1995","09","02","E. Tropical South America","BR","Mato Grosso","Itapora; Colonia Santa Terezinha, na margen do Rio Brilhante.","herbarium specimen of unspecif","BGBASE:171627","<a href=http://data.rbge.org.uk/herb/E00164040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164040","7195","-54.7","-21.833333","-54.700000","-21.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:20-03","E","E","163003","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata","Pott, A.;","1989","10","07","E. Tropical South America","BR","Mato Grosso","Pocone","herbarium specimen of unspecif","BGBASE:171408","<a href=http://data.rbge.org.uk/herb/E00163003 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00163003","5076","-56.783333","-18.816667","-56.783333","-18.816667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:20-03","E","E","277662","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata","Ratter, J.A.; Da Cunha, C.; Rocha, M.; Rodrigues, S.; Ramos, A. & Rosa, C.","1986","10","03","E. Tropical South America","BR","Mato Grosso","Approximately 40 km S of Poconé, on the Transpantaneira highway","herbarium specimen of unspecif","BGBASE:327180","<a href=http://data.rbge.org.uk/herb/E00277662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277662",NA,"-56.633333","-16.266667","-56.633333","-16.266667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","273481","PreservedSpecimen","Plantae","Sapotaceae","Labatia","parviflora","Labatia parviflora","H. F. Pittier","1922","12","18","South America","Venezuela","Trujillo","Camp 2, Perijá Exploration Company, on Río Laro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=590649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273481","10984",NA,NA,NA,NA,"Magnoliophyta","Ericales","Pittier","isotype","NY00273481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00375403","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","glomerata","Lucuma glomerata","J. B. E. Pohl",NA,NA,NA,"South America","Brazil","Goiás","Rio Maranhao","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375403","2371",NA,NA,NA,NA,"Magnoliophyta","Ericales","Miq.","isotype","NY00375403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01211642","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata glomerata","G. T. Prance","1968","07","18","South America","Brazil","Rondônia","Basin of Rio Madeira, N bank of Rio Abunã, between Cachoeira Três. S and Fortaleza, 4-16 km above mouth","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1331173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01211642","6173","-65.489763","-9.716549",NA,NA,"Magnoliophyta","Ericales","(Miq.) Radlk.",NA,"NY01211642_01 NY01211642_02","glomerata","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00749919","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata glomerata","W. W. Thomas","1985","10","26","South America","Brazil","Mato Grosso","Pantanal. Along Rio Cassangé at crossing of Transpantaneira (MT060), 69 km N of Porto Jofre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749919","4592","-56.87","-16.9",NA,NA,"Magnoliophyta","Ericales","(Miq.) Radlk.",NA,"NY00749919_01","glomerata","T. D. Pennington","Poconé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01211646","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","glomerata","Pouteria glomerata glomerata","M. G. da Silva","1967","04","02","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1456712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01211646","756",NA,NA,NA,NA,"Magnoliophyta","Ericales","(Miq.) Radlk.",NA,"NY01211646_01 NY01211646_02","glomerata","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
