"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:33:34-03","UNESC","CRI","5005","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Jaqueline P. Vitoretti","J. P. Vitoretti","1996","10","06","Brasil","Santa Catarina","Criciúma","Mina Brasil.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","Habito: arbustiva","CRI003252","CRI003252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:34-03","UNESC","CRI","7017","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi",NA,"Zoê Gomes","1999","03","01","Brasil","Santa Catarina","Morro da Fumaça",NA,"-49.210278","-28.651389","49º12'37''W","28º39'5''S","22","22","Habito: arbustiva-herbácea","CRI003260","CRI003260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","3604","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Citadini-Zanette, V.","Citadini-Zanette, V.","1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador, Três barras.","-49.720833","-28.800556","49º43'15''W","28º48'2''S",NA,NA,"Flores amarelas.","CRI003251","CRI003251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:34-03","UNESC","CRI","10158","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Karoline Ceron","Vanilde C. Zanette; Karoline Ceron","2012","08","01","Brasil","Santa Catarina","Urussanga","Rio Maior.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","Floresta Ombrófila Densa Submontana","CRI003253","CRI003253","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:20-03","UNESC","CRI","12624","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Aline Votri Guislon & Renato colares","Alexandre Medeiros","2017","07","01","Brasil","Santa Catarina","Balneário Camboriú","Praia da Taquarinhas.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Flor vermelha. Coleta 454. Habito: Herbácea","CRI010838",NA,NA,"2017","09","18","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:34-03","UNESC","CRI","8863","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","Vanilde Citadini-Zanette","Marcelo Romagna Pasetto; Rafael Martins e Vanilde Citadini-Zanette","2009","01","13","Brasil","Santa Catarina","Nova Veneza",NA,"-49.500833","-28.636944","49º30'3''W","28º38'13''S",NA,NA,NA,"CRI003249","CRI003249",NA,"2009","01","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:20-03","UNESC","CRI","676","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1991","04","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003250","CRI003250","1026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:20-03","UNESC","CRI","10850","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","Zenaide P. Topanotti","Zenaide P. Topanotti","2004","10","21","Brasil","Santa Catarina","Criciúma","Morro Estevão.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,NA,"CRI003254","CRI003254",NA,"2004","10","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:34-03","UNESC","CRI","5403","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","Vanilde Citadini- Zanette","Vanilde Citadini Zanette","1996","10","25","Brasil","Santa Catarina","Treviso",NA,"-49.457778","-28.516111","49º27'28''W","28º30'58''S","154","154","Floresta Atlântica Habitat: interior da mata Habito: herbácea terrestre","CRI004933","CRI004933","2381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:20-03","UNESC","CRI","1229","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio",NA,"Vanilde Citadini-Zanette; Robson dos Santos","1992","11","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003247","CRI003247","1474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01093207","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","brasiliensis","Heliconia brasiliensis","Hook.","A. Schinini","T. M. Pedersen","1994","02","16","Brazil","Mato Grosso do Sul","Bela Vista","15 km W of Bela Vista.","-56.5208","-22.1092",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230376' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093207",NA,"16064",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01093208","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","brasiliensis","Heliconia brasiliensis","Hook.","A. Schinini","T. M. Pedersen","1994","02","16","Brazil","Mato Grosso do Sul","Bela Vista","15 km W of Bela Vista.","-56.5208","-22.1092",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230377' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093208","NY01093208_01","16064",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","485060","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi",NA,"L. Andersson","1986","01","06","Brazil","Paraná","Antonina","Along road to Morretes a few km from municipality border","-48.7117","-25.4286",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485060","NY00485060_01","1530",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","485067","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","G. Eiten","1966","11","24","Brazil","São Paulo",NA,"Município de Caraguatatuba: along road 12-15 km N from city of CARAGUATATUBA towards PARAIBUNA. Seaward face of Serra do Mar, road through tall evergreen virgin forest (except where disturbed immediately along road)","-45.45","-23.58",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485067","NY00485067_01","7913",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","485069","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","G. Eiten","1966","11","24","Brazil","São Paulo",NA,"Município de Caraguatatuba: along road 12-15 km N from city of CARAGUATATUBA towards PARAIBUNA. Seaward face of Serra do Mar, road through tall evergreen virgin forest (except where disturbed immediately along road)","-45.45","-23.58",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485069","NY00485069_01","7913",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","485064","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","D. R. Hunt","1966","07","17","Brazil","Santa Catarina","Ilhota","Morro Báu","-48.930795","-26.801033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485064","NY00485064_01","6342",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","485063","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","D. R. Hunt","1966","07","17","Brazil","Santa Catarina","Ilhota","Morro Báu","-48.930795","-26.801033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485063","NY00485063_01","6342",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","485059","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi",NA,"L. Andersson","1986","01","06","Brazil","Paraná","Antonina","Along road to Morretes a few km from municipality border","-48.7117","-25.4286",NA,NA,NA,NA,"Dupl. ex S <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485059","NY00485059_01","1530",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","485066","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","L. B. Smith","1956","11","03","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"5","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485066","NY00485066_01","7281",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","485068","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","G. Eiten","1966","11","24","Brazil","São Paulo",NA,"Município de Caraguatatuba: along road 12-15 km N from city of CARAGUATATUBA towards PARAIBUNA. Seaward face of Serra do Mar, road through tall evergreen virgin forest (except where disturbed immediately along road)","-45.45","-23.58",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485068","NY00485068_01","7913",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","485062","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","D. R. Hunt","1966","07","17","Brazil","Santa Catarina","Ilhota","Morro Báu","-48.930795","-26.801033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485062","NY00485062_01","6342",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
