"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","538057","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","E. F. Paciornik","230","1986","03","21","South America","Brazil","Paraná","Campo Largo","Estr. do Cerne","-49.5281","-25.4586","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538057","NY00538057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00749970","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","H. S. Irwin","28790","1971","01","20","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Summit and upper slopes on S. side, Serra da Piedade, ca. 5 km N. of Caeté.","-43.4927778","-20.1263","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749970","NY00749970_01","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198280","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","W. W. Thomas","13990","2004","04","23","South America","Brazil","Espírito Santo","Mun. Linhares","Povoação, Fazenda Santa Julia dos Sueiros, 37.2 km E of Linhares on road to Povoação.","-39.7994","-19.5689","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817949' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198280","NY01198280_01","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","538061","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","C. G. Leal","168","1950","06","27","South America","Brazil","Pernambuco",NA,"Estrada Recife-Paraíba - Paulista, morro prop. Ouro Prêto",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538061","NY00538061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","538064","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","R. Reitz","8721","1959","03","21","South America","Brazil","Santa Catarina",NA,"Pinhal da Companhia, Lauro Müller-Urussanga",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538064","NY00538064_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","538054","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","G. G. Hatschbach","68662","1998","11","15","South America","Brazil","Paraná","Sao Mateus do Sul","Vargem Grande","-50.3828","-25.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538054","NY00538054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","538060","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","S. M. Silva; C. Kozera","C. Kozera","110","1996","03","26","South America","Brazil","Paraná","Curitiba","Parque Barigui","-49.22","-25.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538060","NY00538060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02796042","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","P. L. R. de Moraes","J. G. Jardim","705","1995","10","27","South America","Brazil","Bahia","Jacobina","Cachoeira do Aníbol, na saida da cidade no sentido Jacobina-Caupeira Grosso","-40.5181","-11.1808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285064' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796042","NY02796042_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","538059","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","G. G. Hatschbach","51483","1987","10","06","South America","Brazil","Paraná","Piên","Poço Frio","-49.4292","-26.0983","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538059","NY00538059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02423575","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez",NA,"M. L. Brotto","601","2011","04","13","South America","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.219447","-25.437194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669085' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423575","NY02423575_01","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","538065","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","J. G. Kuhlmann","s.n.","1950","11","25","South America","Brazil","Santa Catarina","Palhoça","Florianópolis, Eseado do Brito, Municipio de Palhoça, continente","-48.6678","-27.6456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538065","NY00538065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01282029","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","W. W. Thomas","4781","1985","11","02","South America","Brazil","Mato Grosso","Vila Bela da Santíssima Trindade","58 km, S of Rondônia state line on BR-364 from Vilhena to Cáceres. Forest with +/- 35 m canopy and some emergents to +- 40 m.","-59.933333","-13.366667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488757' target='other'> <mi>dwc_moreinfo</mi></a>","NY01282029","NY01282029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 10:08:00-03","NY","NYBG","629769","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans",NA,"H. H. van der Werff","A. M. V. de Carvalho","7031","2001","08","17","South America","Brazil","Bahia","Macarani","Rod. para Vila das Graças 27,2 km E, ca. 4,4 km de Vila das Graças","-40.4139","-15.7719","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629769",NA,"560","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02099157","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","P. L. R. de Moraes","A. M. V. de Carvalho","3480","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285000' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099157","NY02099157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","538056","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","P. K. H. Dusén","9813","1910","03","28","South America","Brazil","Paraná","Irati","Iraty","-50.6508","-25.4672","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538056","NY00538056_01","820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","538066","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","J. Mattos","13730","1966","05","30","South America","Brazil","Paraná","Campina Grande do Sul","Perto de Campina Grande do Sul","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538066","NY00538066_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","538062","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","A. Sehnem","A. Sehnem","16797","1980","01","10","South America","Brazil","Rio Grande do Sul","Herval","Herval - Rio Sta. Maria","-53.3956","-32.0236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538062","NY00538062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","538053","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","J. R. Pirani","2467","1988","02","25","South America","Brazil","Espírito Santo","Piúma","Piúma: ca. 3 km S do Morro do Aghá. Rodovia ES-60 (Vila Velha a Marataízes)","-40.77","-20.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538053","NY00538053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","813733","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","G. G. Hatschbach","68662","1998","11","15","South America","Brazil","Paraná","Sao Mateus do Sul","Vargem Grande","-50.3828","-25.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813733","NY00813733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
