"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","class","order","typeStatus","continentOcean","individualCount","monthIdentified"
"1","2020-11-04 12:18:12-03","ESALQ","ESA","35713","PreservedSpecimen","Plantae","Magnoliophyta","Piperaceae","Piper","crassistilum","Piper crassistilum","Colletta, G.D.","2008","Souza, J.P. et al.","903.0","1996","12","14","Brasil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","ESA035713","ESA035713","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","3058",NA,"Plantae",NA,"Piperaceae","Piper","crassistilum","Piper crassistilum","E. F. Guimarães/Jan.2008",NA,"W. Boone","709","1986","08","28","Brasil","Espírito Santo","Santa Teresa","-40.617778","-19.931111",NA,"MBML003058",NA,NA,"Yunck","Valsugana Velha","40W37'4","19S55'52","Arbusto com 1,6m, não ramificado, frutos verdes, ciófila, mata de encosta.",NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","1803976","PreservedSpecimen","Plantae",NA,"Piperaceae","Piper","crassistilum","Piper crassistilum",NA,NA,"B. J. Pickel","5514","1941","11","18","Brazil","São Paulo",NA,NA,NA,NA,"US00105439","US00105439_01",NA,"Yunck.","Sao Paulo.",NA,NA,NA,"Dicotyledonae","Piperales","Holotype","South America - Neotropics","1",NA
"4","2019-11-13 11:28:24-03","USP","SPF","231315","PreservedSpecimen","Plantae",NA,"Piperaceae","Piper","crassistilum","Piper crassistilum","Colletta, GD","2008","Paula-Souza, J","903","1996","12","14","Brasil","São Paulo","Cunha","-45.041667","-23.255556",NA,"SPF00231315","SPF00231315",NA,"Yunck.",NA,"-45.041667","-23.255556",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-04 11:16:22-03","UEFS","HUEFS","193444","PreservedSpecimen","Plantae","Angiospermae","Piperaceae","Piper","crassistilum","Piper crassistilum",NA,"2008","Souza, J.P.","903","1996","12","14","Brasil","São Paulo","Cunha","-45.041667","-23.255556",NA,"HUEFS0193444","HUEFS0193444",NA,"Yunck.","Estada em direção á trilha do Rio Bonito.","45W2'30''","23S15'20''","Floresta Ombrófila Densa.","Magnolianae","Piperales",NA,NA,NA,NA
"6","2018-07-12 18:08:21-03","UFMT","UFMT","32554","S","Plantae",NA,"Piperaceae","Piper","crassistilum","Piper crassistilum","Amorim, P.R.F.","2008","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","18662","1997","07","10","Brasil","Mato Grosso","Juruena","-68.783333","-10.366667",NA,"UFMT00032554",NA,NA,"Yunck","Contato Floresta Ombrofila-Floresta Estacional","-68.783333","-10.366667",NA,NA,NA,NA,NA,NA,"04"
