"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","625438","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","spicata","Smilax spicata","Vell.","R. H. P. Andreata","B. D. Sucre","5233","1969","06","09","South America","Brazil","Rio de Janeiro","Estado da Guanabara; lado oeste da Pedra de Itaúna.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625438","NY00625438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625441","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","spicata","Smilax spicata","Vell.","R. H. P. Andreata","G. Martinelli","2819","1977","08","01","South America","Brazil","Rio de Janeiro","Horto Florestal do Jardim Botánico do Rio de Janeiro, Gotar[?], Pedra D'Ajúa. Na S.B.S.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625441","NY00625441_01","Rio de Janeiro","-43.2075","-22.9031","150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","625439","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","spicata","Smilax spicata","Vell.","R. H. P. Andreata","B. D. Sucre","5335","1969","06","16","South America","Brazil","Rio de Janeiro","Estado da Guanabara; lado oeste da Pedra de Itaúna.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625439","NY00625439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625440","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","spicata","Smilax spicata","Vell.","R. H. P. Andreata","L. Mautone","349","1977","09","05","South America","Brazil","Rio de Janeiro","Serra da Estrela, Raiz da Serra, Estrada Velha das Pedras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625440","NY00625440_01","Petrópolis","-43.1783","-22.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1032420","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","spicata","Smilax spicata","Vell.","J. R. Botina-P.","T. S. dos Santos","1141","1970","09","24","South America","Brazil","Bahia","Itabuna. Estação Experimental de Belmonte - CEPLAC.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1198865' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032420","NY01032420_01",NA,"-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:19:52-03","ESALQ","ESA","130670","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Smilacaceae","Smilax","spicata","Smilax spicata","Vell.","Souza, V.C.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","35873.0","2013","02","22",NA,"Brasil","São Paulo","Fragmento 28 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa, área alagável.",NA,"Liana","ESA130670","ESA130670","Caçapava","-23.0742","-45.7527","554","554","2013","-23.0742","-45.7527",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:19:52-03","ESALQ","ESA","105122","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Smilacaceae","Smilax","spicata","Smilax spicata",NA,"Valeriano, D.D.","Rando, J.G.","215.0","2006","04","08",NA,"Brasil","Espírito Santo",NA,NA,NA,"ESA105122","ESA105122","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:19:52-03","ESALQ","ESA","105046","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Smilacaceae","Smilax","spicata","Smilax spicata",NA,"Paula-Souza, J. & Paciencia, M.B.","Paciencia, M.B.","2336.0","2006","04","06",NA,"Brasil","Espírito Santo",NA,NA,NA,"ESA105046","ESA105046","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"2006",NA,NA,"48094","auto","04","14",NA,NA,NA,NA,NA
"9","2020-11-04 11:19:52-03","ESALQ","ESA","115136","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Smilacaceae","Smilax","spicata","Smilax spicata",NA,"Mangueira, J.R.","Lopes, J.C.","198.0","2011","04","17",NA,"Brasil","Espírito Santo",NA,NA,NA,"ESA115136","ESA115136","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:19:52-03","ESALQ","ESA","115058","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Smilacaceae","Smilax","spicata","Smilax spicata",NA,NA,"Devecchi, M.F.","113.0","2011","04","20",NA,"Brasil","Espírito Santo",NA,NA,NA,"ESA115058","ESA115058","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-24 17:10:04-03","UFES","SAMES","5467","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","spicata","Smilax spicata","Vell.","M. Ribeiro","Ribeiro,M.; Broggio,I.S.;Rocha,T.L.;Nascimento,A.A.;Hatum,A.C.C.;Menezes,L.F.T.","134","2010","05","14",NA,"Brasil","Espírito Santo","Estrada próxima a fazenda Cedro - #?#Palmitinho#?#.",NA,"Liana, com frutos maduros, roxo escuro.","SAMES05467",NA,"Linhares","-40.0722007751465","-19.3910999298096","36","36","2019","-398436111.0","-190519444.0","48094","auto","05","23",NA,NA,NA,NA,NA
