"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","typeStatus","individualCount","infraspecificEpithet"
"1","2020-02-08 08:48:25-03","NBC","NL-BOTANY","L.3021294","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Calea","acaulis","Calea acaulis","Baker","Hatschbach GG","1963","10","19","Southern America","Brazil","Est. Parana (Brasil), Mun. Quatro Barras. Quatro Barras.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3021294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3021294","NL-L3021294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:48:25-03","NBC","NL-BOTANY","U.1115368","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Calea","acaulis","Calea acaulis","Baker","Woolston AL","1958","10","20","Southern America","Paraguay","Depto San Pedro Alto Paraguay: Primavera.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1115368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1115368","NL-U1115368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:01:12-03","ESALQ","ESA","86659","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","acaulis","Calea acaulis","Bak.","Silva, J.M.; Lucas, E.; Mazine, F.F.","2003","10","28",NA,"Brasil",NA,NA,"ESA086659","ESA086659","Magnoliophyta","Hatschbach, G.","2003","01","01","3785.0","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0012754","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","acaulis","Calea acaulis","Baker","G. Hatschbach; A. Souza","1986","11","28",NA,"Brazil","Rod. BR-277, Rio Papagaios (mun. Palmeira).",NA,NA,NA,"Magnoliophyta","G. Hatschbach",NA,NA,NA,"50833","Parana",NA,"-50.0033","-25.4261",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:31:33-03","UFJF","CESJ","43509","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","acaulis","Calea acaulis","Baker","J.M. Silva; et al.","2003","10","28","América do Sul","Brasil","Recanto dos Papagaios","Ereta, capítulos amarelos. Campo limpo, seco.","CESJ043509",NA,"Angiosperma","G. Hatschbach","2003",NA,NA,"3785","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA
"6","2020-10-14 09:58:58-03","FURB","FURB","47717","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","acaulis","Calea acaulis","Baker","Engels, M.E.; Lozano, E.D.","2013","11","03",NA,"Brasil","margem da rodovia.",NA,"FURB47717","FURB47717",NA,"Barboza, E","2015","04","14","1875","Paraná","Porto Amazonas","-49.8903007507324","-25.5447006225586","14684","auto",NA,NA,NA,NA,NA
"7","2021-03-16 17:50:36-03","UCS","HUCS","03011","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","acaulis","Calea acaulis","Baker","Hatschbach, G.","1986","11","28",NA,"Brasil","Rod. BR - 277, Rio Papagaios","Campo limpo - solo turfoso úmido",NA,NA,"Angiospermae","Hatschbach, G.","1987","05",NA,"50833","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA
"8","2019-08-16 08:38:29-03","UTFPR","HCF","1606","S","Plantae",NA,NA,"Asteraceae","Calea","acaulis","Calea acaulis","Baker","M.G. Caxambu","2004","11","07",NA,"Brasil","Rio dos Papagaios","Herbácea, com folhas opostas cruzadas, geralmente quatro flores em inflorescências do tipo capítulo, rosas. Em terreno úmido.",NA,NA,NA,"J. Cordeiro & E. Barboza","2005","05",NA,"670","PR","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA
"9","2019-08-16 08:38:29-03","UTFPR","HCF","17343","S","Plantae",NA,NA,"Asteraceae","Calea","acaulis","Calea acaulis","Baker","M.E. Engels","2013","11","03",NA,"Brasil","Rodovia BR 277, margem da rodovia","Folhas verde claras. Escapo verde se tornando gradativamente acastanhado. capítulos amarelos. Campo.",NA,NA,NA,"E. Barboza","2015","04","14","1875","PR","Porto Amazonas","-49.8903007507324","-25.5447006225586","14684","auto",NA,NA,NA,NA,NA
"10","2020-12-21 16:15:12-03","MBM","MBM","185961","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","acaulis","Calea acaulis","Baker","Dombrowski, L.T.","1963","10",NA,"Southern America","Brazil","Colônia Órleans",NA,"MBM185961",NA,NA,"Hatschbach, G.",NA,NA,NA,"13220","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA
