"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class"
"1","2021-04-05 14:33:22-03","UNESC","CRI","15374","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Alexandre Medeiros","2017","10","28","Alexandre Medeiros","593","2017","10","28","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.592778","-26.997222","48º35'34''W","26º59'50''S","Habitat: Rupícola Habito: Herbácea","CRI014791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","13","S","Plantae","Bromeliaceae","Neoregelia","aff. laevis","Neoregelia aff. laevis","(Mez) L.B.Sm.","Elton. C. M. Leme","2009","05",NA,"Luiz Correia de Araújo;",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,"254",NA,"Magnoliophyta","Poales","32988","1","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","685","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme;",NA,"2005","11","20","Brasil","Santa Catarina","Florianópolis","Praia de Moçambique","-48.5491981506348","-27.596700668335",NA,NA,"254",NA,"Magnoliophyta","Poales","27000","1","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","439","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Elton. C. M. Leme","2009","05",NA,NA,NA,NA,NA,NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Poales",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","563","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Elton. C. M. Leme","2009","05",NA,"Jones Caldas da Silva;",NA,NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Poales",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","339","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Elton. C. M. Leme","2011","08",NA,"Jones Caldas da Silva; Alexandre",NA,"1995","08","08","Brasil","Paraná",NA,"Rio São João. Próximo à divisa com Santa Catarina",NA,NA,NA,NA,"254",NA,"Magnoliophyta","Poales",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","199","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Gert Hatschbach; Jones Caldas da Silva",NA,"1991","04","27","Brasil","Paraná","Paranaguá","Mata paludosa em rio da praia","-48.5092010498047","-25.5200004577637",NA,NA,"254",NA,"Magnoliophyta","Poales","24916","1","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","198","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme;",NA,"1991","04","26","Brasil","Paraná","Morretes","Serra da Graciosa, caminho dos jesuítas","-48.834400177002","-25.476900100708",NA,NA,"254",NA,"Magnoliophyta","Poales","30514","1","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376812","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","L. B. Smith",NA,NA,NA,"P. K. H. Dusén","15519","1914","09","13","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376812","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet","NY00376812_01",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","376813","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","L. B. Smith",NA,NA,NA,"L. B. Smith","7264","1956","11","03","Brazil","Santa Catarina","Itajaí","Base of Morro da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376813","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet","NY00376813_01","5","100",NA,NA
