"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","locality","occurrenceRemarks","infraspecificEpithet","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:31-03","UNESC","CRI","6245","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Maria Leonor de Souza D#?#el Rey","1998","05","18","V. Citadini-Zanette","1996","12","02","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S","648","648","CRI004380","CRI004380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:31-03","UNESC","CRI","11281","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","A. A. de Oliveira","2010","04","22","M. Verdi; N.L. de Souza & D.H. Klettenberg","2010","03","08","Brasil","Santa Catarina","Urubici","-49.375","-28.01","49º22'30''W","28º0'36''S","1050","1050","CRI004382","CRI004382","3807","RPPN Leão da Montanha.","Floresta Ombrófila Mista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:41-03","UNESC","CRI","910","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","V. C. Zanette",NA,NA,NA,"Vanilde Citadini Zanette; F. M. Bastos","1987","12","21","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI004371","CRI004371","801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:31-03","UNESC","CRI","8537","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","A. L. de Gasper","2009","05","12","M. Verdi; R.P. Hascker & G. Klemz","2009","01","21","Brasil","Santa Catarina","Anita Garibaldi","-51.162778","-27.633333","51º9'46''W","27º38'0''S","762","762","CRI004333","CRI004333","1354","Arrozal.","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:41-03","UNESC","CRI","1344","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Marcos Sobral","1990","06","15","Jairo José Zocche","1990","06","15","Brasil","Rio Grande do Sul","Torres","-49.727222","-29.335833","49º43'38''W","29º20'9''S",NA,NA,"CRI004370","CRI004370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:31-03","UNESC","CRI","718","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Maria Leonor de Souza D#?#el Rey",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","08","02","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004391","CRI004391","1068","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:31-03","UNESC","CRI","14942","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens cinerascens",NA,"Oliveira, AA de","2010","04","22","Korte, A.; Kniess, A.","2010","03","11","Brasil","Santa Catarina","Benedito Novo","-49.500278","-26.910278","49º30'1''W","26º54'37''S","853","853","CRI014277","CRI014277","691","Campo de Zinco. Campo de Zinco.","Florística IFFSC 689 (Arbusto) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado Habito: arbustiva; Fruto laranja;","cinerascens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:31-03","UNESC","CRI","13284","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Oliveira, A.A.","2016","02","22","Oliveira, A.A.","2016","02","22","Brasil","Santa Catarina","Caçador","-50.895","-26.775","50º53'42''W","26º46'30''S","900","900","CRI011775","CRI011775","2975",NA,"SC_64_M_1_10_1RN Habitat: Floresta Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:41-03","UNESC","CRI","4113","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Maria Leonor de Souza D#?#el Rey","1998","05","18","Valdemar Boff","1995","09","08","Brasil","Santa Catarina","Fraiburgo","-50.921667","-27.026667","50º55'18''W","27º1'36''S","1021","1021","CRI004373","CRI004373","153","Taquarussu.","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:31-03","UNESC","CRI","8175","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","A. L. Gasper","2009","01","21","N. L. de Souza; E. Brogni & R. Farage-Freitas","2009","01","15","Brasil","Santa Catarina","Águas Mornas","-48.823889","-27.694444","48º49'26''W","27º41'40''S","477","477","CRI004392","CRI004392","124","RPPN Rio das Lontras.","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
