"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00923818","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.","T. B. Cavalcanti","T. B. Cavalcanti","2268","1997","04","22","South America","Brazil","Minas Gerais","Coromandel","Entroncamento Vazante-Coromandel, MG-188, km. 38, Serra da Caraça.","-47.0833","-18.1178","990","990","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923818","NY00923818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00923816","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.","T. B. Cavalcanti","T. B. Cavalcanti","2266","1997","04","22","South America","Brazil","Minas Gerais","Coromandel","Entroncamento Vazante-Coromandel, MG-188, km. 38, Serra da Caraça.","-47.0833","-18.1178","990","990","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923816","NY00923816_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00923817","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.","T. B. Cavalcanti","T. B. Cavalcanti","2267","1997","04","22","South America","Brazil","Minas Gerais","Coromandel","Entroncamento Vazante-Coromandel, MG-188, km. 38, Serra da Caraça.","-47.0833","-18.1178","990","990","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923817","NY00923817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00923819","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.","T. B. Cavalcanti","T. B. Cavalcanti","2269","1997","04","22","South America","Brazil","Minas Gerais","Guarda-Mor","Serra do Pilões. Estrada vicinal Chapadão-Pilões, km. 50, na descida da serra.","-47.0983009338379","-17.7707996368408","1098","1098","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923819","NY00923819_01","39223","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03231097","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides macrocalyx","T.B.Cavalc.",NA,"J. F. B. Pastore","1907","2007","04","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Estrada entre Distrito de São Jorge e Colinas do Sul","-47.5099983215332","-14.1324996948242","790",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3538362' target='other'> <mi>dwc_moreinfo</mi></a>","NY03231097","NY03231097_01","44724","auto","macrocalyx","paratype",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-05 04:09:55-03","MNHN","RECOLNAT_MNHN_P","P05092309","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.",NA,"Pires, J.M.|Silva, N.T.|Souza, R.",NA,"1963","5","10",NA,"Brasil",NA,NA,"Entre Brasília e Niquelândia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05092309' target='other'> <mi>dwc_moreinfo</mi></a>","P05092309","P05092309_01",NA,NA,NA,NA,"9656",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 04:09:55-03","MNHN","RECOLNAT_MNHN_P","P05092310","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.",NA,"Silva, M.A.|Munhoz, C.|Proença, C.|Ribeiro, J.F.|Morais, D.L.",NA,"1994","5","22",NA,"Brasil","Goiás",NA,"Chapada dos Veadeiros, São Jorge a 30km de Alto Paraíso.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05092310' target='other'> <mi>dwc_moreinfo</mi></a>","P05092310","P05092310_01",NA,NA,NA,NA,"1957",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-05 04:09:55-03","MNHN","RECOLNAT_MNHN_P","P05092312","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.",NA,"Arbo, M.M.|Furlan, A.|Schinini, A.|Monteiro, R.",NA,"1990","1","31",NA,"Brasil","Minas Gerais",NA,"Serra dos Piloes, 12km SW de Guarda Mor, camino a San Antonio de Rio Verde",NA,NA,"1000",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05092312' target='other'> <mi>dwc_moreinfo</mi></a>","P05092312","P05092312_01",NA,NA,NA,NA,"3266",NA,NA,NA,NA,NA,NA,NA
"9","2015-11-07 05:13:10-02","MNHN","RECOLNAT_MNHN_P","P01901885","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"5",NA,NA,"Brésil",NA,NA,"en mai sur le plateau dit Chapadao, limites des prov. de Minas & Goyas",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901885' target='other'> <mi>dwc_moreinfo</mi></a>","P01901885","P01901885_01",NA,NA,NA,"isotype","C1 543",NA,NA,NA,NA,NA,NA,NA
"10","2015-11-07 05:13:25-02","MNHN","RECOLNAT_MNHN_P","P01901886","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","kielmeyeroides","Diplusodon kielmeyeroides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"5",NA,NA,"Brésil",NA,NA,"en mai sur le plateau dit Chapadao, limites des prov. de Minas & Goyas",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901886' target='other'> <mi>dwc_moreinfo</mi></a>","P01901886","P01901886_01",NA,NA,NA,"type","C1 543",NA,NA,NA,NA,NA,NA,NA
