"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","class","order","individualCount"
"1","2019-11-25 16:50:25-03","UFBA","ALCB","122486","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardine) N.Roque","Barres, L","2015","09","Barres, L; Alves, M; Campos, L; Roque, N","199","2015","09","28","Southern America","Brasil","Minas Gerais","Santana do Riacho","próximo a bifurcaçao entre Morro do Pilar e Conceiçao do Mato Dentro.","-43.483333","-19.216667","-43.483333","-19.216667","1336","1336","ca. 40 cm alt. Folhas em roseta; capítulo radiado; flores do rádio alvas.; Solo arenoso pedregroso","ALCB007926",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-25 16:50:25-03","UFBA","ALCB","120878","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardine) N.Roque","Roque, N","2015","09","Roque, N; Alves, M; Campos, L; Barres, L","4704","2015","09","28","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Alto do Palácio, atrás da Sede do ICMBIO.","-43.531111","-19.259167","-43.531111","-19.259167","1361","1361","ca. 30 cm alt., folhas concolores. Brácteas involucrais verde-vináceas, corola alva.; graminoso","ALCB007976","ALCB007976",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-25 16:50:25-03","UFBA","ALCB","122483","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardine) N.Roque","Barres, L","2015","09","Barres, L; Alves, M; Campos, L; Roque, N","196","2015","09","28","Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra de Cipó, Alto de Palácio, atrás da sede do ICMbio.","-43.516667","-19.25","-43.516667","-19.25","1361","1361","ca. 40cm alt. Folhas em roseta, capítulo radiado, flores do raio alvas.","ALCB007923",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-25 16:50:25-03","UFBA","ALCB","122492","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardine) N.Roque","Barres, L","2015","09","Barres, L; Alves, M; Campos, L; Roque, N","205","2015","09","29","Southern America","Brasil","Minas Gerais","Santana do Riacho","caminho para as Vellozia gigantes, 2 km após a casa do ICMbio.","-43.516667","-19.233333","-43.516667","-19.233333","1301","1301","ca. 40 cmalt. Folhas em roseta; capítulo radiado; flores do raio alvas.","ALCB007931",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-08-11 00:15:37-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardine) N.Roque","Almeida, GSS de","2005","12","Almeida, GSS de; Custódio, J","213","2005","12","03","Southern America","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: trilha do Pico","-43.5","-20.283333","-43.5","-20.283333",NA,NA,"ca. 0,7 m. Flores do raio rosa-claro a brancas.; coletada entre afloramento rochosos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-08-11 00:15:37-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardine) N.Roque","Almeida, GSS de","2005","12","Almeida, GSS de; Custódio, J","197","2005","12","02","Southern America","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi: trilha do Sertão","-43.4","-20.366667","-43.4","-20.366667",NA,NA,"ca. 0,7 m. Folhas verdes com manchas vináceas. Flores brancas.; coletada em campo graminoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:25:10-03","UNICAMP","UEC","2765","S","Plantae","Magnoliopsida","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","1999",NA,"Joly, AB; Semir, J","3499","1972","11","02",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 132 ao longo da Rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"Acaule.","UEC130750","UEC130750","31264","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:25:10-03","UNICAMP","UEC","2764","S","Plantae","Magnoliopsida","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","1999",NA,"Joly, AB; Semir, J","3118","1972","08","21",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 132 ao longo da Rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"Capítulos creme. Altura 50 a 60 cm.","UEC130749","UEC130749","31264","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:25:10-03","UNICAMP","UEC","67035","S","Plantae","Magnoliopsida","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Franco, IM","2013","04","Müller, C; Menezes, NL","1","1973","01","04",NA,"Brazil","Minas Gerais","Santana do Riacho","Rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Erva.; Em solo arenoso-pedregoso.","UEC130748","UEC130748","26557","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:17:05-03","MBM","MBM","32198","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N.","1999",NA,"Hatschbach, G.","35366","1974","10","26","Southern America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Capítulos alvescentes, solo arenoso úmido do topo de morro; Capítulos alvecentes.; Solo arenoso úmido do topo de morro.","MBM032198","MBM032198","26557","auto","ISOTYPE",NA,NA,NA,NA,NA
