"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:37:09-03","E","E","56131","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","Spruce, R.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:63294","<a href=http://data.rbge.org.uk/herb/E00056131 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:09-03","E","E","56130","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco",NA,"E. Tropical South America","SR","herbarium specimen of unspecif","BGBASE:63292","<a href=http://data.rbge.org.uk/herb/E00056130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:09-03","E","E","328476","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","Fillio, Ary T. de O.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:437103","<a href=http://data.rbge.org.uk/herb/E00328476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00328476","495","1991","03","15","Minas Gerais","Lavras.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:09-03","E","E","176422","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","Filho, A.O.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:185121","<a href=http://data.rbge.org.uk/herb/E00176422 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00176422","2188","1990","01","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","377992","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","S. A. Mori","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377992","9757a","1978","03","20","Bahia","Rod. BR 367, a 18,7 km ao N de Porto Seguro. Próx. ao nivel do mar. Folha SE-24 (16-39c)","Magnoliophyta","Malpighiales","L.","G. T. Prance","Santa Cruz Cabrália","-39.024395","-16.310185","NY00377992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","377987","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","L. A. Mattos Silva","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377987","1176","1980","10","16","Bahia","Fazenda Guanabara. ramal com entrada no km 10 da Rod. Pontal Olivença, lado direito. 3 km a O da entrada","Magnoliophyta","Malpighiales","L.","G. T. Prance","Ilhéus","-39.0492","-14.7892","NY00377987_01","30","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-06-21 09:30:00-03","NY","NYBG","00200176","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","S. Tiwari","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00200176","1004","1992","09","25",NA,"Essequibo. Essequibo: Groete creek, 27 km from Bartica","Magnoliophyta","Malpighiales",NA,"D. E. Atha",NA,"-57.75","6.6","NY00200176_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","377982","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","E. H. G. Ule","South America","Brazil","sheet",NA,"Specimen number Herbario Do Museu Nacional Rio De Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00377982",NA,"1899","10",NA,"Rio de Janeiro","Cabo Frio","Magnoliophyta","Malpighiales","L.","G. T. Prance","Cabo Frio","-42.032149","-22.874703","NY00377982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01559801","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","C. E. O. Kuntze","South America","Trinidad and Tobago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807017' target='other'> <mi>dwc_moreinfo</mi></a>","NY01559801","981","1874","04","16",NA,"Trinidad","Magnoliophyta","Malpighiales","L.",NA,NA,NA,NA,"NY01559801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","994534","PreservedSpecimen","Plantae","Chrysobalanaceae","Chrysobalanus","icaco","Chrysobalanus icaco","C. E. O. Kuntze","South America","Trinidad and Tobago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1088058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994534","980","1874","10","16",NA,"Trinidad","Magnoliophyta","Malpighiales","L.",NA,NA,NA,NA,"NY00994534_01 NY00994534_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
