"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02728935","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","F. C. Hoehne","28305","1931","09","30","South America","Brazil","São Paulo","Jardim Botanico, Sao Paulo","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020887' target='other'> <mi>dwc_moreinfo</mi></a>","NY02728935","NY02728935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02728937","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","S. de V. A. Pessôa","473","1989","08","03","South America","Brazil","Rio de Janeiro","Reserva Ecológico Municipal de Macaéde Cima, Picada para Pedra Bicuda.","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020891' target='other'> <mi>dwc_moreinfo</mi></a>","NY02728937","NY02728937_01","Nova Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02728934","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","R. M. Harley","17898","1977","01","12","South America","Brazil","Bahia","Parque Nacional de Monte Pascoal. On NW side of Monte Pascoal at low latitude, between IBDF field hut and gates of the Parque Nacional.","-39.42","-16.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020885' target='other'> <mi>dwc_moreinfo</mi></a>","NY02728934","NY02728934_01",NA,"100","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1279922","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","H. C. de Lima","2310","1984","10","24","South America","Brazil","Rio de Janeiro","Paraiso, Centro de Primatologia do RJ. Caminho para o focinho de Porco","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514598' target='other'> <mi>dwc_moreinfo</mi></a>","NY01279922","NY01279922_01","Magé","190","190","M. Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02728936","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","F. C. Hoehne","28305","1931","09","30","South America","Brazil","São Paulo","Jardim Botanico, Sao Paulo","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020889' target='other'> <mi>dwc_moreinfo</mi></a>","NY02728936","NY02728936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02703752","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","H. C. de Lima","4239","1991","08","29","South America","Brazil","Rio de Janeiro","Estação Ecológica Estadual de Paraíso. Picada para a Serra dos Brejos.","-42.833333","-22.433333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987859' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703752","NY02703752_01","Guapimirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02728902","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","R. M. Harley","17898","1977","01","12","South America","Brazil","Bahia","Parque Nacional de Monte Pascoal. On NW side of Monte Pascoal at low latitude, between IBDF field hut and gates of the Parque Nacional.","-39.42","-16.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020838' target='other'> <mi>dwc_moreinfo</mi></a>","NY02728902","NY02728902_01",NA,"100","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02728909","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","H. W. Schott","7692",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Tingua.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020848' target='other'> <mi>dwc_moreinfo</mi></a>","NY02728909","NY02728909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02679539","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","J. M. A. Braga","622","1993","09","11","South America","Brazil","Rio de Janeiro","Fazenda São José das Paineiras, KM 32 da RJ-127, trilha para o Cruzeiro.","-43.7327995300293","-22.5266990661621","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3180990' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679539","NY02679539_01","Mendes",NA,NA,NA,"9614","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02728938","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Posoqueria","acutifolia","Posoqueria acutifolia","Mart.","N. A. Rosa","3974","1980","11","27","South America","Brazil","São Paulo","Reserva Biológica do alto da serra Paranapiacaba","-46.3","-23.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020892' target='other'> <mi>dwc_moreinfo</mi></a>","NY02728938","NY02728938_01","San André",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
