"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","year","month","day","imagecode","scientificNameAuthorship","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","minimumElevationInMeters","individualCount","county","relatedCatalogItem","sex"
"1","2020-09-23 10:43:19-03","E","E","259470","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia","isotype","Spruce, Richard","1949","E. Tropical South America","BR","Amazonas","Secus Rio Negro, Brasiliae septentrionalis, inter Barcellos et San Isabel. [Along the Rio Negro, northern Brazil, between Barcellos and San Isabel].","herbarium specimen of unspecif","BGBASE:270864","<a href=http://data.rbge.org.uk/herb/E00259470 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 02:25:00-03","NY","NYBG","01176617","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"J. Revilla","4236","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409217' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176617","Magnoliophyta","Ericales","T. D. Pennington","1979","04","24","NY01176617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 02:25:00-03","NY","NYBG","01176616","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"R. de Lemos Fróes","22910","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409216' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176616","Magnoliophyta","Ericales","T. D. Pennington","1947","11","27","NY01176616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","273607","PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","isotype","R. Spruce","1949","South America","Brazil","Amazonas","Secus Rio Negro, Brasiliae septentrionalis, inter Barcellos et San Isabel","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273607","Magnoliophyta","Ericales",NA,"1851","12",NA,"NY00273607_01","Mart. & Eichler","-63.9364815","-0.3661512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:08-03","EAO","IAN","38334","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"sc","91","Southern America","Suriname",NA,"Zanderij I.",NA,NA,NA,"IAN038334","Dicotiledônea",NA,"Lima, LF","1942","10",NA,"IAN038334 IAN038334_e","(Mart. & Eichler) Eyma","-56.5","3.6","2018","01","04","-56.5","3.6",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:08-03","EAO","IAN","114152","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"Pires, JM; Rodrigues, WA","51460","Southern America","Brasil","Amapá","Vicinity Camp 12.",NA,NA,"Tree 20 m high, 40 cm diameter, buttressed 1m. high; flowers cream; calix brown, upland plant.","IAN114152","Dicotiledônea",NA,"Lima, LF","1961","10","02",NA,"(Mart. & Eichler) Eyma","-52.133333","1.183333","2014","10","20","-52.133333","1.183333",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:04:04-03","NBC","NL-BOTANY","L.2649246","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"Ule EHG",NA,"Southern America","Brazil",NA,"Rio Negro.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2649246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2649246",NA,"Ericales",NA,"1902","01","01","NL-L2649246","(Mart. & Eichler ex Miq.) Eyma",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2015-09-26 04:29:30-03","MNHN","RECOLNAT_MNHN_P","P00649412","PreservedSpecimen",NA,"Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"Spruce, R.",NA,NA,"Brésil",NA,"Secus Rio Negro, Brasilia septentrionalis, inter Barcellos et San Isabel","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649412' target='other'> <mi>dwc_moreinfo</mi></a>","P00649412",NA,NA,NA,"1851","12",NA,"P00649412_01 P00649412_02","(Mart. & Eichler) Eyma",NA,NA,NA,NA,NA,NA,NA,NA,"1949",NA,NA,NA,NA,NA
"9","2015-09-26 01:52:21-03","MNHN","RECOLNAT_MNHN_P","P00649413","PreservedSpecimen",NA,"Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"Spruce, R.",NA,NA,"Brésil",NA,"Secus Rio Negro, Brasilia septentrionalis, inter Barcellos et San Isabel","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649413' target='other'> <mi>dwc_moreinfo</mi></a>","P00649413",NA,NA,NA,"1851","12",NA,"P00649413_01 P00649413_02 P00649413_03","(Mart. & Eichler) Eyma",NA,NA,NA,NA,NA,NA,NA,NA,"1949",NA,NA,NA,NA,NA
"10","2015-01-31 04:12:00-02","MO","MOBOT","406589","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"Paul E. Berry|Emygdio Melgueiro","Berry 5409","South America","Venezuela","Amazonas","Río Atabapo riverbanks. Near Caño Cumare.",NA,NA,NA,NA,NA,NA,"T.D. Pennington (K)","1992","11","12",NA,"(Mart. & Eichler) Eyma","-67.6833333","4",NA,NA,NA,NA,NA,NA,"141","100.00000000","6",NA,NA,NA
