"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","688194","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.","isotype","D. A. Folli","8","1978","06","09","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD, Linhares. Est. Carneiro, ant. 243-A4, T. 408, Km. 0.600, L. dereito.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=848171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688194","NY00688194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685035","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"D. A. Folli","444","1983","04","26","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685035","NY00685035_01","M. L. Kawasaki","Linhares","-39.961174","-19.138199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685036","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"D. A. Folli","444","1983","04","26","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685036","NY00685036_01","M. L. Kawasaki","Linhares","-39.961174","-19.138199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","688195","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.","isotype","D. A. Folli","8","1978","06","09","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD, Linhares. Est. Carneiro, ant. 243-A4, T. 408, Km. 0.600, L. dereito.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=848177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688195","NY00688195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02026590","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"M. L. Kawasaki","1078","1999","03","10","South America","Brazil","Minas Gerais","Serra da Bocaina. BR-251 para Barrocão, km 400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165572' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026590","NY02026590_01",NA,"Riacho dos Machados","-43.0492","-16.0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:43:03-03","UNICAMP","UEC","155327","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"Folli, DA","4611","2003","09","25",NA,"Brazil","Espírito Santo","Procedência: Reserva Natural Vale;&nf;Estrada: Carneiro;&nf;Metrso: 300.",NA,"Porte: Arbóreo;&nf;Forma vida: Terrestre;&nf;Cor fruto maduro: amarelo;&nf;Cor fruto imaturo: marrom;&nf;Cor Exsudação: Incolor;&nf;Descamação: Ausente&nf;Forma do fuste: cilindrico&nf;Suerfpicie casca: Áspera&nf;Altura total: 28,0;&nf;Altura do fuste:","UEC055967","UEC055967","Folli, DA","Linhares","-40.0722007751465","-19.3910999298096","2003","09","25","48094","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:43:03-03","UNICAMP","UEC","155328","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"Folli, DA","3900","2001","04","18",NA,"Brazil","Espírito Santo","Procedência: Reserva Natural Vale;&nf;Estrada: Carneiro;&nf;Metrso: 300.",NA,"Porte: Arbóreo;&nf;Forma vida: Terrestre;&nf;Cor botões: verde;&nf;Cor flor: amarelo;&nf;Cor Exsudação: Incolor;&nf;Altura total: 30,0;&nf;Altura do fuste: 19;&nf;Cap Fuste: 351;&nf;Diametro copa: 9;&nf;Exsudação: Seiva.; Ecossistema: Mata de Tabuleiro.","UEC055968","UEC055968","Folli, DA","Linhares","-40.0722007751465","-19.3910999298096","2001","04","18","48094","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:43:03-03","UNICAMP","UEC","155326","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"Farias, GL","622","1993","07","21",NA,"Brazil","Espírito Santo","Procedência: Reserva Natural Vale;&nf;Estrada: Flamengo;&nf;Metrso: 5200.",NA,"Porte: Arbóreo;&nf;Forma vida: Terrestre;&nf;Cor fruto maduro: amarelo;&nf;Cor fruto imaturo: verde;&nf;Cor Exsudação: Incolor;&nf;Descamação: Em ripas&nf;Forma do fuste: cilindrico&nf;Suerfpicie casca: Áspera&nf;Altura total: 28,0;&nf;Altura do fuste:","UEC055970","UEC055970","Folli, DA","Linhares","-40.0722007751465","-19.3910999298096","1993","07","25","48094","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:43:03-03","UNICAMP","UEC","155337","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.","paratypus","Folli, DA","444","1983","04","26",NA,"Brazil","Espírito Santo","Reserva Natural da CVDR, Estrada Carneiro.",NA,"Arbóreo;&nf;botáo verde claro;&nf;flora creme;&nf;fruto imaturo amarelo;&nf;exsudação de seiva incolor;&nf;descamação em placas;&nf;Casca áspera;&nf;fuste cilindrico;&nf;28 m de altura;&nf;18m de fuste;&nf;Cap fuste (cm):408,41;&nf;10m de diâmetro de copa;","UEC055957","UEC055957 UEC055957_01","Kawasaki, ML","Linhares","-40.0722007751465","-19.3910999298096","1992","07","20","48094","auto","1800","1800",NA,NA,NA,NA,NA
"10","2021-03-01 16:43:03-03","UNICAMP","UEC","155339","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.","isotypus","Folli, DA","8","1978","06","09",NA,"Brazil","Espírito Santo","Reserva Natural da CVDR, Talhão 408. 200 m após o Bloco 2-38-I Mata de Tabuleiro.",NA,"Porte: Arbóreo&nf;Forma de vida: Terrestre&nf;Cor botão: Verde escuro&nf;Cor flor: Amarelo&nf;Descamação: Ausente&nf;Forma Fuste: Cilindrico&nf;Superficie Casca: Áspera&nf;Altura total (m): 30,0&nf;Altura fuste (m): 20,0&nf;Diametro Copa (m): 16,0&nf;Exsu","UEC055955","UEC055955 UEC055955_01","Kawasaki, ML","Linhares","-40.0722007751465","-19.3910999298096","1992","07","20","48094","auto","600","600",NA,NA,NA,NA,NA
