"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00617568","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","koehneanum","Eryngium koehneanum","Urb.","K. F. A. H. Wolff","A. F. M. Glaziou","8237","South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617568","NY00617568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617569","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","koehneanum","Eryngium koehneanum","Urb.","L. Constance","G. G. Hatschbach","16352","South America","Brazil","Paraná","Serra Capivari Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617569","NY00617569_01","1967","04","14","Antonina","-48.7117","-25.4286","500","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 11:07:03-03","UNESP-IBB","BOTU","15655","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","cf. koehneanum","Eryngium cf. koehneanum","Urb.","Lucas, D.B.","Amaral Jr., A.","56",NA,"Brasil","São Paulo",NA,NA,NA,"BOTU015655","BOTU015655","1982","02","16","Campos do Jordão","-45.5","-22.75",NA,NA,"2018","04","06","45°30'w","22°45's",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:24:41-03","PUCPR","HUCP","22461","S","Plantae","Eudicotiledonea",NA,"Apiaceae","Eryngium","koehneanum","Eryngium koehneanum","Urb.","Diober, L","Libsch, D","223",NA,"Brasil","Paraná","Pico Paraná",NA,NA,"HUCP00023039","HUCP00023039","2007","07","06","Antonina","-48.7118988037109","-25.4286003112793",NA,NA,"2016","06","30",NA,NA,"38300","auto",NA,NA,NA,NA,NA
"5","2019-12-04 15:24:41-03","PUCPR","HUCP","20123","S","Plantae","Eudicotiledonea",NA,"Apiaceae","Eryngium","koehneanum","Eryngium koehneanum","Urb.","Diober, L","Ariati, V; Vargas, GR","165",NA,"Brasil","Paraná","Morro Camapuã, PEPP.",NA,NA,"HUCP00003330","HUCP00003330","2008","12","14","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"2016","06","30",NA,NA,"55154","auto",NA,NA,NA,NA,NA
"6","2019-12-04 15:24:41-03","PUCPR","HUCP","22735","S","Plantae","Eudicotiledonea",NA,"Apiaceae","Eryngium","koehneanum","Eryngium koehneanum","Urb.","Diober, L","Lozano, E","213",NA,"Brasil","Paraná","Morro Caratuva",NA,NA,"HUCP00023060","HUCP00023060","2010","02","06","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"2016","06","30",NA,NA,"55154","auto",NA,NA,NA,NA,NA
"7","2019-10-09 11:08:43-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Apiaceae","Eryngium","koehneanum","Eryngium koehneanum","Urb.","Hatschbach, G","Ribas, OS; Cordeiro, J; Silva, JM; Marinero, F","7218","Southern America","Brasil","Paraná","Serra Ibitiraquire, Pico Caratuva",NA,"1 m. Capítulo creme.; do alto do morro.",NA,NA,"2006","04","10","Campina Grande do Sul","-49","-25.3","1700","1700","2006",NA,NA,"-49","-25.3",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.2576107","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","koehneanum","Eryngium koehneanum","Urb.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,"Est. Parana (Brasil), Mun. Campina Gde. do Sul, Serra do Capivary Grande.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576107","NL-L2576107","1961","08","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.2576108","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","koehneanum","Eryngium koehneanum","Urb.",NA,"Reitz R; Klein RM",NA,"Southern America","Brazil",NA,"Santa Catarina, Serra da Boa Vista, São José.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576108","NL-L2576108","1961","01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.2576109","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","koehneanum","Eryngium koehneanum","Urb.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,"Est Parana (Brasil) Mun Antonina, Serra Capivari Grande.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576109 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576109","NL-L2576109","1967","04","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"11","2020-02-08 08:43:55-03","NBC","NL-BOTANY","U.1077135","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","koehneanum","Eryngium koehneanum","Urb.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,"Est. Parana (Brasil), Mun. Campina Gde. do Sul, Serra do Capivary Grande.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077135","NL-U1077135","1961","08","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"12","2020-02-08 08:43:55-03","NBC","NL-BOTANY","U.1077136","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","koehneanum","Eryngium koehneanum","Urb.",NA,"Lindeman JC; Haas JH de",NA,"Southern America","Brazil",NA,"Est Paraná. Serra do Mar; rainforest on Atlantic slope above Bela Vista, old road from Curitiba to Morretes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077136 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077136","NL-U1077136","1967","02","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-02-08 08:43:55-03","NBC","NL-BOTANY","U.1077137","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","koehneanum","Eryngium koehneanum","Urb.",NA,"Lindeman JC; Haas JH de",NA,"Southern America","Brazil",NA,"Est Paraná. Serra do Mar; rainforest on Atlantic slope above Bela Vista, old road from Curitiba to Morretes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077137 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077137","NL-U1077137","1967","02","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
