"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","640365","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","A. C. Allem","3058","1984","11","20","South America","Brazil","Tocantins","Aurora do Tocantins","48 km a SW de Taguatinga rumo a Campos Belos. A cerca de 1km de Aurora do Norte","-46.42","-12.67","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640365","NY00640365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","640384","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","D. J. Rogers","394","1961","03","02","South America","Brazil","Pernambuco",NA,"Near Caruaru, on roadside, west of town","-36","-8.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640384","NY00640384_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1028423","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","D. J. Rogers","410","1961","03","05","South America","Brazil","Ceará",NA,"S. of Crato, near Barbalha.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028423","NY01028423_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","640372","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","A. C. Allem","3304","1985","08","18","South America","Brazil","Pernambuco","Gravatá","A 300m da entrada para Cha Grande ao longo da BR-232 rumo a Caruaru","-35.48","-8.2","480","480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640372","NY00640372_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","640383","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","D. J. Rogers","353","1961","02","07","South America","Brazil","São Paulo",NA,"Campinas, grounds of Inst. Agron., wild species cultivated",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640383","NY00640383_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","640389","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","D. J. Rogers","381","1961","02","25","South America","Brazil","Pernambuco",NA,"Gloria do Goitá, Fazenda S. Antonia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640389","NY00640389_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","649185","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","R. M. Harley","16391","1974","02","26","South America","Brazil","Bahia",NA,"41km. N. of Senhor do Bonfim on the BA 130 highway to Juazeiro","-40.22","-10.08","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649185","NY00649185_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","640422","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","D. J. Rogers","399","1961","03","03","South America","Brazil","Pernambuco",NA,"Near S. Jose do Belmonte (Manicobal)",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640422","NY00640422_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1065517","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","M. M. Arbo","7525B","1997","01","19","South America","Brazil","Bahia",NA,"15 km S de Xique-Xique, camino a Santo Inácio.","-42.68","-10.97","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065517","NY01065517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","640381","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","D. J. Rogers","353","1961","02","07","South America","Brazil","São Paulo",NA,"Campinas, grounds of Inst. Agron., wild species cultivated",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640381","NY00640381_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","640390","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","carthagenensis","Manihot carthagenensis","(Jacq.) Müll.Arg.","D. J. Rogers","395","1961","03","02","South America","Brazil","Pernambuco",NA,"Near Pesqueira","-36.67","-8.33",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640390","NY00640390_01","M. L. L. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
