"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","identifiedBy","county","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","monthIdentified","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","3893679","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","W. D. Richardson","2011","1961","11","08","South America","Trinidad and Tobago","Trinidad. Aripo savanna.","-61.193151","10.611195","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4177048' target='other'> <mi>dwc_moreinfo</mi></a>","NY03893679","NY03893679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3893677","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","B. G. Stergios D.","8879","1985","02","14","South America","Venezuela","Selva de galería del río Urbanl. Carretera hacia Las Trincheras. Estado Bolívar. Expedición botánica al Bajo Caura. llaite entre Dtto. Cedeño y Dtto. Suero, en colaboración con el Jardín Botánico de Nueva York (NY).","-65.08","7.25",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4177046' target='other'> <mi>dwc_moreinfo</mi></a>","NY03893677",NA,"Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 00:59:00-03","NY","NYBG","1018946","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides",NA,"C. M. Mynssen","880","2005","12","07","South America","Brazil","Morro do Coco, Mata do Carvão.","-41.3242","-21.7544",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018946","NY01018946_01","Rio de Janeiro","R. C. Moran","Campos dos Goytacazes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3893664","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","E. A. Christenson","1869","1994","05","29","South America","Guyana","Coastal highway between Georgetown and New Amsterdam. Roadside ditch.","-57.83","6.67","2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4177033' target='other'> <mi>dwc_moreinfo</mi></a>","NY03893664",NA,"Mahaica-Berbice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3893668","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","É. André","K.85","1876","01","05","South America","Colombia","Salitre",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4177037' target='other'> <mi>dwc_moreinfo</mi></a>","NY03893668","NY03893668_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02702353","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","M. F. González Giraldo","603","2011","04","21","South America","Colombia","Municipio Yondó, ciénaga Barbacoas. Hacienda Java, entrando por las bocas de Barbacoas desde el río Magdalena. Vegetación creciendo en la orilla de la ciénaga.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995278' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702353",NA,"Antioquia","R. C. Moran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2481070","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","N. Ritter","4202","1997","07","14","South America","Bolivia","Province of Herman Busch [sic]. Laguna Cáceras, below the town of Puerto Suarez.","-57.7961","-18.965","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729715' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481070",NA,"Santa Cruz","R. C. Moran","Germán Busch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02702354","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","M. F. González Giraldo","603","2011","04","21","South America","Colombia","Municipio Yondo, cienaga Barbaacoas Hacienda Java, entrado por las bocas las bocas de Barbacoas desde el rio Magdalena.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995280' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702354",NA,"Antioquia","R. C. Moran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","807596","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","P. Salzmann","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=6092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807596","NY00807596_01","Bahia","R. M. Lloyd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02554168","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ceratopteris","thalictroides","Ceratopteris thalictroides","(L.) Brongn.","D. F. Austin","7193","1979","10","23","South America","Brazil","Arredores da Agua Fria e Igarapé Agua Fria.","-51.9778","0.8058",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811128' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554168","NY02554168_01","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
