"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","barcode","imagecode","class","typeStatus"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","694","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","maculata","Neoregelia maculata","L.B.Sm.","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Ludovic Kollmann; A. P. Fontana","2006","10","01","Brasil","Espírito Santo","Santa Tereza","Estação Ecológica Santa Lúcia, trilha para o túmulo de Augusto Ruschii, margem direita do rio Timbuí","-40.6002998352051","-19.9356002807617","23813","1","254","auto",NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:19:25-03","MBM","MBM","8872","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","maculata","Neoregelia maculata","L.B.Sm.","Leme, E.M.C.",NA,NA,"Hatschbach, G.","1968","11","11","Brazil","Paraná","Bocaiúva do Sul","Sesmaria, Rio Capivari","-49.1150016784668","-25.2061004638672","61623",NA,"Epífita.","auto","20247","Southern America","MBM008872","MBM008872",NA,NA
"3","2020-12-21 16:19:25-03","MBM","MBM","148416","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","maculata","Neoregelia maculata","L.B.Sm.","Leme, E.M.C.",NA,NA,"Hatschbach, G.; Hatschbach, M.; Hatschbach, M.","1991","10","26","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3288993835449","-25.3066997528076","37295",NA,"Epífita.","auto","55780","Southern America","MBM148416","MBM148416",NA,NA
"4","2020-09-12 05:00:02-03","US","US","2577771","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Neoregelia","maculata","Neoregelia maculata","L.B. Sm.",NA,NA,NA,"N. J. DeLeon","1962","6",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"1",NA,NA,"P 109","South America - Neotropics","US00091360","US00091360_01","Monocotyledonae","Holotype"
