"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:48-03","E","E","201352","PreservedSpecimen","Plantae","Leguminosae","Platypodium","elegans","Platypodium elegans","Ratter, J.A.","1968","03","31","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:208767","<a href=http://data.rbge.org.uk/herb/E00201352 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:48-03","E","E","281816","PreservedSpecimen","Plantae","Leguminosae","Platypodium","elegans","Platypodium elegans","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.","1988","05","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293840","<a href=http://data.rbge.org.uk/herb/E00281816 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281816","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:48-03","E","E","163512","PreservedSpecimen","Plantae","Leguminosae","Platypodium","elegans","Platypodium elegans","Pennington, R.T.; Plana, V.; Cogollo, A.;","1997","02","09","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:172723","<a href=http://data.rbge.org.uk/herb/E00163512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00163512","688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:48-03","E","E","163511","PreservedSpecimen","Plantae","Leguminosae","Platypodium","elegans","Platypodium elegans","Pennington, R.T.; Plana, V.; Cogollo, A.;","1997","02","09","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:172724","<a href=http://data.rbge.org.uk/herb/E00163511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00163511","688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:48-03","E","E","201353","PreservedSpecimen","Plantae","Leguminosae","Platypodium","elegans","Platypodium elegans","Fiebrig, K.",NA,NA,NA,"E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:208765","<a href=http://data.rbge.org.uk/herb/E00201353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201353","4226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:48-03","E","E","202118","PreservedSpecimen","Plantae","Leguminosae","Platypodium","elegans","Platypodium elegans","Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","1994","03","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:209813","<a href=http://data.rbge.org.uk/herb/E00202118 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202118","5339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01041560","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","A. P. Duarte","1961","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179099' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041560","5716","Magnoliophyta","Fabales","Vogel","H. C. de Lima","Minas Gerais","Unaí","Faz. do Chupador","-46.9058","-16.3578","NY01041560_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01041594","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans elegans","S. P. Cordovil-Silva","1998","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179244' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041594","748","Magnoliophyta","Fabales","Vogel","R. C. Barneby","Goiás","Niquelândia","Fazenda de eucalipto da Niquelândia-Tocantins","-48.4594","-14.4742","NY01041594_01","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00748671","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","B. A. S. Pereira","1995","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748671","2889","Magnoliophyta","Fabales","Vogel","B. A. S. Pereira","Goiás","Vila Boa","Proximidades da Vila Chamada","-47","-15.17","NY00748671_01",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01041553","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","M. L. Fonseca","1997","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179086' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041553","1462","Magnoliophyta","Fabales","Vogel","R. C. Barneby","Goiás","Niquelândia","Ca. de 6 km após a mina de niquel (à esquerda) passando por baixo do teleférico","-48.3989","-14.3244","NY01041553_01",NA,"990","990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01041562","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","M. G. Carvalho","1991","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179102' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041562","686","Magnoliophyta","Fabales","Vogel",NA,"Minas Gerais","Grão Mogol","Faz. Maria das Neves","-42.8894","-16.5594","NY01041562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01055048","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","B. M. T. Walter","1996","06","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179073' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055048","3316","Magnoliophyta","Fabales","Vogel","R. C. Barneby","Goiás","São Luíz do Norte","Estrada de terra em frente ao posto tigrao para a balsa a 4 km do rio das Almas. Area de influencia do AHE Serra da Mesa","-49.3292","-14.8628","NY01055048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01041551","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","T. B. Cavalcanti","1996","06","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041551","1983","Magnoliophyta","Fabales","Vogel","R. C. Barneby","Goiás","Ipameri","Fazenda Cachoeira da Mata, margem esquerda do Rio Corumba. Bacia de inundação.","-48.43","-17.6","NY01041551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01041552","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","R. R. Brooks","1988","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179088' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041552","BRASPEX250","Magnoliophyta","Fabales","Vogel",NA,"Goiás",NA,"Americano do Brasil, near Goiás",NA,NA,"NY01041552_01 NY01041552_02",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01055022","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","P. von Luetzelburg","1912","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179040' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055022","1468","Magnoliophyta","Fabales","Vogel","H. C. de Lima","Piauí",NA,"Caatinga Calderaõ",NA,NA,"NY01055022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","605553","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","W. Hoehne","1951","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605553","s.n.","Magnoliophyta","Fabales","Vogel",NA,"São Paulo","Jales","Pastos do Pontal.","-50.54","-20.2603","NY00605553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","605548","PreservedSpecimen","Plantae","Fabaceae","Platypodium","elegans","Platypodium elegans","G. G. Hatschbach","1970","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605548","25570","Magnoliophyta","Fabales","Vogel","G. G. Hatschbach","Paraná","Sengés","Morro Pelado.","-49.4633","-24.1131","NY00605548_01 NY00605548_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
