"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","fieldNumber"
"1","2020-02-08 10:23:28-03","NBC","NL-BOTANY","L 0842903","PreservedSpecimen","Plantae","Magnoliopsidae","Rosales","Moraceae","Ficus","blepharophylla","Ficus blepharophylla","Vázq.Avila","Berg CC","2006","04","18","isotype","Ule EHG","1909","02","01","Southern America","Brazil","Amazonas","bei der Serra de Pracouve","915108237","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200842903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0842903","NL-L0842903",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-13 11:26:26-03","USP","SPF","46111","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","blepharophylla","Ficus blepharophylla","Vázq.Avila","Berg, CC","1995","11","15",NA,"Thomas, WW","1985","10","26",NA,"Brasil","Mato Grosso","Pantanal. Along Rio Cassangé at crossing of Transpantaneira (MT-060), 69 km N of Porto Jofre. Gallery forest.",NA,"Tree, 23 m. Latex white. Leaves shiny green above, paler beneath. Fruit pale green.","SPF00046111",NA,"4589","Poconé","-56.866667","-16.9","-56.866667","-16.9",NA,NA
"3","2018-05-14 15:59:43-03","F","FMNH-SEEDPLANTS","V0202672F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Moraceae","Ficus","blepharophylla","Ficus blepharophylla",NA,"RRC ID Flag",NA,NA,NA,NA,"N. A. Rosa",NA,NA,NA,"South America","Brazil","Roraima",NA,NA,NA,"V0202672F","V0202672F_01 V0202672F_02","3064",NA,"-61","1",NA,NA,"Spermatophyta","3064"
"4","2014-09-23 10:58:50-03","G","G","G00438258","S","Plantae",NA,NA,"Moraceae","Ficus","blepharophylla","Ficus blepharophylla","Vázq. Avila","Berg, C. C.","1984","01","01","ISOTYPUS of Ficus blepharophylla Vázq. Avila","Ule, E. H. G.","1909",NA,"00","AMERIQUE DU SUD","Brazil","Amazonas",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00438258",NA,"7987",NA,"-65.08583333","-4.14444444","-65.08583333","-4.14444444",NA,NA
