"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","locality","coordinatePrecision","geoFlag"
"1","2021-02-25 10:13:10-03","CVRD","CVRD","10025","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Psidium","gaudichaudianum","Psidium gaudichaudianum","Proença & Faria","Amélia Tuler","2017","11","06","Folli, D.A.","5518","2007","03","14","América do Sul","BRASIL","ES","Linhares","-40.001503","-19.260807","-40,001503","-19,260807","26","26","Próximo ao cruzamento do peque pague Nívea <ll>dwc_commonname:</ll> Araçá grande","CVRD010025",NA,NA,NA
"2","2021-02-25 10:13:10-03","CVRD","CVRD","10676","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Psidium","gaudichaudianum","Psidium gaudichaudianum","Proença & Faria","Amélia Tuler","2017","11","06","Lombardi, J.A.","7112","2008","01","23","América do Sul","BRASIL","ES","Linhares","-40.001503","-19.260807","-40,001503","-19,260807","26","26","Propiedade do Sr. Sangrilo <ll>dwc_commonname:</ll> Araçá grande","CVRD010676",NA,NA,NA
"3","2021-02-25 10:13:10-03","CVRD","CVRD","10542","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Psidium","gaudichaudianum","Psidium gaudichaudianum","Proença & Faria","Amélia Tuler","2017","11","06","Folli, D.A.","5760","2007","11","07","América do Sul","BRASIL","ES","Linhares","-40.001503","-19.260807","-40,001503","-19,260807","26","26","Propiedade do Sr. Sangrilo <ll>dwc_commonname:</ll> Araçá grande","CVRD010542",NA,NA,NA
"4","2019-11-01 15:06:50-03","UnB","UB","201705","PreservedSpecimen","Plantae","Dicotyledoneae",NA,NA,"Myrtaceae","Psidium","gaudichaudianum","Psidium gaudichaudianum","Proença & Faria","Faria, JEQ","2017","10",NA,"Folli, DA","5760","2007","11","07","Southern America","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"Porte arbóreo; 12m de altura; Botão verde; Flor branca; Seiva incolor; Casca lisa; Pasto",NA,"Propriedade do Sr. Sangrilo. Estrada municipal Canto Grande","48094","auto"
