"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:24:54-03","UNESC","CRI","6906","PreservedSpecimen","Plantae","Asteraceae","Baccharis","sagittalis","Baccharis sagittalis","(Less.) DC.","G. M. Barroso","1991","01","01","R. Reitz, R. M. Klein","10707","1961","01","24","Brasil","Santa Catarina","Rancho Queimado","Serra da Boa Vista","-49.014444","-27.6725","49º0'52''W","27º40'21''S","1000","1000","Doação HBR Flor creme. Habito: Subarbustivo","CRI013745","CRI013745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:54-03","UNESC","CRI","1873","PreservedSpecimen","Plantae","Asteraceae","Baccharis","sagittalis","Baccharis sagittalis","(Less.) DC.","G. M. Barroso",NA,NA,NA,"Reitz; Klein","10707","1961","01","24","Brasil","Santa Catarina","São José","Serra da Boa Vista.","-48.627778","-27.615833","48º37'40''W","27º36'57''S",NA,NA,"Habitat: campo Habito: Sub-arbusto","CRI001039","CRI001039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:54-03","UNESC","CRI","12726","PreservedSpecimen","Plantae","Asteraceae","Baccharis","sagittalis","Baccharis sagittalis","(Less.) DC.","Renato Colares & Aline V. Guislon","2017","09","18","Alexandre Medeiros","434","2017","06","08","Brasil","Santa Catarina","Balneário Camboriú","PINHONAT","-48.579722","-27.018056","48º34'47''W","27º1'5''S",NA,NA,"Flor amarela. Habito: Herbácea","CRI010940","CRI010940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:54-03","UNESC","CRI","14401","PreservedSpecimen","Plantae","Asteraceae","Baccharis","sagittalis","Baccharis sagittalis","(Less.) DC.","Scheneider, AA","2009","08","27","Verdi, M.; Gasper, A.L. de","2064","2009","04","27","Brasil","Santa Catarina","Urubici","Xaxim. Xaxim.","-49.591111","-28.0825","49º35'28''W","28º4'57''S","1407","1407","Regeneração IFFSC 165/S/12 Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração; entorno do fragmento Habito: arbustiva;","CRI013536","CRI013536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:54-03","UNESC","CRI","14275","PreservedSpecimen","Plantae","Asteraceae","Baccharis","sagittalis","Baccharis sagittalis","(Less.) DC.","Verdi, M","2010","04","30","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4587","2010","04","30","Brasil","Santa Catarina","Paulo Lopes","Laranjal. Laranjal.","-48.78","-28.08","48º46'48''W","28º4'48''S","126","126","Florística IFFSC 174 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Médio; área alagada Habito: erva terrícola;","CRI013387","CRI013387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:25-03","E","E","421613","PreservedSpecimen","Plantae","Compositae","Baccharis","sagittalis","Baccharis sagittalis",NA,NA,NA,NA,NA,"Wallace, B.J.","10785",NA,NA,NA,"CL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00421613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00421613",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:441284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:37:25-03","E","E","311968","PreservedSpecimen","Plantae","Compositae","Baccharis","sagittalis","Baccharis sagittalis",NA,NA,NA,NA,NA,"Dr Hooker",NA,NA,NA,NA,"CL","Región V [Valparaíso]","Provincia de Valparaíso","Valparaíso",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00311968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00311968",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:346804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:37:25-03","E","E","311972","PreservedSpecimen","Plantae","Compositae","Baccharis","sagittalis","Baccharis sagittalis",NA,NA,NA,NA,NA,"Gillies, John","181",NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"From Río Quito to the Pampas of Buenos Ayres,",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00311972 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00311972",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:346798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:37:25-03","E","E","392004","PreservedSpecimen","Plantae","Compositae","Baccharis","sagittalis","Baccharis sagittalis",NA,NA,NA,NA,NA,"Reid, E",NA,NA,NA,NA,"CL",NA,NA,"Ex regione inferiori Andinum Chilensium prope tepidaria Cauquenes",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00392004 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00392004",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:426379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:37:25-03","E","E","311966","PreservedSpecimen","Plantae","Compositae","Baccharis","sagittalis","Baccharis sagittalis",NA,NA,NA,NA,NA,"Cuming, Hugh","57",NA,NA,NA,"CL","Región X [Los Lagos]","Provincia de Chiloé","Chiloé",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00311966 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00311966",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:346806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
