"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015857","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand","C. M. D. E. Legrand; R. M. Klein","L. B. Smith","12968","1964","10","26","South America","Brazil","Santa Catarina","Videira","Parque da Uva.","-51.15","-27","700","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114934' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015857","NY01015857_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:03:26-03","FURB","FURB","37269","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand","Sobral, M","Gasper, A.L. de; Brogni, E.","3009","2008","01","26",NA,"Brasil","Santa Catarina","Caçador","Serra Azul.","-51.1188889","-26.7319445","1348","1348",NA,"Fito IFFSC 784 /S/5 Voucher estéril IFFSC 784 Habitat: Floresta Ombrófila Mista; Habito: arbórea;","FURB33199","FURB33199","2008","-51.1188889","-26.7319445",NA,NA,NA,NA,NA
"3","2020-10-14 10:03:26-03","FURB","FURB","46478","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand","Oliveira, AA de","Oliveira, A.A. de","1258","2015","03","03",NA,"Brasil","Santa Catarina","Água Doce","Hereiliópolis.","-51.4825","-26.8180556","1315","1315",NA,"Fito IFFSC 723 /S/34 Habitat: Floresta Ombrófila Mista; Habito: arbórea;","FURB33198","FURB33198","2015","-51.4825000","-26.8180556","03","03",NA,NA,NA
"4","2020-10-14 10:03:26-03","FURB","FURB","1341","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand","Sobral, M","Sobral, M.",NA,"2001","12","01",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,"Córtex liso e acinzentado. Habitat: campo rupestre Habito: arvoreta; flor branca","FURB02473","FURB02473","2001",NA,NA,"12","01","76715","auto",NA
"5","2020-12-21 16:36:42-03","MBM","MBM","265251","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand",NA,"Sobral, M.; et al.; et al.","9412","2001","12",NA,"Southern America","Brazil","Rio Grande do Sul","São Francisco de Paula","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"MBM265251","MBM265251",NA,NA,NA,NA,NA,"76715","auto",NA
"6","2020-12-21 16:36:42-03","MBM","MBM","265252","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand",NA,"Sobral, M.","9203","2001","01",NA,"Southern America","Brazil","Rio Grande do Sul","São Francisco de Paula","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"MBM265252","MBM265252",NA,NA,NA,NA,NA,"76715","auto",NA
"7","2020-12-21 16:36:43-03","MBM","MBM","271076","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand",NA,"Sobral, M.","2001","1992","10",NA,"Southern America","Brazil","Rio Grande do Sul","São Sebastião do Caí","São Sebastião do Caí","-51.3755989074707","-29.5867004394531",NA,NA,NA,NA,"MBM271076","MBM271076",NA,NA,NA,NA,NA,"12036","auto",NA
"8","2018-06-22 05:25:00-03","MO","MOBOT","2475457","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D. Legrand",NA,"Lyman B. Smith|Pe. Raulino Reitz","Smith 12968","1964","10","26","South America","Brazil","Santa Catarina",NA,"Parque da Uva",NA,NA,"700.00000000","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-20 18:46:42-03","UFSJ","HUFSJ","5046","S","Plantae",NA,NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand",NA,"Sobral, M; et al.","9412","2001","12",NA,NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Região de campos rupestres entremeados com matas de araucária.","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Arvoreta de 5m; flores brancas; córtex liso acinzentado.","HUFSJ005046",NA,NA,NA,NA,NA,NA,"76715","auto",NA
"10","2020-08-20 20:40:26-03","UFSC","FLOR","8694","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D.Legrand","Sobral, M.","Smith, L.B.; Reitz, R.","12968","1964","10","26",NA,"Brasil","Santa Catarina","Videira","Parque da uva.","-51.15","-27","700","700",NA,"Isotypus Eugenia rotundicosta.","FLOR0008694",NA,"1993","51º9'W","27º0'S",NA,NA,NA,NA,"Isotypus"
"11","2021-02-08 12:43:58-03","UFRGS","ICN","174424","S","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D. Legrand","Molz, M","Molz, M","s.n.",NA,NA,NA,"América do Sul","Brasil","RS","São Francisco de Paula","Ecovila Arca Verde. Coord: 548531/6740382","-50.500556","-29.464167","910","910",NA,"Árvore 9m altura, ritidoma laminado coriáceo amarelado, frutos amarelos, profund. sulcados.; População rara, com mais 30 indivíduos observados.",NA,NA,NA,"-50.500556","-29.464167",NA,NA,NA,NA,NA
"12","2021-02-08 12:43:58-03","UFRGS","ICN","124808","S","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D. Legrand",NA,"Sobral, M","9203",NA,NA,NA,"América do Sul","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,"Arvoreta 4m, em beira de mata com araucária; frutos imaturos; córtex liso, exfoliado, acinzentado.",NA,NA,NA,NA,NA,NA,NA,"76715","auto",NA
"13","2020-08-26 10:50:00-03","MCN-FZBRS","HAS","91620","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D. Legrand","Molz, M.","Molz, M.","s.n.","2015","09",NA,NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Instituto Arca Verde","-50.500701","-29.464932","912","912",NA,"Arvoreta com 8,5 m de altura, 43 cm de PAP; ritidoma laminado coriáceo (liso); flores brancas aromáticas","HAS0091620",NA,"2015","-50.500701","-29.464932","10","19",NA,NA,NA
"14","2020-08-26 10:50:00-03","MCN-FZBRS","HAS","91621","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","D. Legrand","Molz, M.","Molz, M.","s.n.","2015","09",NA,NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Instituto Arca Verde","-50.500701","-29.464932","912","912",NA,"Arvoreta com 8 m de altura, 36 cm de PAP; ritidoma laminado coriáceo (liso); flores brancas aromáticas","HAS0091621",NA,"2015","-50.500701","-29.464932","10","19",NA,NA,NA
"15","2020-08-26 10:50:00-03","MCN-FZBRS","HAS","94700","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","rotundicosta","Eugenia rotundicosta","Legr.","Molz, M.","Molz, M.","s.n.","2015","10",NA,NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Estrada para o Caconde","-50.520152","-29.45206","894","894",NA,"Arvoreta com 7m de altura, flores brancas (Datum wgs84)","HAS0094700",NA,"2015","-50,5201520","-29,4520600","11","02",NA,NA,NA
