"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:42:49-03","E","E","82192","PreservedSpecimen","Plantae","Quiinaceae","Quiina","glaziovii","Quiina glaziovii","Silva, J.M. & Saldanha, J.","1775","1996","11","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:90978","<a href=http://data.rbge.org.uk/herb/E00082192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:49-03","E","E","82191","PreservedSpecimen","Plantae","Quiinaceae","Quiina","glaziovii","Quiina glaziovii","Silva, J.M. & Saldanha, J.","1775","1996","11","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:90982","<a href=http://data.rbge.org.uk/herb/E00082191 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02674923","PreservedSpecimen","Plantae","Ochnaceae","Quiina","glaziovii","Quiina glaziovii","D. Piotto","2138","2010","06","10","South America","Brazil","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671186' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674923","Magnoliophyta","Malpighiales","Engl.","D. Piotto","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","NY02674923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01081156","PreservedSpecimen","Plantae","Ochnaceae","Quiina","glaziovii","Quiina glaziovii","J. M. Silva","1753","1996","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220858' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081156","Magnoliophyta","Malpighiales","Engl.","G. G. Hatschbach","Paraná","São José dos Pinhais","Castelhanos, Rio Arraial","-49.2064","-25.5347",NA,NA,"NY01081156_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","416483","PreservedSpecimen","Plantae","Ochnaceae","Quiina","glaziovii","Quiina glaziovii","W. W. Thomas","11727","1998","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416483","Magnoliophyta","Malpighiales","Engl.",NA,"Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","-39.58","-15.17","300","450","NY00416483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01081155","PreservedSpecimen","Plantae","Ochnaceae","Quiina","glaziovii","Quiina glaziovii","A. C. Cervi","2386","1986","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081155","Magnoliophyta","Malpighiales","Engl.","A. C. Cervi","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.72","-25.42",NA,NA,"NY01081155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3137069","PreservedSpecimen","Plantae","Ochnaceae","Quiina","glaziovii","Quiina glaziovii","W. W. Thomas","8654",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3377922' target='other'> <mi>dwc_moreinfo</mi></a>","NY03137069","Magnoliophyta","Malpighiales","Engl.",NA,"Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231",NA,NA,"NY03137069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-06 11:42:44-03","UFPI-MRV","HDELTA","5810","PreservedSpecimen","Plantae","Quiinaceae","Quiina","glaziovii","Quiina glaziovii","Bonafé, F. ; Bernardo, Selmo",NA,"2018","09","27",NA,"Brasil",NA,NA,"<ll>dwc_commonname:</ll> Quina","HDELTA005810",NA,NA,"Engl.","Bonafé, F.","São Paulo","Iporanga",NA,"-48.590278","-24.580556",NA,NA,NA,"2018","09","27","48°35'25,00''W","24°34'50,00''S",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:27-03","UFRJ","RFA","9048","PreservedSpecimen","Plantae","Ochnaceae","Quiina","glaziovii","Quiina glaziovii","G.G. Hatschbach","18171","1967","12","21",NA,"Brasil",NA,NA,"Arvoreta de 8 m de altura, trono de 15 cm de diâmetro. Fruto amarelo, com muita resina também amarela.","RFA27874",NA,NA,"Engl.","G.G. Hatschbach","Paraná","Guaratuba","Serra de Araraquara","-48.5746994018555","-25.8827991485596","100","100",NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"10","2020-11-13 09:20:27-03","UFRJ","RFA","17561","PreservedSpecimen","Plantae","Ochnaceae","Quiina","glaziovii","Quiina glaziovii","G.G. Hatschbach","34308","1974","03","07",NA,"Brasil",NA,NA,"Árvore de 8 m de altura., fruto amarelo-alaranjado.","RFA14611",NA,NA,"Engl.","G.G. Hatschbach","Paraná","Antonina","Areia Branca","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA
