"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","phylum","continentOcean","occurrenceRemarks","class","order","imagecode","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","coordinatePrecision","geoFlag"
"1","2021-02-08 11:09:42-03","UNESP-IBB","BOTU","9649","PreservedSpecimen","Plantae","Orchidaceae","Mormolyca","cleistogama","Mormolyca cleistogama","(Brieger & Illg) M.A.Blanco","Pabst, G.","1974","04","09","Amaral Jr., A.","1681","1974","02","01","Brasil","São Paulo","Santo André","Paranapiacaba, estação Biológica do Alto da Serra","-46.3","-23.766667","46°18'w","23°46's","BOTU009649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:48-03","EAO","IAN","147402","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Bicalho","Pabst, GFJ","1975","11",NA,"Anderson, WR","10991","1974","02","16","Brasil","Pará",NA,"10-15km downstream from Missão Cururú. Inundated forest along edge of river at high level.","-57.583333","-7.583333","-57.583333","-7.583333","IAN147402","Monocotiledônea","Southern America","Epiphyte; flower dark yellow.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:48-03","EAO","IAN","102964","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Bicalho","Pabst, GFJ","1975","11",NA,"Oliveira, E","255","1959","12","07","Brasil","Pará",NA,"Rodovia Belém-Brasília, km 69.",NA,NA,NA,NA,"IAN102964","Monocotiledônea","Southern America","Planta epífita; fruto em forma deestrela; terra firme, pico 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:48-03","EAO","IAN","133888","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Bicalho","Pabst, GFJ","1975","11",NA,"Silva, NT da","2020","1969","05","21","Brasil","Pará",NA,"Estrada de Munguba, km 7. Mata de terra firme.",NA,NA,NA,NA,"IAN133888","Monocotiledônea","Southern America","Epifita sobre árvore de 30m.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:31-03","NBC","NL-BOTANY","U.1458803","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger",NA,NA,NA,NA,"Prance GT; et al.",NA,"1971","03","08","Brazil",NA,NA,"Brazilian Amazônia. Terrotório do Roraima. Indian trail from Surucucu to Uaicá. Vicinity of Uaicá airstrip, Rio Uraricoeira.","-63.183333","3.55","-63.183333","3.55","NL-U1458803",NA,"Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1458803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asparagales","NL-U1458803",NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:04:15-03","FURB","FURB","36888","PreservedSpecimen","Plantae","Orchidaceae","Mormolyca","cleistogama","Mormolyca cleistogama","(Brieger & Illg) M.A.Blanco","Caetano, JO","2011","12","08","Caetano, J.O.",NA,"2011","12","08","Brasil","Santa Catarina","Benedito Novo","Borda do rio próximo a Ceesan liberdade.","-49.4272223","-26.7858333","-49.4272223","-26.7858333","FURB02813",NA,NA,NA,NA,NA,"FURB02813","375","375",NA,NA,NA,NA
"7","2020-12-21 16:38:35-03","MBM","MBM","385277","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Illg","Engels, M.E.","2019","04","11","Engels, M.E.","1510","2013","09","07","Brasil","Paraná","Guaratuba","Serra do Mar, Linha de transmissão elétrica Curitiba a Joinville","-48.943056","-25.881944","-48.943056","-25.881944","MBM385277",NA,NA,"Epífita. Pseudobulbos e folhas verdes. Frutos imaturos verdes. Flor deliquecente castanha. Inflorescência uniflora pendente.; Floresta Ombrófila Densa.",NA,NA,"MBM385277","800","800",NA,NA,NA,NA
"8","2015-09-16 13:26:20-03","MNHN","RECOLNAT_MNHN_P","P00445655","PreservedSpecimen",NA,"Orchidaceae","Mormolyca","cleistogama","Mormolyca cleistogama","(Brieger & Illg) M.A.Blanco","Batista",NA,NA,NA,"Prance, G.T.|Steward, W.C.|Harter, F.P.|Ramos, J.F.|Pinheiro, W.S.|Monteiro, O.P.",NA,"1971","3","8","Brésil",NA,NA,"Territorio do Roraima. Vicinity of Uaica airstrip, Rio Urariceira","-63.18333","3.55",NA,NA,"P00445655",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00445655' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P00445655_01",NA,NA,"10896","hb",NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1084836","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Illg","G. Pabst",NA,NA,NA,"William R. Anderson","Anderson 10991","1974","2","16","Brazil","Pará",NA,"Alto Tapajo's, Rio Cururú. 10-15 km downstream from Missão Cururú. Inundated forest along edge of river at high level.","-57.58333","-7.58333",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"130.00000000",NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1084841","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Illg","G. Pabst",NA,NA,NA,"Ghillean T. Prance|et al.","Prance 10896","1971","3","8","Brazil","Amazonas",NA,"Território do Roraima. Indian trail from Surucucu. Vicinity of Uaica airstrip, Rio Uraricoeira. Forest on terra firme.",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-08-31 09:19:40-03","INPA","INPA","29247","S","Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Bicalho","Pabst, GFJ","1977","01",NA,"Prance, GT","10896","1971","03","08","Brasil","Roraima",NA,"Vicinity of Uaicá airstrip, Rio Uraricoera. Forest on terra firme.","-63.183333","3.55","-63.183333","3.55","INPA0029247","Monocotyledon","Southern America",NA,NA,"Asparagales","INPA0029247 INPA0029247_e INPA0029247_e1",NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","16351",NA,"Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Briega & Bicalho","A. P. Fontana/27-03-2004",NA,NA,NA,"L. Kollmann; et al","5662","2002","03","13","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","MBML016351",NA,NA,"Epífita na sombra. Fruto verde.",NA,NA,"MBML016351",NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","19078",NA,"Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Bicalho","A. P. Fontana/21-05-2005",NA,NA,NA,"A. P. Fontana; et al","437","2002","12","23","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389","40W36'27","19S55'53","MBML019078",NA,NA,"Epífita, pecíolo marrom com frutos verdes amarelados e coluna verde.",NA,NA,"MBML019078",NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","21510",NA,"Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Bicalho","Fraga & Berger/30-10-2003",NA,NA,NA,"M. V. S. Berger; et al","89","2003","03","22","Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944","40W55'27","20S10'37","MBML021510",NA,NA,"Epífita de copa, árvore caída, meia sombra. Flor com pétalas e sépalas amarelas, labelo amarelo e centro de mesma cor, porém escuro, amarronzado. A flor não foi observada aberta, aparentemente o fruto já estava em formação. Flor montad",NA,NA,"MBML021510",NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","30788",NA,"Plantae","Orchidaceae","Maxillaria","cleistogama","Maxillaria cleistogama","Brieger & Bicalho","L. Kollmann/13-07-2007",NA,NA,NA,"L. Kollmann; P. Labiak, F. B. Matos & M. Kaehler","9897","2007","07","13","Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do J. Furlani","-40.537222","-19.804167","40W32'14","19S48'15","MBML030788",NA,NA,"Epífita caída. Fruto verde.",NA,NA,"MBML030788","780","780",NA,NA,NA,NA
"16","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","13065",NA,"Plantae","Orchidaceae","Mormolyca","cleistogama","Mormolyca cleistogama","(Brieger & Illg) M.A.Blanco","Machnicki-Reis,M.; Smidt, E.C./11-2019",NA,NA,NA,"L. Kollmann","3007","2000","06","16","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML013065",NA,NA,"Mata de encosta. Epífita a 2m na sombra. Fruto verde.",NA,NA,"MBML013065",NA,NA,NA,NA,NA,NA
