"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount","class"
"13","2016-02-02 14:37:51-02","BGBM","B","B 10 0243418","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","vasta","Vriesea vasta","Mez",NA,"A. F. M. Glaziou","15468",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Staat Rio de Janeiro, bei Copacabana.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243418 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243418","B100243418",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"14","2016-02-02 14:37:51-02","BGBM","B","B 10 0243419","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","vasta","Vriesea vasta","Mez",NA,"A. F. M. Glaziou","15468","1883","10","17","Middle and South America","Brazil",NA,NA,"São Christovão.",NA,NA,NA,"Vrisea glazioviana <a href=http://herbarium.bgbm.org/object/B100243419 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243419","B100243419",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"15","2016-02-02 14:37:51-02","BGBM","B","B 10 0243420","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","vasta","Vriesea vasta","Mez",NA,"A. F. M. Glaziou","15468",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Rio de Janeiro?.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243420 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243420","B100243420",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"16","2016-02-02 14:37:51-02","BGBM","B","B 10 0243421","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","vasta","Vriesea vasta","Mez",NA,"A. F. M. Glaziou","15468",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Rio de Janeiro?.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243421 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243421","B100243421",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"17","2020-12-21 16:19:20-03","MBM","MBM","392691","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Versieux, L.M.","Andreata, R.H.P.","671","1985","04","17","Southern America","Brazil","Rio de Janeiro","Niterói","Pico Alto Moirão","-43.1035995483398","-22.88330078125",NA,"Rupícola, heliófila; brácteas escapais esverdeada vinosa, brácteas floras vinosas claras; frutos jovens esverdeados.","MBM392691","MBM392691","2006",NA,NA,"14785","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-28 20:14:50-03","MNHN","RECOLNAT_MNHN_P","P00753344","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","Leme","Versieux","Glaziou, A.",NA,"1883","11","17",NA,"Brésil",NA,NA,"Environs de Rio de Janeiro et d'Ouro Presto : Sao Christovao",NA,NA,"hb","Reçu le 6 août 1885 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753344' target='other'> <mi>dwc_moreinfo</mi></a>","P00753344","P00753344_01 P00753344_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15468",NA,NA
"19","2013-01-07 15:02:51-02","MNHN","RECOLNAT_MNHN_P","P00753342","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","Leme","Versieux","Glaziou, A.",NA,"1883","11","17",NA,"Brésil",NA,NA,"Environs de Rio de Janeiro et d'Ouro Presto : Sao Christovao",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753342' target='other'> <mi>dwc_moreinfo</mi></a>","P00753342","P00753342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15468",NA,NA
"20","2017-05-10 14:44:34-03","MNHN","RECOLNAT_MNHN_P","P00753343","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","Leme","Versieux","Glaziou, A.",NA,"1883","11","17",NA,"Brésil",NA,NA,"Environs de Rio de Janeiro et d'Ouro Presto : Sao Christovao",NA,NA,"hb","Reçu le 6 août 1885 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753343' target='other'> <mi>dwc_moreinfo</mi></a>","P00753343","P00753343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15468",NA,NA
"21","2009-07-27 09:32:00-03","MO","MOBOT","3018587","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Leonardo Versieux","Auguste F.M. Glaziou","Glaziou 15468","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","601055","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Leonardo Versieux","Alwyn H. Gentry|Elsa M. Zardini","Gentry 49496","1985","1","13","South America","Brazil","Rio de Janeiro",NA,"Piedra de Itauna, S edge of Rio de Janeiro on Recreio dos Bandeirantes.","-43.41666","-23.01666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.00000000",NA,NA,"85-32","6",NA
"23","2020-09-12 05:00:02-03","US","US","1112499","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","vasta","Vriesea vasta","Mez in Mart.",NA,"A. F. M. Glaziou","15468",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Copacabana.",NA,NA,NA,NA,"US00091230","US00091230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"1","Monocotyledonae"
"24","2019-09-04 19:26:47-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","vasta","Vriesea vasta",NA,NA,"A. Glaziou","15468",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"Monocotyledoneae"
"25","2017-09-11 16:27:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","vasta","Vriesea vasta","Mez",NA,"Glaziou, AFM","15468",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro ad Copacabana","-43.180068","-22.969719",NA,"Floret Novembri. (V. s. spontaneam in herb. Berol., Brux., Petrop., Warming. et cult. in herb. Leod.)",NA,NA,NA,NA,NA,NA,NA,"-43.180068","-22.969719",NA,NA,NA,NA,NA,NA
"26","2020-12-10 11:27:04-03","IBt","SP","401928","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Versieux, LM","Versieux, LM; Peixoto, C","342","2006","12","29",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Urca. Costão Rochoso ao final da pista Cláudio Coutinho.","-43.151056","-22.95075",NA,NA,"SP050731","SP050731","2006","12",NA,NA,NA,"-43.151056","-22.95075","40","40",NA,NA,NA,NA
"27","2019-11-21 10:02:30-03","IBt","SP","401929","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Versieux, LM","Versieux, LM; Peixoto, C","343","2006","12","29",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Urca. Costão Rochoso ao final da pista Cláudio Coutinho.","-43.151056","-22.95075",NA,NA,"SP050732","SP050732","2006","12",NA,NA,NA,"-43.151056","-22.95075","40","40",NA,NA,NA,NA
"28","2019-11-21 10:02:30-03","IBt","SP","69016","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Versieux, LM","Mee, M","s.n.","1962","11",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Campo Grande, Praia de Grumari. &nf;Cultivada no Jardim Botânico de SP.","-43.2075004577637","-22.9027996063232",NA,NA,"SP050727","SP050727","2008",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:02:30-03","IBt","SP","69016a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Versieux, LM","Mee, M","s.n.","1962","11",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Campo Grande, Praia de Grumari. &nf;Cultivada no Jardim Botânico de SP.","-43.2075004577637","-22.9027996063232",NA,NA,"SP050728","SP050728","2008",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:02:30-03","IBt","SP","263575a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Versieux, LM","Wanderley, MGL","2066","1993",NA,NA,NA,"Brasil","São Paulo","São Paulo","Instituto de Botânica, Procedência - restinga do estado de São Paulo.&nf;Cultivada em estufa.","-46.6300010681152","-23.5400009155273",NA,NA,"SP050730","SP050730","2008",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-21 10:02:30-03","IBt","SP","263575","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","glaziouana","Alcantarea glaziouana","(Lem.) Leme","Versieux, LM","Wanderley, MGL","2066","1993",NA,NA,NA,"Brasil","São Paulo","São Paulo","Instituto de Botânica, Procedência - restinga do estado de São Paulo.&nf;Cultivada em estufa.","-46.6300010681152","-23.5400009155273",NA,NA,"SP050729","SP050729","2008",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
