"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00982171","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","L. Riedel","897","1824","10","South America","Brazil","Minas Gerais","M. Geraes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982171","NY00982171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00982164","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","H. S. Irwin","14375","1966","04","South America","Brazil","Goiás","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982164","NY00982164_01","M. Brandão","05","Posse","-46.37","-14.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","451914","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","M. Kuhlmann","4137","1957","05","South America","Brazil","São Paulo","Sao Simao, Horto Florestal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451914","NY00451914_01","W. Mantovani","22","Sao Simao","-47.5497","-21.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","306351","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","M. H. Nee","49039","1998","04","South America","Bolivia","Santa Cruz","One of the most natural pampas grasslands left between Santa Cruz and Pedro Lorenzo, along highway from Santa Cruz to Abapó, 5.4 km S of turnoff at km. 13.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306351",NA,"M. H. Nee","18","Andrés Ibáñez","-63.25","-17.92","470","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","451911","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","R. de Lemos Fróes","27869","1952","05","South America","Brazil","Pará","Estrada de Rodagem para a Vigia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451911","NY00451911_01","V. E. Rudd","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","451915","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","H. S. Irwin","31318A","1971","03","South America","Brazil","Bahia","Valley of the Rio das Ondas. ca. 10 km. W of Barreiras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451915","NY00451915_01","V. E. Rudd","02","Barreiras","-44.99","-12.15","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","451913","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","M. H. Nee","36127","1988","01","South America","Bolivia","Santa Cruz","5 km. WNW of Buena Vista, El Fraile","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451913",NA,"R. C. Barneby","30","Ichilo","-63.7","-17.45","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00982163","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","E. P. Heringer","909","1979","01","South America","Brazil","Mato Grosso do Sul","Estrada de Três Lagoas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982163","NY00982163_01","M. Brandão","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01301410","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","E. P. Killip","30397","1929","11","South America","Brazil","Pará","Ilha do Mosqueiro, near Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1573046' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301410","NY01301410_01",NA,"03",NA,"-48.3828","-1.1458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00982170","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","marginata","Aeschynomene marginata","Benth.","D. Philcox","3378","1967","12","South America","Brazil","Mato Grosso","km 254, Xavantina-Cachimbo road","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982170","NY00982170_01",NA,"05",NA,"-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
