"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","identifiedBy","year","month","day","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","428661","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Parinari","pohlii","Parinari pohlii","Hook.f.","photo of type","Illegible collector name","3609","South America","Brazil","Minas Gerais","Itambé","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","428638","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Petrocarya","brasiliensis","Petrocarya brasiliensis","Schott","isotype","H. W. Schott","4222","South America","Brazil",NA,"Ad Pilar; Mikan [?illegible]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428638","NY00428638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:04:57-03","ESALQ","ESA","52108","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.",NA,"Lima, R.A.F.","568.0",NA,"Brasil","São Paulo","Parcela permanente - Parque Estadual de Carlos Botelho",NA,"no sub-bosque","ESA052108","ESA052108","Sete Barras","-47.9199981689453","-24.3799991607666","34059","400","400","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:04:57-03","ESALQ","ESA","29560","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.f.",NA,"Ivanauskas, N.M.",NA,NA,"Brasil","São Paulo",NA,NA,NA,"ESA029560","ESA029560","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990",NA,NA,"auto","Jung-Mendaçolli, S.L.","1995","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:28:02-03","UNICAMP","UEC","188940","S","Plantae","Magnoliopsida",NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.f.",NA,"Silva, BG; Koch, I; Castello, ACD; Vidal Junior, JD","232",NA,"Brazil","São Paulo","Parque Estadual Carlos Botelho",NA,"Árvore, 18 m de altura e 14,3 cm de DAP; Floresta Ombrófila Densa","UEC119382","UEC119382","São Miguel Arcanjo","-47.9925","-24.065278",NA,"800","800",NA,NA,"2015","01","08","-47.9925","-24.065278",NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:09:15-03","UFES","VIES","14425","S","Plantae",NA,NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.f.",NA,"Thomaz, L.D.","1643",NA,"Brasil","Espírito Santo","Estação Biológica de Santa Lúcia.",NA,NA,"VIES014425","VIES014425","Santa Teresa","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto","R.G. Barbosa-Silva","1992","12","05",NA,NA,"2018","09","17",NA,NA,NA,NA
"7","2020-04-27 16:09:15-03","UFES","VIES","23503","S","Plantae",NA,NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.f.",NA,"Giaretta, A.O.; Lobão, A.Q.; Gusson, M.F.; Ribeiro, M.; Lopes.L.C.M.; Cruz, F.M. & Borges, K.F.","716",NA,"Brasil","Espírito Santo","Reserva Biológica de Sooretama.",NA,NA,"VIES023503","VIES023503","Sooretama","-40.0978012084961","-19.1968994140625","33715",NA,NA,"auto","R.G. Barbosa-Silva","2010","01","19",NA,NA,"2018","09","17",NA,NA,NA,NA
"8","2015-09-05 07:33:09-03","MNHN","RECOLNAT_MNHN_P","P04829276","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.f.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro",NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04829276' target='other'> <mi>dwc_moreinfo</mi></a>","P04829276","P04829276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9391",NA,NA,NA
"9","2015-09-05 07:33:09-03","MNHN","RECOLNAT_MNHN_P","P04829278","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.f.",NA,"[Claussen]|[Blanchet]",NA,NA,"Brasil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04829278' target='other'> <mi>dwc_moreinfo</mi></a>","P04829278","P04829278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2560",NA,NA,NA
"10","2015-09-05 07:33:09-03","MNHN","RECOLNAT_MNHN_P","P04829279","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Parinari","brasiliensis","Parinari brasiliensis","(Schott) Hook.f.",NA,"Nadeaud",NA,NA,"Brasil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04829279' target='other'> <mi>dwc_moreinfo</mi></a>","P04829279","P04829279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
