"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber"
"1","2021-04-05 14:26:04-03","UNESC","CRI","1766","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","Sobral, M.","1993","06","30","Citadini-Zanette, V.; Martinello, C. M. & Santos, R.","1985","1993","06","30","Brasil","Santa Catarina","Grão Pará","Mata Sr. Sufinski","-49.212778","-28.186667","49º12'46''W","28º11'12''S","300","300","Coleta com fruto Habito: Arbórea","CRI013780","CRI013780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","1680","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","Marcos Sobral","1993","08","12","V. C. Zanette; C. M. Martinello","1545","1993","02","18","Brasil","Santa Catarina","Orleans",NA,"-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,NA,NA,"CRI008737","CRI008737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","448","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche, Aurélio José de Aguiar & Jairo Viana de Oliveira Jr.","865","1990","07","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI009754","CRI009754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","5024","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","Vanilde C. Zanette","1996","11","08","Vanilde C. Zanette","2177","1996","11","08","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Floresta Atlântica Habito: árvore","CRI009753","CRI009753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:08-03","UNESC","CRI","7590","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","Marcelo Romagna Pasetto","2008","05","19","Marcelo Romagna Pasetto; Vanilde Citadini-Zanette",NA,"2008","05","19","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,NA,"CRI009751","CRI009751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","685800","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","L. B. Smith",NA,NA,NA,"R. M. Klein","2454","1960","06","04","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.0658","-26.9194",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685800",NA,"Magnoliophyta","Proteales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","685813","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","J. A. Lombardi",NA,NA,NA,"O. Handro","s.n.","1936","07","03","Brazil","São Paulo",NA,"Nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685813",NA,"Magnoliophyta","Proteales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","685807","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","HH-17509","1967","10","19","Brazil","Paraná","Guaraqueçaba","Guaraqueçaba, Rio do Cedro","-48.3289","-25.3069",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685807",NA,"Magnoliophyta","Proteales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","685803","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.","L. B. Smith",NA,NA,NA,"R. Reitz","9266","1959","10","30","Brazil","Santa Catarina","Jacinto Machado","Sanga da Areia, Jacinto Machado","-49.766476","-29.084523",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685803",NA,"Magnoliophyta","Proteales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","685804","PreservedSpecimen","Plantae","Sabiaceae","Meliosma","sellowii","Meliosma sellowii","Urb.",NA,NA,NA,NA,"R. Reitz","8589","1959","03","13","Brazil","Santa Catarina","Rio do Sul","Alta Matador, Rio do Sul","-49.6431","-27.2144",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685804",NA,"Magnoliophyta","Proteales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
