"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02058139","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon","M. A. Sundue","M. A. Sundue","3235","2012","09","06","South America","Colombia","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, cañón del Río Tercero, cerca a la finca la Pradera","-76.22989","6.63406","1740","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950673' target='other'> <mi>dwc_moreinfo</mi></a>","NY02058139","NY02058139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02058138","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon","M. A. Sundue","M. A. Sundue","3235","2012","09","06","South America","Colombia","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, cañón del Río Tercero, cerca a la finca la Pradera","-76.22989","6.63406","1740","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2351284' target='other'> <mi>dwc_moreinfo</mi></a>","NY02058138","NY02058138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02058368","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon","R. C. Moran","M. S. Jaimes-Roncancio","157","2013","12","10","South America","Colombia","Antioquia","Urrao","Parque Nacional Natural Las Orquídeas, sector Calles arriba, sitio El Macho, cuenca del río Calles, margen izquierda.","-76.23097","6.52461","1700","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298545' target='other'> <mi>dwc_moreinfo</mi></a>","NY02058368","NY02058368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4016335","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"J. A. Steyermark","95017","1966","03","04","South America","Venezuela","Sucre",NA,"PENINSULA DE PARIA: Cerro de humo: bosque húmedo nublado, sobre la fila angosta al norte, entre la cumbre y Cerro La Pavita.",NA,NA,"1250","1273","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322817' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016335","NY04016335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4016339","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"H. H. van der Werff","18972","2004","10","28","South America","Ecuador","Zamora-Chinchipe",NA,"In the vicinity of the mining camp at the Río Tundaime. Along trail from military base El Condor to the look-out point.","-78.3933","-3.6422","1800","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322821' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","815830","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon","H. H. van der Werff","H. H. van der Werff","16640","2001","04","03","South America","Peru","Amazonas",NA,"Near the border with Dept. San Martin.","-77.8","-5.68","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00815830","NY00815830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4016322","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"J. A. Steyermark","95017","1966","03","04","South America","Venezuela","Sucre",NA,"PENINSULA DE PARIA: Cerro de humo: bosque húmedo nublado, sobre la fila angosta al norte, entre la cumbre y Cerro La Pavita.",NA,NA,"1250","1273","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322804' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016322","NY04016322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4016325","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"B. Maguire","29850","1950","12","05","South America","Venezuela","Amazonas",NA,"Cerro Huachamacari, Rio Cunucunuma. On Escarpment Face.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322807' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016325","NY04016325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4016316","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"J. A. Steyermark","1072","1955","02","23","South America","Venezuela","Bolívar",NA,"Chimantá Massif. Torono-tepuí. Summit, along Caño Mojado, between base of upper falls and drop to escarpment.",NA,NA,"1895","1910","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322796' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016316","NY04016316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4016319","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"J. A. Steyermark","1072","1955","02","23","South America","Venezuela","Bolívar",NA,"Chimantá Massif. Torono-tepui. Summit, along Caño Mojado, between base of upper falls and drop to escarpment.",NA,NA,"1895","1910","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322799' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4016326","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"J. A. Steyermark","59851","1944","11","04","South America","Venezuela","Bolívar",NA,"Ptari-tepuí, steep forested slopes at base line of sandstone bluffs, on south-facing part, east of Cave Rock.",NA,NA,"2130",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322808' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016326","NY04016326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4016333","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Blotiella","lindeniana","Blotiella lindeniana","(Hook.) R.M.Tryon",NA,"C. Acosta-Arteaga","207","1974","03","24","South America","Colombia","Cundinamarca",NA,"Mun. de Granada, km. 37 de la carretera a Fusagasugá, 400 m. abajo de la Quebrada Agua Bonita.",NA,NA,"2370",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4322815' target='other'> <mi>dwc_moreinfo</mi></a>","NY04016333","NY04016333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
