"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:43:03-03","E","E","161795","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","hydrangeifolia","Coussarea hydrangeifolia","Ramos, P.C.M.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169989","<a href=http://data.rbge.org.uk/herb/E00161795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:03-03","E","E","146776","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","hydrangeifolia","Coussarea hydrangeifolia","Pott, A.;","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171013","<a href=http://data.rbge.org.uk/herb/E00146776 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146776","7191","1995","09","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:03-03","E","E","161921","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","hydrangeifolia","Coussarea hydrangeifolia","Proença, C.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170332","<a href=http://data.rbge.org.uk/herb/E00161921 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161921","860","1993","07","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","949579","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949579","6338","1964","09","26","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","J. A. Steyermark","Mato Grosso","Ca. 2 km. N. of Xavantina.","-52.35","-14.63","300","400","NY00949579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","131160","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","G. Gardner","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131160","1965","1836",NA,NA,"Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.",NA,"Ceará",NA,NA,NA,NA,NA,"NY00131160_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","709720","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","P. J. M. Maas","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=291242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709720","P13069","1971","05","17","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","J. H. Kirkbride Jr.","Acre","Near Porangaba, Rio Jurúa-Mirim.","-72.7439","-8.26861",NA,NA,"NY00709720_01",NA,"Porto Walter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","949589","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949589","37486","1975","11","13","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","J. H. Kirkbride Jr.","Mato Grosso","S. José da Serra","-56.0967","-15.5961",NA,NA,"NY00949589_01",NA,"Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","949578","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949578","17363","1966","06","17","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","J. A. Steyermark","Mato Grosso","Serra Azul, ca. 85 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.4","550","550","NY00949578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","949584","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","E. P. Heringer","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949584","2677","1979","10","31","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"NY00949584_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","949583","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","E. P. Heringer","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949583","2222","1979","10","10","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"NY00949583_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
