"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1746169","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","T. Morong","613","1889","01","26","South America","Paraguay","Villa Rica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957697' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746169","NY01746169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1746164","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","E. Hassler","8656","1905","01",NA,"South America","Paraguay","In regione collium: Cordillera de Villa-Rica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957693' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746164","NY01746164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00980916","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","16995","1966","06","11","South America","Brazil","Ca. 30 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980916","NY00980916_01","Mato Grosso","-52.32","-14.92","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00980918","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","G. Schaller","300b","1979","04","05","South America","Brazil","Pantanal. Miranda Fazenda.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980918","NY00980918_01","Mato Grosso do Sul","-56.42","-16.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1746162","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","A. Krapovickas","31934","1977","04","28","South America","Bolivia","Concepción","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957689' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746162","NY01746162_01","Santa Cruz","-62.08","-16.25",NA,NA,"Ñuflo de Chávez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00980891","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","16771","1966","06","08","South America","Brazil","Xavantina. Drainage of the Upper Rio Araguaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980891","NY00980891_01","Mato Grosso","-52.33","-14.6667","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1746167","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","P. Jorgensen","3632","1929","01",NA,"South America","Paraguay","Rica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957695' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746167","NY01746167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 19:42:00-03","NY","NYBG","1746173","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera",NA,"R. C. Barneby","E. M. Zardini","25999","1991","01","12","South America","Paraguay","Arroyo Cambay, northern side","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746173","NY01746173_01","Caaguazú","-55.92","-25.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","470528","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","L. Riedel","20","1934","02",NA,"South America","Brazil","Ytú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470528","NY00470528_01","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1746170","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","T. Morong","613","1889","01","26","South America","Paraguay","Villa Rica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957699' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746170","NY01746170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
