"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","typeStatus","continentOcean","preparationType","imagecode","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:26:04-03","UNESC","CRI","13125","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","Oliveira, AA de","2015","10","25","Oliveira, A.A. de","2664","2015","10","25","Brasil","Santa Catarina","Joinville","Pirai. Pirai.","-48.961944","-26.28","48º57'43''W","26º16'48''S","85","85","CRI011618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","15392","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","Isadora Zapelini & José T. Pires","2020","08","08","Alexandre Medeiros","456","2017","06","17","Brasil","Santa Catarina","Balneário Camboriú","Taquaras.","-48.631667","-26.993611","48º37'54''W","26º59'37''S",NA,NA,"CRI014809","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","13683","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","Alexandre Medeiros","2018","03","22","Alexandre Medeiros",NA,"2018","03","22","Brasil","Santa Catarina","Balneário Camboriú","Taquaras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI012290","Coleta 847. Flor verde. Habito: Arbóreo","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","67059","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","breviracemosus","Pilocarpus breviracemosus","R.S.Cowan","R. S. Cowan",NA,NA,NA,"R. Reitz","4685","1957","08","28","Brazil","Santa Catarina",NA,"Mina Velha, Garuva, San Francisco do Sul.",NA,NA,NA,NA,"10","10","NY00067059","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327914' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Sapindales","isotype","South America","sheet","NY00067059_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02715625","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","J. A. Kallunki",NA,NA,NA,"R. S. Souza","366","2014","04","04","Brazil","Bahia","Jequié","Oriente Novo.","-40.159056","-14.217806",NA,NA,NA,NA,"NY02715625","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952866' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet","NY02715625_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","382385","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","R. C. Kaastra",NA,NA,NA,"W. Hoehne",NA,"1933","08","01","Brazil","São Paulo","Pirapora do Bom Jesus","Pirapóra, S.Paulo","-47","-23.39",NA,NA,NA,NA,"NY00382385","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89421' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet","NY00382385_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","499008","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","M. C. Dias",NA,NA,NA,"C. Medri","822","1999","08","21","Brazil","Paraná","Sao Jerônimo da Serra","Salto Joao Nogueira.","-50.7411","-23.7275",NA,NA,NA,NA,"NY00499008","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89419' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet","NY00499008_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382384","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","I. Cordeiro",NA,NA,NA,"M. C. H. Mamede","284","1990","06","21","Brazil","São Paulo","Iguape","Iguape, Reserva Ecologica da Jureia, caminho do Imperador em direçao à foz do Rio Verde.","-47.5497","-24.7003",NA,NA,NA,NA,"NY00382384","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89422' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet","NY00382384_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382383","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus","A.St.-Hil.","L. A. Skorupa",NA,NA,NA,"S. J. G. d. Silva","116","1990","12","12","Brazil","São Paulo","Iguape","Iguape, Estaçao Ecológica Juréia-Itatins, Serra da Juréia, mata ao redor da cachoeira do Salto.","-47.5497","-24.7003",NA,NA,NA,NA,"NY00382383","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89423' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet","NY00382383_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","382387","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","pauciflorus","Pilocarpus pauciflorus pauciflorus","A.St.-Hil.","L. A. Skorupa",NA,NA,NA,"G. G. Hatschbach","19490","1968","07","11","Brazil","Paraná","Paranaguá","Rio Cachoeirinha.","-48.5092","-25.5203",NA,NA,"5","5","NY00382387","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154957' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet","NY00382387_01","pauciflorus",NA,NA,NA,NA
