"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","individualCount","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1309787","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","D. C. Daly","M. J. P. Pires-O'Brien","1919","1988","01","06","South America","Brazil","Pará","Almeirim","Mt. Dourado, Estação Ecol. Jarí (SEMA) res. Genética.","-52.85","-0.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1546406' target='other'> <mi>dwc_moreinfo</mi></a>","NY01309787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1309788","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","D. C. Daly","M. J. P. Pires-O'Brien","1926","1988","01","06","South America","Brazil","Pará","Almeirim","Mt. Dourado, Estação Ecol. Jarí (SEMA) res. Genética.","-52.85","-0.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1546411' target='other'> <mi>dwc_moreinfo</mi></a>","NY01309788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","370254","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","D. C. Daly","S. A. Mori","15302","1982","12","02","South America","French Guiana","Saint-Laurent-du-Maroni",NA,"Commune de Saül - Région de Saül. Monts La Fumée.","-53.2","3.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00370254","holotype","200","400",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1309786","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","D. C. Daly","M. J. P. Pires-O'Brien","1915","1988","01","06","South America","Brazil","Pará","Almeirim","Mt. Dourado, Estação Ecol. Jarí (SEMA) res. Genética.","-52.85","-0.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1546375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01309786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","370253","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","D. C. Daly","S. A. Mori","15302","1982","12","02","South America","French Guiana","Saint-Laurent-du-Maroni",NA,"Commune de Saül - Région de Saül. Monts La Fumée.","-53.2","3.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00370253","holotype","200","400",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1241844","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","D. C. Daly","M. J. P. Pires-O'Brien","1918","1988","01","06","South America","Brazil","Pará","Almeirim","Mt. Dourado, Estação Ecol. Jarí (SEMA) res. Genética.","-52.85","-0.45","sheet","Árvore no 340. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1480212' target='other'> <mi>dwc_moreinfo</mi></a>","NY01241844",NA,NA,NA,"NY01241844_01",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:29:44-03","NBC","NL-BOTANY","U 0039579","PreservedSpecimen","Plantae",NA,"Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","Daly DC","Boom BM",NA,"1982","10","25","Southern America","French Guiana","Saint-Laurent-du-Maroni",NA,NA,"-53.2","3.616667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200039579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0039579",NA,NA,NA,NA,"Magnoliopsidae","-53.2","3.616667",NA,NA,NA,NA
"8","2020-02-08 10:29:49-03","NBC","NL-BOTANY","U.1168596","PreservedSpecimen","Plantae",NA,"Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","Daly DC","Boom BM",NA,"1982","10","25","Southern America","French Guiana","Saint-Laurent-du-Maroni",NA,NA,"-53.2","3.616667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1168596 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1168596",NA,NA,NA,"NL-U1168596","Magnoliopsidae","-53.2","3.616667","U 0039579",NA,NA,NA
"9","2016-06-03 09:16:00-03","MO","MOBOT","2819902","PreservedSpecimen","Plantae",NA,NA,"Burseraceae","Protium","inodorum","Protium inodorum","Daly","D. Daly (NY)","Scott A. Mori|Brian M. Boom","Mori 15302","1982","12","2","South America","French Guiana",NA,NA,"Saúl; Tropical Moist Forest.","-53.2","3.6166667",NA,NA,NA,"Isotype","200.00000000","400.00000000",NA,NA,NA,NA,NA,"1",NA,NA
"10","2020-08-31 09:09:12-03","INPA","INPA","150061","S","Plantae","Dicotyledon Com-Clade","Sapindales","Burseraceae","Protium","inodorum","Protium inodorum","Daly","Daly, DC","Mori, SA","15302","1982","12","02","Southern America","French Guiana",NA,NA,"Saül: Monts La Fumée, Tropical Moist Forest","-53.2","3.616667",NA,NA,"INPA0150061","isotype","200","200","INPA0150061 INPA0150061_e INPA0150061_e1",NA,"-53.2","3.616667",NA,NA,"2003","07"
