"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","infraspecificEpithet","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","453971","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hispida","Begonia hispida","Schott","G. G. Hatschbach","L. F. Ferreira","204","1975","03","25","South America","Brazil","Paraná","Rio Branco do Sul","Rio Abaixo","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453971","NY00453971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","453973","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hispida","Begonia hispida","Schott",NA,"R. R. Guedes","379","1983","08","25","South America","Brazil","Rio de Janeiro","Petrópolis","Vale das Videiras, Morro do Cuca","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453973","NY00453973_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","453975","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hispida","Begonia hispida","Schott","L. B. Smith","G. G. Hatschbach","16148","1967","03","12","South America","Brazil","Paraná","Rio Branco do Sul","Curiola","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453975","NY00453975_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","453972","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hispida","Begonia hispida","Schott",NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil","Rio de Janeiro","Petrópolis","Ad Mandioccam","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453972","NY00453972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","453976","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hispida","Begonia hispida","Schott","L. B. Smith","R. Reitz","6598","1958","03","08","South America","Brazil","Santa Catarina","Presidente Nereu","Sabiá, Presidente Nereu","-49.3903","-27.2772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453976","NY00453976_01","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","453974","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hispida","Begonia hispida","Schott","A. C. Brade","E. Pereira","1312","1955","03","24","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Rifa","-42.0081","-21.9556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453974","NY00453974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:07-03","UFRJ","RFA","5666","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","hispida","Begonia hispida","Schott","L.B. Smith","P. Occhioni","617","1946","08","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Pico da Tijuca, Floresta da Tijuca.","-43.2075004577637","-22.9027996063232",NA,"Flores alvas.","RFA34201",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:07-03","UFRJ","RFA","26236","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","hispida","Begonia hispida","Schott","A.V. dos S. Couto","A. Quinet","26/65","2001","01","22",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Distrito de Lumiar/Macaé de Cima, Sítio Cabana Flor da Montanha","-42.408333","-22.354444",NA,"Planta herbácea, 1,5 m de altura. Folha discolor verde, flor com corola branca, amarela, fruto verde, abundante no local","RFA33236",NA,"700","700",NA,NA,"2009","03","03","42º24'30''W","22º21'16''S",NA,NA,NA,NA,NA
"9","2020-11-13 09:19:07-03","UFRJ","RFA","27159","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","hispida","Begonia hispida","Schott","A.V. dos S. Couto","A. Quinet","15/76","2001","03","03",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão","-43.123611","-22.571667",NA,"Erva 0,40 cm de DAP, comum no local. Folhas verdes discolores. Fruto marrom.","RFA32863",NA,"300","300",NA,NA,"2009","03","03","43º7'25''W","22º34'18''S",NA,NA,NA,NA,NA
"10","2020-11-13 09:19:07-03","UFRJ","RFA","27649","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","hispida","Begonia hispida","Schott","E. de L. Jacques","A. Quinet","39/89","2001","04","23",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Distrito de Lumiar/Siberia. Sítio Pouso Certo","-42.388611","-22.348056",NA,"Erva. Fruto rosa. Flor de corola branca e anteras amarelas, comum no local","RFA33546",NA,"600","600",NA,NA,"2001","09","04","42º23'19''W","22º20'53''S",NA,NA,NA,NA,NA
