"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","year","class","month","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","658302","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Calea","clausseniana","Calea clausseniana","Baker","possible syntype","P. Clausen","s.n.","South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","There is a small piece of paper on this sheet with what must be the Collection Number, but it is not clearly written to determine what is the beggining of the number that ends with 77. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00658302","NY00658302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","162949","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Calea","clausseniana","Calea clausseniana riedeliana","Baker","isotype","L. Riedel","667","South America","Brazil",NA,"In campis siccis prope Camapuan","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162949","NY00162949_01","riedeliana","1826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:36:59-03","EAO","IAN","18433","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Norming","s.n.","Southern America","Brasil",NA,NA,NA,NA,"IAN018433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:48:25-03","NBC","NL-BOTANY","L.3758265","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Calea","clausseniana","Calea clausseniana balansae","Baker",NA,"Pedersen TM",NA,"Southern America","Argentina",NA,"Carambola. Dep. Concepción. Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3758265 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3758265","NL-L3758265","balansae","1982","Magnoliopsidae","03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:01:12-03","ESALQ","ESA","34437","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Rodrigues, R.R. et al.","391.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA034437","ESA034437",NA,"1995",NA,"10","07","Reis-Silva, G.A.","2017","04","13","São João da Boa Vista","-46.7900009155273","-21.9599990844727","17205","auto",NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:01:12-03","ESALQ","ESA","120568","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Delfini, C.","136.0",NA,"Brasil","Minas Gerais","Estrada de acesso, a cerca de 3km da estrada Ouro Branco - Ouro Preto.",NA,"Erva, até 50cm alt., capítulos amarelos.","ESA120568","ESA120568",NA,"2012",NA,"05","01","Reis-Silva, G.A.","2017","03","13","Lavras Novas","-43.53539","-20.4557",NA,NA,"-43.53539","-20.4557",NA,NA,NA,NA
"7","2020-11-04 11:01:12-03","ESALQ","ESA","91994","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Calea","clausseniana","Calea clausseniana",NA,NA,"Hatschbach, G. et al.","76675.0",NA,"Brasil","Mato Grosso do Sul",NA,NA,NA,"ESA091994","ESA091994",NA,"2003",NA,"10","23",NA,NA,NA,NA,"Ponta Porã","-55.7256011962891","-22.5361003875732","102608","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:01:12-03","ESALQ","ESA","2504","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Krug, H.P ; Costa, A.S.","3184.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA002504","ESA002504",NA,"1938",NA,"09","18","Magenta, M.A.G.",NA,NA,NA,"Campinas","-47.060001373291","-22.8999996185303","23900","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-19 10:22:50-03","CPAP","CPAP","14477","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Pott, A.","7441",NA,"Brasil","MS","Fazenda Manoel Ledo; Serra da Bodoquena",NA,"Erva ereta, com xilopódio. FLOR: capítulo púrpura, antera amarela, pappus vinho. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: Rara. AMBIENTE: Cerrado queimado. SUBSTRATO: regossolo argiloso. RELEVO: topo de serra.",NA,NA,NA,"1995",NA,"09","30",NA,NA,NA,NA,"Bodoquena","-56.872222","-20.857222",NA,NA,"56°52'20'' W","20°51'26'' S","650","650",NA,NA
"10","2020-12-20 21:15:44-03","UFV","VIC","048640","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"D.A.C.; et al.","s.n.",NA,"Brasil","Minas Gerais","Antena, Campo rupestre.",NA,"Erva de flor amarela.","VIC048640","VIC048640",NA,"1987",NA,"05","15",NA,NA,NA,NA,"Lavras","-44.999698638916","-21.2453002929688","20044","auto",NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:15:44-03","UFV","VIC","048641","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"D.A.C.; et al.","s.n.",NA,"Brasil","Minas Gerais","Serra da Bocaina, Campo rupestre.",NA,"Subarbusto de 0.30 m, flores amarelas.","VIC048641","VIC048641",NA,"1987",NA,"02","13",NA,NA,NA,NA,"Lavras","-44.999698638916","-21.2453002929688","20044","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:15:44-03","UFV","VIC","052856","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Nakajima, J.M.; et al.","4602",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Estrada para Morro do Gabriel.",NA,"Campo rupestre,subarbusto de ca de 0,2 m, bracteas involucrais marrom, corola amarela.","VIC052856","VIC052856",NA,"2007",NA,"10","16",NA,NA,NA,NA,"Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:15:44-03","UFV","VIC","26502","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Almeida, G.S.S.; et al.","786",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha da lagoa seca",NA,"Erva escaposa, ramos vináceos, capítulo de flores amarelas.","VIC026502",NA,NA,"2007",NA,"12","03",NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:15:44-03","UFV","VIC","052855","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Romero, R.; Nakajima, J.M.","3718",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra",NA,"campo limpo alterado, 2 meses após queimada,herbáceo, ca de 0,8 m, brácteas externas verdes, internas avermelhadas. Corola , anteras e ramos amarelos.","VIC052855","VIC052855",NA,"1996",NA,"09","25",NA,NA,NA,NA,"São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","auto",NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:15:44-03","UFV","VIC","052882","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Romero, R.; et al.","4941",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Morro após o corrego dos passageiros.",NA,"Campo sujo , 2 meses após queimada, herbácea de 0,4 m, brácteas verdes, corola e ramos de estiletes amarelos,anteras amarelas.","VIC052882","VIC052882",NA,"1998",NA,"01","10",NA,NA,NA,NA,"São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","auto",NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:15:44-03","UFV","VIC","047811","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Da costa, F.B.,.","22",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra",NA,"Herbácea de cerca de 0.25 m, flores amarelas.","VIC047811","VIC047811",NA,"1997",NA,"09","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-20 21:15:44-03","UFV","VIC","052857","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Pirani, J.R.; et al.","s.n.",NA,"Brasil","Minas Gerais","Morro do gavião, Campo rupestre.",NA,"No campo limpo pedregoso. Brácteas involucrais terminais vermelhas. Flores amarelas.","VIC052857","VIC052857",NA,"1984",NA,"11","02",NA,NA,NA,NA,"São Thomé da Letras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-20 21:15:44-03","UFV","VIC","35998","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Paula, C.C. de; et al.","256",NA,"Brasil","Minas Gerais","Serra de Ouro Branco - Área 2, Campo graminóide.",NA,"Terrestre, herbácea, c.a. de 23 cm de altura; frequência abundante; folhas verdes; pétalas amarelas; flores liguladas femininas.","VIC035998","VIC035998",NA,"2002",NA,"08","10",NA,NA,NA,NA,"Ouro Branco","-43.617167","-20.508528",NA,NA,"-43.617167","-20.508528",NA,NA,NA,NA
"19","2020-12-20 21:15:44-03","UFV","VIC","052854","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Roth, L.","1435",NA,"Brasil","Minas Gerais","Serra do Curral",NA,"Erva do cerrado-campo, flores amarelas, folhas fepudas.","VIC052854","VIC052854",NA,"1955",NA,"04","17",NA,NA,NA,NA,"Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:15:44-03","UFV","VIC","047813","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Da costa, F.B.","58",NA,"Brasil","Minas Gerais","Estrda da Sete Voltas para Delfinópolis, A 5 km de Sete Voltas,campo rupestre.",NA,"Arbusto de ca de 30 cm, raizes tuberosas flores amarelas.","VIC047813","VIC047813",NA,"1998",NA,"01","11",NA,NA,NA,NA,"Delfinópolis","-46.8539009094238","-20.343900680542","41380","auto",NA,NA,NA,NA,NA,NA
"21","2020-12-20 21:15:44-03","UFV","VIC","048638","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"D.A.C.; et al.","s.n.",NA,"Brasil","Minas Gerais","Serra da Bocaina, Campo rupestre.",NA,"Erva de base lenhosa,liguladas amarelas.","VIC048638","VIC048638",NA,"1987",NA,"10","02",NA,NA,NA,NA,"Itumirim","-44.8711013793945","-21.3169002532959","16596","auto",NA,NA,NA,NA,NA,NA
"22","2020-12-20 21:15:44-03","UFV","VIC","048639","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"D.A.C.; et al.","s.n.",NA,"Brasil","Minas Gerais","Serra da Bocaina, Campo rupestre.",NA,"Erva de base lenhosa. Flor amarela.","VIC048639","VIC048639",NA,"1987",NA,"09","18",NA,NA,NA,NA,"Itumirim","-44.8711013793945","-21.3169002532959","16596","auto",NA,NA,NA,NA,NA,NA
"23","2020-12-20 21:15:44-03","UFV","VIC","048610","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Reis-Silva, G.A.; et al.","203",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha para porteira do do Tesoureiro.100 m após o viveiro de mudas,coletada em solo arenoso.",NA,"Erva xilopodifera, ca de 50 cm, ramos pilosos, folhas verdes concolores, flores de disco amarelo e raio alaranjados.","VIC048610","VIC048610",NA,"2017",NA,"03","30",NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"24","2020-12-20 21:15:44-03","UFV","VIC","048606","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Reis-Silva, G.A.; et al.","199",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha para porteira do Tesoureiro.",NA,"Erva de ca de 15cm, ramos pilosos, folhas verdes concolores.","VIC048606","VIC048606",NA,"2017",NA,"03","30",NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"25","2020-12-20 21:15:44-03","UFV","VIC","048613","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Reis-Silva, G.A.; et al.","204",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha para porteira do Tesoureiro 100 m após o viveiro de mudas, coletada em solo arenoso.",NA,"Erva xilopodifera,ca de 50 cm, ramos pilosos, folhas verdes concolores,invólucro de 2 brácteas externas foliáceas,segunda série vinácea, flores de disco amarelas e do raio alaranjadas.","VIC048613","VIC048613",NA,"2017",NA,"03","30",NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"26","2020-12-20 21:15:44-03","UFV","VIC","048607","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Reis-Silva, G.A.; et al.","200",NA,"Brasil","Minas Gerais","Venda do Campo, Próximo ao Municipio de Lavras Novas. Coletada em solo arenoso após 2 meses de queimada.",NA,"Erva de ca de 50 cm, ramos pilosos, folhas verdes concolores, flores de raio amarelas,flores de disco alaranjado.","VIC048607","VIC048607",NA,"2017",NA,"03","30",NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"27","2020-12-20 21:15:44-03","UFV","VIC","052858","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","clausseniana","Calea clausseniana","Baker",NA,"Lima, R.M.; et al.","220",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, A cerca de 6 km da estrada para Cachoeira dos Rolinhos ao lado direito da estrada.",NA,"Ervas, ca de 20 cm de altura, solo argiloso,vermelho. Brácteas involucrais amarelas. Flores amarelas.","VIC052858","VIC052858",NA,"2002",NA,"11","09",NA,NA,NA,NA,"São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","auto",NA,NA,NA,NA,NA,NA
