"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","barcode","imagecode","geoFlag","phylum","order","dayIdentified","class","continentOcean","occurrenceRemarks"
"1","2020-09-02 16:30:17-03","Cenargen","CEN","34196","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata","Kosterm.","J. B. Baitello","2005","05","Bruno Machado Teles Walter","4262","1998","10","08","Brasil","DF","BRASILIA","Trecho inferior da Mata do Acampamento, próximo às piscinas. Parque Nacional de Brasília (PNB/DF).","-47.9296989440918","-15.7797002792358","-4808333.0","-1550000.0","70570","1020","1020","Exsicatas","4","CEN00034196","CEN00034196","auto",NA,NA,NA,NA,NA,NA
"2","2020-11-12 17:00:37-03","UEL","FUEL","19355","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata","Kosterm.","Lorea, FG","1997","06","Paschoal, MES","1587","1995","10","27","Brasil","São Paulo","Agudos","Fazenda da Cia. Cervejaria Brahma, Margem do Ribeirão do Pelintra","-48.9799995422363","-22.4599990844727",NA,NA,"52219",NA,NA,NA,NA,"FUEL006418",NA,"auto","Tracheophyta","Laurales","25",NA,NA,NA
"3","2021-03-04 15:43:50-03","IF","SPSF","43136","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata","Kosterm.","J.B.Baitello","2010","04","S.S.Silva & E.C.Freire & J.D.A.Pereira","216","2007","07","29","Brasil","GO","Caiaponia","Bacia do rio Caiapó","-51.561111","-17.0475",NA,NA,NA,"501","501",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","13","Magnoliopsida","América do Sul","COLETA: Cerrado típico&nf;Arbusto 3m.; GEOGRAFIA: Ponto 13;"
"4","2021-03-04 15:43:50-03","IF","SPSF","44228","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata","Kosterm.","J.B.Baitello","2012","05","M.A.Silva & M.L.Fonseca & E.C.Lopes & C.C.S.Ferreira","3086","1996","09","17","Brasil","GO","Niquelândia","Bica do Asfalto","-48.433611","-14.401667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","15","Magnoliopsida","América do Sul","COLETA: Floresta de Galeria&nf;Arvoreta 3m, frutos verdes, cálice vermelho.; GEOGRAFIA: Próximo ao povoado Macedo.;"
"5","2021-03-04 15:43:50-03","IF","SPSF","43156","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata","Kosterm.","F.G.Lorea","1997","06","R.Romero & J.N.Nakajima & V.L.G.Klein & M.B.Alcantara","2808","1995","09","26","Brasil","MG","São Roque de Minas","Mata do Córrego do Quilombo","-46.3657989501953","-20.2453002929688",NA,NA,"57119",NA,NA,NA,NA,NA,NA,"auto","Magnoliophyta","Laurales","30","Magnoliopsida","América do Sul","COLETA: Interior de capão.&nf;Árvore 8m; frutos imaturos verdes.;"
"6","2021-03-04 15:43:50-03","IF","SPSF","33093","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata",NA,"F.G.Lorea","1997","06","M.E.S.Paschoal","1587","1995","10","27","Brasil","SP","Agudos","margem do ribeirao do Pelintra","-48.9799995422363","-22.4599990844727",NA,NA,"52219",NA,NA,NA,NA,NA,NA,"auto","Magnoliophyta","Laurales","25","Magnoliopsida","América do Sul","COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata de brejo&nf;;"
"7","2021-03-04 15:43:50-03","IF","SPSF","33084","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata",NA,NA,NA,NA,"M.E.S.Paschoal","1560","1995","09","27","Brasil","SP","Agudos","margem do ribeirao Palmira","-48.9799995422363","-22.4599990844727",NA,NA,"52219",NA,NA,NA,NA,NA,NA,"auto","Magnoliophyta","Laurales",NA,"Magnoliopsida","América do Sul","COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata de brejo&nf;;"
"8","2021-03-04 15:43:50-03","IF","SPSF","35142","PreservedSpecimen","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata",NA,"F.G.Lorea","1997","06","O.Cesar & A.Feddersen Jr.","609","1985","08","29","Brasil","SP","Itirapina","mata de brejo","-47.8199996948242","-22.25",NA,NA,"22843",NA,NA,NA,NA,NA,NA,"auto","Magnoliophyta","Laurales","27","Magnoliopsida","América do Sul","COLETA: XLS: SPSFNovo; Árvore 8m, flores amarelo creme;"
"9","2019-11-21 10:07:18-03","IBt","SP","296986","S","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata","Kosterm.","Baitello, JB","2003",NA,"Paschoal, MES","1231","1994","10","05","Brasil","São Paulo","Agudos","Faz. Cia e Cervejaria Brahma","-48.9799995422363","-22.4599990844727",NA,NA,"52219",NA,NA,NA,NA,"SP034123","SP034123","auto",NA,NA,NA,NA,NA,NA
"10","2020-07-23 10:20:51-03","IBt","SP","293986A","S","Plantae","Lauraceae","Aiouea","bracteata","Aiouea bracteata","Kosterm.",NA,NA,NA,"Paschoal, MES","131","1994","10","05","Brasil","São Paulo","Agudos","Fazenda Cia e cervejaria Brahma","-48.9799995422363","-22.4599990844727",NA,NA,"52219",NA,NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA
