"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01054843","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","F. L. R. Filardi","Collector unspecified","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1163253' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054843","NY01054843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","603893","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","W. Hoehne","W. Hoehne","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603893","NY00603893_01","1947","04","17","São Paulo","Sao Paulo","SP - Sao Paulo, Parque do Estado","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","603948","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","F. L. R. Filardi","R. P. Belém","1552","South America","Brazil","sheet","coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603948","NY00603948_01","1965","08","09","Espírito Santo",NA,"Reserva Florestal de Sooretama","-40.10894","-18.996963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","603895","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne",NA,"M. P. M. de Lima","185","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603895","NY00603895_01","1990","08","17","Rio de Janeiro",NA,"Nova Friburgo, Reserva Ecologica Municipal de Macaé de Cima, Estrada p/ Hotel Faz. Säo Joäo","-42.05","-22","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02679239","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne",NA,"H. C. de Lima","6613","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944705' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679239","NY02679239_01","2007","05","22","Rio de Janeiro","Nova Iguaçú","Próximo a entrada da Reserva margens do Rio Tinguá","-43.4364","-22.5853","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","603894","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne",NA,"W. Hoehne","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603894","NY00603894_01","1945","01","10","São Paulo","Sao Paulo","Sao Paulo, S.P., Pq. Estadual","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01058612","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","F. L. R. Filardi","Y. E. J. Mexia","4393","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142373' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058612","NY01058612_01","1930","02","25","Minas Gerais","Viçosa","Agricultural College lands; near western boundary","-42.868031","-20.7613428","680","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01054754","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","F. L. R. Filardi","H. S. Irwin","2680","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162885' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054754","NY01054754_01","1959","02","21","Minas Gerais","Viçosa","State Agricultural School, Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01054818","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","F. L. R. Filardi","W. J. Burchell","4389","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1163250' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054818","NY01054818_01","1827","03","06","São Paulo",NA,"Morumbe Road NNW (=Morumbí now in NW part of the city of Sao Paulo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01058563","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","F. L. R. Filardi","Y. E. J. Mexia","4489","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058563","NY01058563_01","1930","03","20","Minas Gerais","Viçosa","Agricultural College lands; near western boundary","-42.868031","-20.7613428","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01092784","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne","C. V. Mendonça Filho","G. Martinelli","8442","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236975' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092784","NY01092784_01","1982","05","26","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, mata secundária, caminho da Faz. Portuense","-42.3917","-22.6508","40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","532805","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","cantarellianum","Machaerium cantarellianum","Hoehne",NA,"F. C. Hoehne","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532805","NY00532805_01","1932","01","20","São Paulo","Sao Paulo","Parque e Jardim Botanico de Sao Paulo","-46.621883","-23.654505",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
